META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-10-31 20:26:49 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 11/8; ; 6/4; 6/4; 6/4; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
Reus Deportiu; 2; ; 19/10; 19/10; 2; 8/5; 2; ; ; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 2; ; 21/10; ; ; 9/5; ; 
Draw; 19/10; ; 39/20; 19/10; 2; 39/20; 21/10; ; ; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; ; ; 15/8; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 00:25:40 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 11/8; 29/20; 6/4; 6/4; 6/4; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
Reus Deportiu; 2; 19/10; 19/10; 19/10; 2; 8/5; 2; ; ; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 2; ; 21/10; ; ; 7/4; ; 
Draw; 19/10; 2; 39/20; 19/10; 2; 39/20; 21/10; ; ; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; ; ; 15/8; ; 
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-01 04:24:36 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 31/20; ; 7/5; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
Reus Deportiu; 2; 19/10; 19/10; 19/10; 2; 8/5; 2; ; 9/5; 2; 19/10; 7/4; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; ; 2; ; 21/10; ; ; 7/4; ; 
Draw; 2; 2; 39/20; 19/10; 2; 39/20; 21/10; ; 15/8; 2; 19/10; 2; 2; ; 21/10; ; ; 2; 19/10; 2; ; 19/10; ; 2; ; ; 15/8; ; 
