META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-12 16:24:52 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 10/11; ; ; ; 1; ; ; ; ; 20/21; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; 20/21; 
Draw; 9/4; ; ; ; 23/10; ; ; ; ; 9/4; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; 2; 
Elche; 11/4; ; ; ; 3; ; ; ; ; 3; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-12 20:25:59 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 1; 1; ; 1; ; ; 1; 1; ; 1; ; ; 19/20; 19/20; ; ; ; 19/20; 26/25; 1; ; ; ; ; 20/21; 
Draw; 11/5; 21/10; ; 21/10; 21/10; ; 11/5; ; ; 2; 2; ; 21/10; ; ; 11/5; 21/10; ; ; ; 21/10; 11/5; 21/10; ; ; ; ; 2; 
Elche; 16/5; 3; ; 14/5; 10/3; ; 16/5; ; ; 10/3; 29/10; ; 16/5; ; ; 3; 16/5; ; ; ; 16/5; 17/5; 12/5; ; ; ; ; 13/5; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 00:24:23 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; ; 1; ; 10/11; 21/20; 1; ; 1; ; 1; 1; 1; ; ; ; 1; 26/25; 1; ; ; ; 20/21; 20/21; 
Draw; 11/5; 2; ; 19/10; 21/10; ; 11/5; ; 2; 2; 2; ; 21/10; ; 2; 2; 39/19; ; ; ; 39/19; 11/5; 21/10; ; ; ; 2; 2; 
Elche; 16/5; 3; ; 3; 10/3; ; 16/5; ; 14/5; 16/5; 14/5; ; 16/5; ; 16/5; 3; 58/19; ; ; ; 58/19; 17/5; 12/5; ; ; ; 13/5; 27/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 04:24:25 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; ; 1; 10/11; 10/11; 21/20; 1; ; 1; ; 1; 19/20; 1; ; 19/20; ; 1; 26/25; 1; ; ; ; 20/21; 20/21; 
Draw; 11/5; 21/10; ; 19/10; 11/5; ; 11/5; 2; 2; 2; 2; ; 21/10; ; 2; 11/5; 39/19; ; 21/10; ; 39/19; 11/5; 21/10; ; ; ; 2; 2; 
Elche; 16/5; 3; ; 3; 3; ; 16/5; 11/4; 14/5; 16/5; 14/5; ; 16/5; ; 16/5; 3; 58/19; ; 31/10; ; 58/19; 17/5; 12/5; ; ; ; 13/5; 27/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 08:24:58 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; ; 1; 10/11; 10/11; 1; 1; ; 1; ; 1; 19/20; 1; ; 19/20; ; 1; 26/25; 1; ; ; ; 20/21; 20/21; 
Draw; 11/5; 21/10; ; 19/10; 21/10; ; 11/5; 2; 2; 2; 2; ; 21/10; ; 2; 11/5; 39/19; ; 21/10; ; 39/19; 11/5; 21/10; ; ; ; 2; 2; 
Elche; 16/5; 3; ; 3; 10/3; ; 16/5; 11/4; 14/5; 16/5; 14/5; ; 16/5; ; 16/5; 3; 31/10; ; 31/10; ; 31/10; 17/5; 12/5; ; ; ; 3; 27/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 12:25:10 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 1; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; ; ; 20/21; 20/21; 
Draw; 11/5; 21/10; ; 21/10; 21/10; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; ; ; 2; 2; 
Elche; 16/5; 3; ; 3; 10/3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; ; 16/5; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 12/5; 41/13; ; ; 3; 27/10; 
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 16:27:05 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 1; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; ; ; 20/21; 20/21; 21/20
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; 39/19; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; ; ; 2; 2; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 16/5; 3; 31/10; 41/13; 31/10; 3; 31/10; 17/5; 12/5; 41/13; ; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-13 20:27:15 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 1; 1; ; 1; 19/20; 1; 1; 26/25; 1; 1; ; ; 20/21; 20/21; 21/20
Draw; 11/5; 21/10; ; 2; 11/5; 41/20; 11/5; 2; 2; 2; 2; 2; 21/10; 11/5; 2; 2; ; 21/10; 21/10; 21/10; 39/19; 11/5; 21/10; 21/10; ; ; 2; 2; 21/10
Elche; 16/5; 3; ; 3; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 3; 16/5; 27/10; 16/5; 3; ; 41/13; 31/10; 3; 31/10; 17/5; 12/5; 41/13; ; ; 3; 27/10; 10/3
META; spain/la-liga-segunda/reus-deportiu-v-elche; 2016-12-14 00:24:35 GMT+2; 2016-12-16 19:00; e70300-dr003
Reus Deportiu; 19/20; 19/20; ; 21/20; 1; 19/20; 1; 10/11; 10/11; 1; 1; 1; 1; 1; 21/20; 1; 1; 1; 19/20; 1; 1; 26/25; 1; 1; ; ; 20/21; ; 21/20
