Draw; 12/5; 85/40; ; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 2; 
Alcorcon; 5/2; 5/2; ; 5/2; 13/5; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 12/5; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 12/5; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 04:27:02 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; 21/20; 11/10; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 42/41; 21/20; ; 21/20; 1; 
Draw; 12/5; 85/40; ; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 2; 
Alcorcon; 5/2; 5/2; ; 5/2; 13/5; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 12/5; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 12/5; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 08:27:39 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; ; 21/20; 11/10; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 42/41; 21/20; ; 21/20; ; 
Draw; 12/5; 85/40; ; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; ; 
Alcorcon; 5/2; 5/2; ; 5/2; 13/5; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 12/5; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 12/5; 13/5; ; 5/2; ; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 12:27:59 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; 11/10; 21/20; 11/10; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 42/41; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 85/40; 41/20; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 21/10; 
Alcorcon; 5/2; 5/2; 13/5; 5/2; 13/5; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 12/5; 3; 13/5; 27/10; 29/10; 23/10; 14/5; 27/10; 3; 12/5; 13/5; ; 5/2; 12/5; 
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 16:28:15 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 23/20
Draw; 12/5; 85/40; 41/20; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 21/10; 21/10; 11/5
Alcorcon; 5/2; 5/2; 13/5; 5/2; 11/4; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 23/10; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 23/10; 13/5; ; 5/2; 12/5; 14/5
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-14 20:29:07 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 23/20
Draw; 12/5; 85/40; 41/20; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 28/13; 9/4; 9/4; 9/4; 28/13; 23/10; 11/5; 11/5; ; 2; 21/10; 11/5
Alcorcon; 5/2; 5/2; 13/5; 5/2; 11/4; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 23/10; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 23/10; 13/5; ; 5/2; 12/5; 14/5
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-15 00:27:03 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 21/20; 21/20; 11/10; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 11/10; 11/10; ; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 1; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 23/20
Draw; 12/5; 11/5; 41/20; 9/4; 9/4; 11/5; 9/4; 11/5; 2; 9/4; 21/10; 21/10; ; 9/4; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; ; 21/10; 21/10; 11/5
Alcorcon; 5/2; 5/2; 13/5; 5/2; 11/4; 12/5; 11/4; 13/5; 5/2; 29/10; 11/4; 5/2; ; 27/10; 23/10; 3; 13/5; 45/17; 29/10; 23/10; 14/5; 45/17; 3; 23/10; 13/5; ; 5/2; 12/5; 14/5
