META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-02 04:24:13 GMT+3; 2017-04-01 15:00; e70300-dr003
Aldershot; 6/5; 23/20; 6/5; 5/4; 6/5; 11/10; 5/4; 11/10; 5/4; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 15/13; 15/13; 11/10; 15/13; 5/4; 9/8; 11/10; ; 11/10; ; ; ; 
Solihull Moors; 11/5; 2; 43/20; 2; 11/5; 2; 21/10; 21/10; 11/5; 11/5; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 28/13; 2; 9/4; 28/13; 23/10; 2; 9/4; ; 9/4; ; ; ; 
Draw; 12/5; 23/10; 9/4; 11/5; 12/5; 43/20; 12/5; 23/10; 23/10; 23/10; 11/5; 21/10; 23/10; 21/10; 23/10; 12/5; 9/4; 11/5; 23/10; 9/4; 13/5; 40/17; 23/10; ; 23/10; ; ; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-02 08:24:18 GMT+3; 2017-04-09 17:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-02 16:20:51 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-03 04:19:05 GMT+3; ; e70300-dr003
Sevilla; 1/100; 1/100; 1/100; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; 1/100; ; 1/100; ; ; 1/100; ; 1/100; ; ; ; 
Atletico Madrid; 1/50; 1/66; 1/33; ; ; ; ; ; ; ; ; ; 1/50; ; 1/100; ; 1/33; 1/41; ; 1/33; ; 1/100; 1/41; ; 1/41; ; ; ; 
Villarreal; 20; 14; 20; ; ; ; ; ; ; ; ; ; 16; ; 16; ; 22; 16; ; 22; ; 16; 20; ; 20; ; 3; ; 
Real Sociedad; 25; 20; 25; ; ; ; ; ; ; ; ; ; 20; ; 20; ; 28; 20; ; 28; ; 20; 25; ; 25; ; 33/5; ; 
Valencia; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Athletic Bilbao; 66; 66; 100; ; ; ; ; ; ; ; ; ; 66; ; 50; ; 70; 50; ; 70; ; 50; 66; ; 66; ; 19/10; ; 
Eibar; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; 
Celta Vigo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Las Palmas; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Malaga; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Betis; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
Espanyol; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; 
Alaves; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; 
Deportivo La Coruna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; 
Granada; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; 
Leganes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/2; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-03 08:19:43 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
SD Huesca; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 8/5; ; 
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-05 11:31:32 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 29/20; 13/8; 6/4; 6/4; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 17/11; 9/5; 52/35; 8/5; ; 28/17; ; 6/4; 7/5; 13/8
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 9/5; 24/13; 9/5; 13/7; 24/13; ; 19/10; ; 9/5; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; 2; 19/10; 19/10; 2; 2; 2; 19/10; 2; 54/25; 13/7; 19/10; ; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-05 16:24:59 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 29/20; 13/8; 6/4; 6/4; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 17/11; 9/5; 52/35; 8/5; 6/4; 28/17; ; 6/4; 7/5; 13/8
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 19/10; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; 2; 19/10; 19/10; 2; 2; 2; 19/10; 2; 54/25; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-06 11:28:28 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 17/11; 9/5; 52/35; 8/5; 6/4; 28/17; ; 6/4; 7/5; 13/8
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 15/8; 9/5; 9/5; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 19/10; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; 2; 19/10; 19/10; 2; 2; 2; 19/10; 2; 54/25; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-06 16:09:29 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 29/20; 13/8; 6/4; 6/4; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; 6/4; 8/5; 17/11; 9/5; 52/35; 8/5; 6/4; 28/17; ; 6/4; 7/5; 13/8
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 9/5; 9/5; 9/5; 19/10; 19/10; 19/10; 15/8; 24/13; 24/13; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 19/10; 9/5; 19/10
SD Huesca; 2; 19/10; 2; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 2; 2; 2; 19/10; 19/10; 2; 2; 2; 19/10; 2; 54/25; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-06 20:09:51 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 6/4; 31/20; ; 8/5; 29/20; 13/8; 6/4; 6/4; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 17/11; 8/5; 6/4; 8/5; 8/5; 9/5; 52/35; 8/5; 6/4; 28/17; ; 7/5; ; 17/10
Draw; 19/10; 15/8; 37/20; ; 19/10; 20/11; 19/10; 9/5; 9/5; 9/5; 15/8; 15/8; 19/10; 15/8; 19/10; 15/8; 24/13; 24/13; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 19/10; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; ; 2; 19/10; 21/10; 15/8; 15/8; 2; 19/10; 2; 2; 19/10; 19/10; 2; 2; 2; 19/10; 2; 54/25; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-07 13:12:05 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 17/11; ; 17/11; 8/5; 8/5; 177/100; 52/35; 8/5; 6/4; 28/17; ; 6/4; 7/5; 17/10
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 9/5; 15/8; 15/8; 19/10; 15/8; 19/10; 15/8; ; 19/10; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 7/4; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 19/10; 2; 2; 19/10; 19/10; 2; ; 21/10; 19/10; 2; 11/5; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-sd-huesca; 2017-04-07 13:20:29 GMT+3; 2017-04-09 17:00; e70300-dr003
Reus Deportiu; 8/5; 13/8; 31/20; 8/5; 13/8; 6/4; 13/8; 6/4; 6/4; 13/8; 6/4; 31/20; 8/5; 6/4; 8/5; 17/11; ; 17/11; 8/5; 8/5; 177/100; 52/35; 8/5; 6/4; 28/17; ; 6/4; 7/5; 17/10
Draw; 19/10; 9/5; 37/20; 9/5; 19/10; 20/11; 19/10; 9/5; 9/5; 9/5; 15/8; 15/8; 19/10; 15/8; 19/10; 15/8; ; 19/10; 9/5; 24/13; 9/5; 13/7; 24/13; 15/8; 19/10; ; 7/4; 9/5; 19/10
SD Huesca; 2; 19/10; 39/20; 15/8; 2; 19/10; 21/10; 15/8; 15/8; 2; 19/10; 2; 2; 19/10; 19/10; 2; ; 21/10; 19/10; 2; 11/5; 13/7; 19/10; 15/8; 37/19; ; 15/8; 15/8; 21/10
