META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-02 04:24:02 GMT+3; 2017-04-01 07:00; e70300-dr003
Yokohama F-Marinos; 7/5; 29/20; 29/20; 29/20; 7/5; 27/20; 7/5; 7/5; ; ; 7/5; 7/5; 29/20; ; ; 7/5; 16/11; ; 6/4; 16/11; ; 26/19; 6/4; 7/5; 6/4; ; ; 7/5; 6/4
Cerezo Osaka; 9/5; 9/5; 39/20; 15/8; 15/8; 9/5; 2; 15/8; ; ; 9/5; 7/4; 15/8; ; ; 15/8; 24/13; ; 17/10; 24/13; ; 19/11; 17/10; 9/5; 17/10; ; ; 15/8; 19/10
Draw; 12/5; 21/10; 21/10; 2; 11/5; 43/20; 9/4; 21/10; ; ; 2; 2; 11/5; ; ; 11/5; 11/5; ; 23/10; 11/5; ; 11/5; 23/10; 21/10; 23/10; ; ; 21/10; 23/10
META; spain/la-liga-segunda/elche-v-sevilla-b; 2017-04-02 08:24:04 GMT+3; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 5; 11/2; 6; 11/2; 5; 6; 11/2; 5; 5; 11/2; 5; 11/2; 5; 5; 11/2; 25/4; 11/2; 6; 25/4; ; 51/10; 6; ; 6; ; ; 26/5; 
Sutton 1-0; 8; 15/2; 8; 8; 15/2; 15/2; 17/2; 17/2; 15/2; 8; 8; 8; 15/2; 8; 15/2; 15/2; 33/4; 31/4; 8; 33/4; ; 73/10; 8; ; 8; ; ; 15/2; 
Woking 1-0; 8; 15/2; 8; 15/2; 15/2; 15/2; 17/2; 8; 8; 8; 8; 8; 15/2; 8; 15/2; 15/2; 33/4; 15/2; 8; 33/4; ; 69/10; 8; ; 8; ; ; 39/5; 
Sutton 2-1; 9; 17/2; 9; 9; 9; 17/2; 9; 9; 9; 17/2; 17/2; 8; 17/2; 17/2; 9; 17/2; 19/2; 9; 19/2; 19/2; ; 17/2; 19/2; ; 19/2; ; ; 43/5; 
Woking 2-1; 9; 9; 9; 17/2; 8; 17/2; 9; 17/2; 9; 17/2; 17/2; 8; 17/2; 17/2; 8; 17/2; 39/4; 35/4; 19/2; 39/4; ; 81/10; 19/2; ; 19/2; ; ; 43/5; 
Draw 0-0; 10; 10; 10; 10; 9; 10; 7; 17/2; 9; 9; 9; 9; 7; 9; 9; 8; 31/4; 29/4; 8; 31/4; ; 10; 8; ; 8; ; ; 46/5; 
Woking 2-0; 12; 12; 12; 12; 12; 11; 13; 13; 12; 12; 12; 12; 12; 12; 11; 11; 51/4; 12; 12; 51/4; ; 11; 12; ; 12; ; ; 63/5; 
Sutton 2-0; 12; 11; 12; 14; 12; 12; 13; 13; 12; 12; 12; 12; 14; 12; 11; 12; 49/4; 12; 12; 49/4; ; 12; 12; ; 12; ; ; 12; 
Draw 2-2; 12; 12; 12; 14; 12; 12; 13; 12; 12; 12; 12; 11; 12; 11; 11; 12; 29/2; 25/2; 14; 29/2; ; 13; 14; ; 14; ; ; 12; 
Woking 3-1; 20; 20; 18; 20; 20; 20; 21; 20; 20; 20; 20; 20; 18; 20; 18; 18; 85/4; 18; 20; 85/4; ; 19; 20; ; 20; ; ; 22; 
Sutton 3-1; 20; 20; 18; 20; 20; 20; 21; 20; 20; 20; 20; 18; 22; 20; 18; 18; 83/4; 37/2; 20; 83/4; ; 20; 20; ; 20; ; ; 22; 
Woking 3-0; 25; 28; 25; 25; 25; 25; 30; 25; 28; 28; 28; 25; 28; 28; 22; 25; 103/4; 25; 24; 103/4; ; 25; 24; ; 24; ; ; 33; 
