META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 00:25:40 GMT+3; 2016-10-02 15:00; e70300-dr003
Gimnastic; 11/10; 23/20; ; ; 23/20; ; ; ; ; ; 23/20; ; ; 23/20; ; ; 15/13; 15/13; ; ; ; 15/13; ; ; ; ; 1/33; ; 
Draw; 23/10; 85/40; ; ; 11/5; ; ; ; ; ; 21/10; ; ; 21/10; ; ; 11/5; 11/5; ; ; ; 11/5; ; ; ; ; 1/33; ; 
Sevilla B; 5/2; 23/10; ; ; 5/2; ; ; ; ; ; 5/2; ; ; 51/20; ; ; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; 1/33; ; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 04:26:26 GMT+3; 2016-10-02 15:00; e70300-dr003
Gimnastic; 11/10; 23/20; ; ; 23/20; ; ; ; ; 11/10; 23/20; ; ; 23/20; ; ; 15/13; 15/13; 11/10; ; 11/10; 15/13; 6/5; ; ; ; 1/33; ; 
Draw; 23/10; 85/40; ; ; 11/5; ; ; ; ; 9/4; 21/10; ; ; 21/10; ; ; 11/5; 11/5; 9/4; ; 9/4; 11/5; 11/5; ; ; ; 1/33; ; 
Sevilla B; 5/2; 23/10; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; ; 51/20; ; ; 12/5; 12/5; 13/5; ; 13/5; 12/5; 14/5; ; ; ; 1/33; ; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 08:27:08 GMT+3; 2016-10-02 15:00; e70300-dr003
Gimnastic; 11/10; 23/20; ; ; 23/20; ; ; ; ; 11/10; 23/20; ; ; 11/10; ; ; 15/13; 15/13; 11/10; 11/10; 11/10; 15/13; 6/5; ; ; ; 1/33; ; 
Draw; 23/10; 85/40; ; ; 11/5; ; ; ; ; 9/4; 21/10; ; ; 11/5; ; ; 11/5; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; ; ; ; 1/33; ; 
Sevilla B; 5/2; 23/10; ; ; 5/2; ; ; ; ; 13/5; 5/2; ; ; 13/5; ; ; 12/5; 40/17; 13/5; 23/10; 13/5; 40/17; 14/5; ; ; ; 1/33; ; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 12:26:33 GMT+3; 2016-10-02 15:00; e70300-dr003
Gimnastic; 21/20; 11/10; ; ; 23/20; 21/20; ; ; ; 11/10; 21/20; ; ; 11/10; ; 23/20; 21/20; 21/20; 11/10; 6/5; 11/10; 1; 6/5; ; 21/20; ; 1/33; 10/9; 
Draw; 23/10; 21/10; ; ; 11/5; 41/20; ; ; ; 9/4; 21/10; ; ; 11/5; ; 21/10; 11/5; 21/10; 9/4; 9/4; 9/4; 28/13; 11/5; ; 21/10; ; 1/33; 19/10; 
Sevilla B; 13/5; 12/5; ; ; 13/5; 12/5; ; ; ; 13/5; 14/5; ; ; 53/20; ; 13/5; 13/5; 27/10; 13/5; 12/5; 13/5; 37/13; 14/5; ; 11/4; ; 1/33; 21/10; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 16:32:17 GMT+3; 2016-10-02 15:00; e70300-dr003
Gimnastic; 21/20; 21/20; ; 21/20; 11/10; 19/20; ; ; ; 11/10; 21/20; 21/20; 21/20; 21/20; ; 1; 21/20; 1; 11/10; 21/20; 11/10; 1; 6/5; ; 21/20; ; 1/33; 1; 
Draw; 23/10; 85/40; ; 2; 11/5; 21/10; ; ; ; 9/4; 21/10; 2; 21/10; 11/5; ; 21/10; 2; 28/13; 9/4; 23/10; 9/4; 28/13; 11/5; ; 21/10; ; 1/33; 21/10; 
Sevilla B; 13/5; 13/5; ; 14/5; 11/4; 13/5; ; ; ; 13/5; 14/5; 27/10; 11/4; 57/20; ; 3; 11/4; 37/13; 13/5; 27/10; 13/5; 37/13; 14/5; ; 11/4; ; 1/33; 5/2; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-27 20:28:05 GMT+3; 2016-10-01 17:00; e70300-dr003
Gimnastic; 21/20; 21/20; ; 1; 21/20; 19/20; ; 1; ; 11/10; 1; 21/20; 21/20; 1; ; 1; 1; 1; 11/10; 21/20; 11/10; 1; 6/5; 1; 21/20; ; 1; 1; 
Draw; 23/10; 85/40; ; 21/10; 11/5; 21/10; ; 11/5; ; 9/4; 21/10; 2; 21/10; 11/5; ; 21/10; 11/5; 28/13; 9/4; 23/10; 9/4; 28/13; 11/5; 21/10; 21/10; ; 2; 21/10; 
Sevilla B; 13/5; 13/5; ; 14/5; 11/4; 13/5; ; 13/5; ; 13/5; 3; 27/10; 11/4; 29/10; ; 3; 11/4; 37/13; 13/5; 27/10; 13/5; 37/13; 14/5; 13/5; 11/4; ; 12/5; 5/2; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-28 00:26:58 GMT+3; 2016-10-01 17:00; e70300-dr003
Gimnastic; 21/20; 21/20; ; 1; 21/20; 19/20; ; 1; 1; 11/10; 1; 21/20; 21/20; 1; ; 1; 1; 1; 11/10; 21/20; 11/10; 1; 6/5; 1; 21/20; ; 1; 20/21; 
Draw; 23/10; 85/40; ; 21/10; 11/5; 21/10; ; 11/5; 2; 9/4; 21/10; 2; 21/10; 11/5; ; 21/10; 11/5; 28/13; 9/4; 23/10; 9/4; 28/13; 11/5; 21/10; 21/10; ; 2; 21/10; 
Sevilla B; 13/5; 13/5; ; 14/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 3; 27/10; 11/4; 29/10; ; 3; 11/4; 37/13; 13/5; 27/10; 13/5; 37/13; 14/5; 13/5; 11/4; ; 12/5; 9/4; 
META; spain/la-liga-segunda/gimnastic-v-sevilla-b; 2016-09-28 04:25:18 GMT+3; 2016-10-01 17:00; e70300-dr003
Gimnastic; 21/20; 21/20; ; 1; 21/20; 19/20; ; 1; 1; 11/10; 1; 21/20; 21/20; 1; ; 1; 1; 1; 11/10; 21/20; 11/10; 1; 6/5; 1; 21/20; ; 1; 1; 
