META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-07 04:24:57 GMT+2; 2017-01-11 19:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-07 08:25:13 GMT+2; 2017-01-11 19:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-07 12:29:16 GMT+2; 2017-01-11 19:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-07 16:29:32 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-07 20:27:05 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 00:26:26 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 04:23:31 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 08:23:44 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 12:24:39 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 16:25:21 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-08 20:25:05 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 00:23:38 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 04:22:57 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 08:23:27 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/15; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; 
UCAM Murcia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/9; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 12:23:37 GMT+2; 2017-01-11 19:00; e70300-dr003
UCAM Murcia; ; ; ; ; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10/9; ; 
Levante; ; ; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/20; ; 
Draw; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 16:24:32 GMT+2; 2017-01-11 19:00; e70300-dr003
UCAM Murcia CF; 6/4; ; ; ; 13/8; 31/20; ; ; ; ; ; ; ; ; ; 17/11; ; 17/11; ; ; ; ; ; ; ; ; ; 
UCAM Murcia; ; 13/8; ; 13/8; ; ; 17/10; 6/4; ; 13/8; ; ; 33/20; ; ; ; 8/5; ; ; 8/5; ; 6/4; ; 13/8; ; 13/8; 6/4; 
Levante; 15/8; 9/5; ; 9/5; 19/10; 9/5; 19/10; 9/5; ; 19/10; ; ; 15/8; ; ; 15/8; 19/10; 19/10; ; 19/10; ; 13/8; ; 9/5; ; 15/8; 7/4; 
Draw; 15/8; 19/10; ; 19/10; 2; 15/8; 2; 15/8; ; 2; ; ; 39/20; ; ; 2; 37/19; 37/19; ; 37/19; ; 2; ; 15/8; ; 19/10; 19/10; 
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-09 20:24:12 GMT+2; 2017-01-11 19:00; e70300-dr003
UCAM Murcia CF; 13/8; ; ; ; 7/4; 31/20; ; ; ; ; ; ; ; ; ; 7/4; ; 17/11; ; ; ; ; ; ; ; ; ; 
UCAM Murcia; ; 17/10; ; 17/10; ; ; 9/5; 13/8; 13/8; 7/4; 17/10; ; 7/4; 17/10; ; ; 7/4; ; ; 7/4; ; 6/4; ; 7/4; ; 7/4; 13/8; 15/8
Levante; 7/4; 17/10; ; 17/10; 7/4; 17/10; 9/5; 17/10; 13/8; 7/4; 17/10; ; 7/4; 17/10; ; 7/4; 7/4; 19/10; ; 7/4; ; 6/4; ; 17/10; ; 7/4; 6/4; 9/5
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; ; 39/20; 19/10; ; 15/8; 37/19; 37/19; ; 37/19; ; 2; ; 15/8; ; 19/10; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 00:24:05 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 8/5; 13/8; ; 13/8; 17/10; 8/5; 17/10; 17/10; 8/5; 17/10; 8/5; ; 33/20; 13/8; ; 8/5; 17/10; 7/4; ; 17/10; ; 6/4; ; 17/10; ; 13/8; 6/4; 7/4
UCAM Murcia CF; 7/4; ; ; ; 9/5; 5/3; ; ; ; ; ; ; ; ; ; 7/4; ; 28/17; ; ; ; ; ; ; ; ; ; 
UCAM Murcia; ; 7/4; ; 7/4; ; ; 15/8; 13/8; 13/8; 15/8; 7/4; ; 37/20; 9/5; ; ; 9/5; ; ; 9/5; ; 13/8; ; 9/5; ; 9/5; 17/10; 19/10
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; ; 39/20; 2; ; 2; 37/19; 37/19; ; 37/19; ; 2; ; 15/8; ; 2; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 04:24:14 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 17/10; 13/8; ; 13/8; 17/10; 8/5; 17/10; 17/10; 8/5; 13/8; 8/5; ; 33/20; 13/8; ; 8/5; 28/17; 7/4; ; 28/17; ; 6/4; ; 17/10; ; 13/8; 6/4; 17/10
UCAM Murcia; ; 7/4; ; 7/4; ; ; 15/8; 13/8; 13/8; 15/8; 7/4; ; 37/20; 9/5; ; ; 24/13; ; ; 24/13; ; 13/8; ; 9/5; ; 15/8; 17/10; 19/10
UCAM Murcia CF; 19/10; ; ; ; 9/5; 5/3; ; ; ; ; ; ; ; ; ; 9/5; ; 28/17; ; ; ; ; ; ; ; ; ; 
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; ; 39/20; 2; ; 15/8; 37/19; 37/19; ; 37/19; ; 2; ; 15/8; ; 2; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 08:24:24 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 17/10; 13/8; ; 13/8; 17/10; 31/20; 17/10; 17/10; 8/5; 13/8; 8/5; ; 33/20; 13/8; ; 8/5; 28/17; 7/4; ; 28/17; ; 6/4; ; 17/10; ; 13/8; ; 17/10
UCAM Murcia; ; 7/4; ; 7/4; ; ; 15/8; 13/8; 13/8; 15/8; 7/4; ; 37/20; 9/5; ; ; 24/13; ; ; 24/13; ; 13/8; ; 9/5; ; 15/8; ; 19/10
UCAM Murcia CF; 19/10; ; ; ; 9/5; 17/10; ; ; ; ; ; ; ; ; ; 9/5; ; 28/17; ; ; ; ; ; ; ; ; ; 
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; ; 39/20; 2; ; 15/8; 37/19; 37/19; ; 37/19; ; 2; ; 15/8; ; 2; ; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 12:24:31 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 13/8; 13/8; ; 13/8; 13/8; 31/20; 17/10; 17/10; 8/5; 13/8; 8/5; ; 33/20; 13/8; ; 8/5; 28/17; 7/4; ; 28/17; 173/100; 6/4; ; 17/10; ; 13/8; 6/4; 17/10
UCAM Murcia; ; 9/5; ; 7/4; ; ; 19/10; 13/8; 13/8; 15/8; 7/4; ; 15/8; 9/5; ; ; 24/13; ; ; 24/13; 199/100; 13/8; ; 9/5; ; 15/8; 17/10; 19/10
UCAM Murcia CF; 2; ; ; ; 15/8; 17/10; ; ; ; ; ; ; ; ; ; 9/5; ; 28/17; ; ; ; ; ; ; ; ; ; 
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; ; 39/20; 2; ; 15/8; 37/19; 37/19; ; 37/19; 52/25; 2; ; 15/8; ; 2; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 16:25:00 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 13/8; 13/8; ; 13/8; 13/8; 31/20; 17/10; 17/10; 8/5; 13/8; 8/5; 6/4; 33/20; 13/8; ; 8/5; 28/17; 7/4; ; 28/17; 167/100; 6/4; ; 17/10; ; 13/8; 7/5; 17/10
UCAM Murcia CF; 2; ; ; ; 15/8; 17/10; ; ; ; ; ; ; ; ; ; 9/5; ; 28/17; ; ; ; ; ; ; ; ; ; 
UCAM Murcia; ; 9/5; ; 7/4; ; ; 19/10; 13/8; 13/8; 15/8; 7/4; 15/8; 15/8; 9/5; ; ; 24/13; ; ; 24/13; 103/50; 13/8; ; 9/5; ; 19/10; 17/10; 19/10
Draw; 15/8; 19/10; ; 2; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; ; 15/8; 37/19; 37/19; ; 37/19; 103/50; 2; ; 15/8; ; 2; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-10 20:24:57 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 13/8; 13/8; ; 13/8; 13/8; 31/20; 17/10; 17/10; 6/4; 17/10; 8/5; 6/4; 33/20; 13/8; ; 8/5; 28/17; 7/4; ; 28/17; 179/100; 6/4; ; 13/8; ; 13/8; 6/4; 7/4
UCAM Murcia; ; 9/5; ; 9/5; ; ; 19/10; 13/8; 7/4; 15/8; 7/4; 15/8; 15/8; 9/5; ; ; 24/13; ; ; 24/13; 197/100; 13/8; ; 15/8; ; 19/10; 17/10; 19/10
UCAM Murcia CF; 2; ; ; ; 15/8; 17/10; ; ; ; ; ; ; ; ; ; 9/5; ; 28/17; ; ; ; ; ; ; ; ; ; 
Draw; 15/8; 19/10; ; 19/10; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; ; 15/8; 37/19; 37/19; ; 37/19; 101/50; 2; ; 15/8; ; 2; 19/10; 2
META; spain/la-liga-segunda/ucam-murcia-v-levante; 2017-01-11 00:23:55 GMT+2; 2017-01-11 19:00; e70300-dr003
Levante; 6/4; 6/4; ; 13/8; 8/5; 31/20; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; 8/5; ; 17/11; 8/5; 28/17; ; 8/5; 33/20; 6/4; ; 13/8; ; 13/8; 7/5; 17/10
Draw; 19/10; 19/10; ; 9/5; 2; 19/10; 2; 15/8; 15/8; 19/10; 19/10; 2; 39/20; 2; ; 2; 2; 37/19; ; 2; 197/100; 2; ; 15/8; ; 2; 19/10; 2
UCAM Murcia CF; 21/10; ; ; ; 19/10; 17/10; ; ; ; ; ; ; ; ; ; 15/8; ; 7/4; ; ; ; ; ; ; ; ; ; 
UCAM Murcia; ; 15/8; ; 19/10; ; ; 2; 9/5; 7/4; 19/10; 9/5; 15/8; 19/10; 15/8; ; ; 19/10; ; ; 19/10; 11/5; 13/8; ; 9/5; ; 19/10; 7/4; 2
