META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-03 16:25:29 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; ; 13/8; ; 13/8; 17/10; 13/8; ; ; ; ; 7/4; 13/8; 8/5; 17/10; ; 17/10; ; 7/4; ; ; ; 7/4; 5/3; 27/17; ; ; ; 6/4; 
Sevilla Atletico; ; 13/8; ; 17/10; 7/4; 31/20; ; ; ; ; 17/10; 33/20; 17/10; 17/10; ; 17/10; ; 28/17; ; ; ; 28/17; 2; 6/4; ; ; ; 8/5; 
Draw; ; 2; ; 2; 21/10; 2; ; ; ; ; 2; 2; 21/10; 21/10; ; 2; ; 2; ; ; ; 2; 21/10; 11/5; ; ; ; 15/8; 
META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-03 20:26:50 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; 17/10; 13/8; 33/20; 17/10; 17/10; 13/8; ; ; ; 17/10; 7/4; 33/20; 8/5; 17/10; ; 17/10; ; 17/10; 17/10; ; 17/10; 17/10; 5/3; 11/7; ; ; 11/10; 6/4; 
Sevilla Atletico; 17/10; 13/8; 33/20; 13/8; 7/4; 31/20; ; ; ; 17/10; 17/10; 33/20; 17/10; 17/10; ; 17/10; ; 28/17; 17/10; ; 17/10; 28/17; 2; 20/13; ; ; 11/10; 6/4; 
Draw; 21/10; 2; 41/20; 2; 21/10; 2; ; ; ; 21/10; 2; 2; 21/10; 21/10; ; 2; ; 39/19; 21/10; ; 21/10; 39/19; 21/10; 28/13; ; ; 6/4; 15/8; 
META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-04 00:25:03 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; 17/10; 13/8; 33/20; 17/10; 17/10; 13/8; ; ; 8/5; 17/10; 7/4; 33/20; 8/5; 17/10; ; 17/10; 8/5; 17/10; 17/10; ; 17/10; 17/10; 9/5; 11/7; ; ; 5/4; 6/4; 
Sevilla Atletico; 17/10; 13/8; 33/20; 13/8; 17/10; 31/20; ; ; 13/8; 17/10; 17/10; 33/20; 17/10; 17/10; ; 17/10; 7/4; 28/17; 17/10; ; 17/10; 28/17; 17/9; 20/13; ; ; 5/4; 6/4; 
Draw; 21/10; 2; 41/20; 2; 21/10; 2; ; ; 2; 21/10; 2; 2; 21/10; 21/10; ; 2; 2; 39/19; 21/10; ; 21/10; 39/19; 21/10; 28/13; ; ; 6/4; 15/8; 
META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-04 04:24:57 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; 17/10; 13/8; 33/20; 17/10; 17/10; 13/8; ; ; 8/5; 17/10; 7/4; 33/20; 8/5; 17/10; ; 17/10; 8/5; 17/10; 17/10; 8/5; 17/10; 17/10; 9/5; 11/7; ; ; 5/4; 6/4; 
Sevilla Atletico; 17/10; 13/8; 33/20; 13/8; 17/10; 31/20; ; ; 13/8; 17/10; 17/10; 33/20; 17/10; 17/10; ; 17/10; 7/4; 28/17; 17/10; 28/17; 17/10; 28/17; 24/13; 20/13; ; ; 5/4; 6/4; 
Draw; 21/10; 2; 41/20; 2; 21/10; 2; ; ; 2; 21/10; 2; 2; 21/10; 21/10; ; 2; 2; 39/19; 21/10; 37/19; 21/10; 39/19; 21/10; 28/13; ; ; 6/4; 15/8; 
META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-04 08:25:58 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; 17/10; 13/8; 13/8; 13/8; 17/10; 13/8; ; 13/8; 8/5; 17/10; 17/10; 13/8; 8/5; 33/20; ; 17/10; 8/5; 28/17; 17/10; 8/5; 17/10; 28/17; 9/5; 11/7; ; ; 5/4; 6/4; 
Sevilla Atletico; 17/10; 13/8; 17/10; 13/8; 17/10; 31/20; ; 8/5; 13/8; 17/10; 7/4; 33/20; 17/10; 7/4; ; 17/10; 7/4; 17/10; 17/10; 28/17; 17/10; 17/10; 24/13; 20/13; ; ; 5/4; 13/8; 
Draw; 21/10; 2; 41/20; 21/10; 21/10; 2; ; 2; 2; 21/10; 2; 2; 21/10; 21/10; ; 2; 2; 2; 21/10; 37/19; 21/10; 2; 21/10; 28/13; ; ; 6/4; 15/8; 
META; spain/la-liga-segunda/sevilla-atletico-v-zaragoza; 2016-10-04 12:26:45 GMT+3; 2016-10-08 19:00; e70300-dr003
Zaragoza; 17/10; 13/8; 13/8; 13/8; 17/10; 13/8; ; 13/8; 8/5; 17/10; 17/10; 13/8; 8/5; 33/20; ; 17/10; 8/5; 28/17; 17/10; 8/5; 17/10; 28/17; 9/5; 11/7; ; ; 8/5; 6/4; 
