META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-29 08:23:17 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 23/20; ; 11/10; 6/5; 13/10; 5/4; 5/4; 5/4; ; 13/10; ; 6/5; 6/5; 23/20; 6/5; 5/4; 16/13; 7/6; ; 6/5; ; ; 6/5; 
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 21/10; ; 2; ; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 
Numancia; 13/5; 12/5; 23/10; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 9/4; 9/4; 12/5; ; 23/10; ; 27/11; 23/10; 13/5; 27/11; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-29 20:22:01 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 23/20; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; ; 6/5; 6/5; 23/20; 6/5; 5/4; 16/13; 7/6; ; 6/5; ; ; 6/5; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; ; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; ; 27/11; 23/10; 13/5; 27/11; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-30 20:23:30 GMT+3; 2017-04-03 18:00; e70300-dr003
Sevilla B; 23/20; 23/20; 5/4; 6/5; 6/5; 23/20; ; 11/10; 6/5; 13/10; 5/4; 5/4; 13/10; ; 13/10; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 16/13; 7/6; ; 6/5; ; ; 23/20; 13/10
Draw; 21/10; 2; 2; 2; 21/10; 39/20; ; 2; 15/8; 2; 2; 2; 2; ; 2; 2; 2; 21/10; 19/10; 2; 21/10; 2; 37/19; ; 2; ; ; 19/10; 21/10
Numancia; 13/5; 12/5; 9/4; 23/10; 5/2; 9/4; ; 5/2; 11/5; 12/5; 11/5; 9/4; 47/20; ; 23/10; 12/5; 27/11; 23/10; 13/5; 27/11; 14/5; 21/10; 13/5; ; 45/17; ; ; 11/5; 5/2
META; spain/la-liga-segunda/sevilla-b-v-numancia; 2017-03-31 00:21:58 GMT+3; ; e70300-dr003
Borussia Dortmund; 1/150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; 1/100; ; 1006; ; 1/100; ; ; ; ; ; ; 
RB Leipzig; 1/125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; 1/100; ; 1006; ; 1/100; ; ; ; ; ; ; 
Hoffenheim; 2/7; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/18; 3/10; ; 5/18; ; 1/5; ; ; ; ; ; ; 
Hertha Berlin; 4; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; 3; ; 4; ; 7/2; ; ; ; ; ; ; 
FC Koln; 12; ; 16; ; ; ; ; ; ; ; ; ; ; ; ; ; 14; 14; ; 14; ; 12; ; ; ; ; ; ; 
Eintracht Frankfurt; 33; ; 50; ; ; ; ; ; ; ; ; ; ; ; ; ; 30; 50; ; 30; ; 33; ; ; ; ; ; ; 
Schalke 04; 40; ; 66; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; 40; ; 50; ; 40; ; ; ; ; ; ; 
Monchengladbach; 66; ; 80; ; ; ; ; ; ; ; ; ; ; ; ; ; 60; 80; ; 60; ; 66; ; ; ; ; ; ; 
Freiburg; 80; ; 100; ; ; ; ; ; ; ; ; ; ; ; ; ; 100; 50; ; 100; ; 66; ; ; ; ; ; ; 
Bayer Leverkusen; 200; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; 225; 100; ; 225; ; 100; ; ; ; ; ; ; 
Mainz 05; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 600; ; ; 600; ; ; ; ; ; ; ; ; 
Augsburg; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Werder Bremen; 1000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
