META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-10 16:25:46 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 17/20; ; 17/20; ; 5/6; 5/6; ; ; ; 17/20; 5/6; ; ; ; 5/6; ; 13/15; ; ; ; 13/15; 7/9; 5/6; ; ; ; ; ; 
Draw; 11/5; ; 11/5; ; 23/10; 43/20; ; ; ; 23/10; 11/5; ; ; ; 12/5; ; 11/5; ; ; ; 11/5; 27/11; 9/4; ; ; ; ; ; 
Sevilla Atletico; 15/4; ; 17/5; ; 7/2; 3; ; ; ; 7/2; 17/5; ; ; ; 10/3; ; 41/13; ; ; ; 41/13; 23/5; 58/19; ; ; ; ; ; 
META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-10 20:27:35 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 4/5; 4/5; 5/6; ; 5/6; 3/4; ; ; ; 4/5; 5/6; ; 4/5; ; 5/6; ; 14/19; ; 4/5; ; 14/19; 7/9; 5/6; ; ; ; 4/7; ; 
Draw; 9/4; 9/4; 11/5; ; 23/10; 9/4; ; ; ; 23/10; 11/5; ; 47/20; ; 12/5; ; 23/10; ; 11/5; ; 23/10; 27/11; 9/4; ; ; ; 17/10; ; 
Sevilla Atletico; 4; 7/2; 7/2; ; 7/2; 10/3; ; ; ; 4; 7/2; ; 15/4; ; 10/3; ; 4; ; 10/3; ; 4; 23/5; 58/19; ; ; ; 2; ; 
META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-11 00:24:40 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 4/5; 3/4; 4/5; ; 4/5; 3/4; ; ; 8/11; 4/5; 4/5; ; 10/13; 3/4; 3/4; ; 10/13; ; 4/5; ; 10/13; 7/9; 4/5; ; ; ; 8/11; ; 
Draw; 9/4; 9/4; 9/4; ; 12/5; 9/4; ; ; 9/4; 23/10; 9/4; ; 12/5; 5/2; 23/10; ; 40/17; ; 11/5; ; 40/17; 27/11; 23/10; ; ; ; 9/4; ; 
Sevilla Atletico; 4; 15/4; 18/5; ; 4; 10/3; ; ; 7/2; 15/4; 18/5; ; 15/4; 10/3; 4; ; 50/13; ; 10/3; ; 50/13; 23/5; 31/10; ; ; ; 3; ; 
META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-11 04:25:09 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 8/11; 8/11; 4/5; ; 4/5; 3/4; ; 8/11; 4/6; 3/4; 4/5; ; 3/4; 3/4; 3/4; ; 5/7; ; 4/5; ; 5/7; 7/9; 10/13; ; ; ; 8/11; ; 
Draw; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 9/4; 23/10; 12/5; 9/4; ; 12/5; 5/2; 23/10; ; 12/5; ; 11/5; ; 12/5; 27/11; 23/10; ; ; ; 9/4; ; 
Sevilla Atletico; 9/2; 15/4; 18/5; ; 4; 10/3; ; 7/2; 7/2; 4; 18/5; ; 4; 10/3; 4; ; 54/13; ; 10/3; ; 54/13; 23/5; 13/4; ; ; ; 3; ; 
META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-11 08:25:27 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 3/4; 8/11; 4/5; ; 4/5; 7/10; ; 8/11; 4/6; 3/4; 3/4; ; 3/4; 3/4; 3/4; ; 5/7; ; 4/5; ; 5/7; 7/9; 10/13; ; 3/4; ; 8/11; ; 
Draw; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 9/4; 23/10; 12/5; 9/4; ; 49/20; 5/2; 23/10; ; 12/5; ; 11/5; ; 12/5; 27/11; 23/10; ; 12/5; ; 23/10; ; 
Sevilla Atletico; 17/4; 15/4; 37/10; ; 4; 18/5; ; 7/2; 7/2; 4; 18/5; ; 4; 10/3; 4; ; 41/10; ; 10/3; ; 41/10; 23/5; 13/4; ; 15/4; ; 3; ; 
META; spain/la-liga-segunda/cordoba-v-sevilla-atletico; 2016-10-11 12:26:59 GMT+3; 2016-10-16 15:00; e70300-dr003
Cordoba; 3/4; 8/11; 4/5; ; 4/5; 7/10; ; 8/11; 4/6; 3/4; 3/4; ; 3/4; 3/4; 3/4; ; 5/7; ; 4/5; ; 5/7; 7/9; 10/13; ; 3/4; ; 8/11; ; 
Draw; 23/10; 23/10; 9/4; ; 12/5; 23/10; ; 9/4; 23/10; 23/10; 9/4; ; 12/5; 5/2; 23/10; ; 12/5; ; 11/5; ; 12/5; 27/11; 23/10; ; 12/5; ; 23/10; ; 
Sevilla Atletico; 17/4; 15/4; 37/10; ; 4; 18/5; ; 7/2; 7/2; 17/4; 18/5; ; 4; 10/3; 4; ; 41/10; ; 10/3; ; 41/10; 23/5; 13/4; ; 15/4; ; 3; ; 
