META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 00:25:58 GMT+2; 2017-04-02 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 04:24:41 GMT+2; 2017-04-02 15:00; e70300-dr003
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Lugo; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Reus Deportiu; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 08:23:35 GMT+2; ; e70300-dr003
Sunderland; 1/12; 1/16; 1/25; 1/12; 1/12; 1/16; 1/25; 1/18; 1/16; 1/20; 1/20; 1/16; 1/20; 1/18; 1/16; 1/16; 1/16; 1/16; 1/14; 1/16; 7/100; 1/19; 1/14; ; 1/14; ; ; ; 
Middlesbrough; 2/9; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 1/4; 2/9; 1/4; 1/4; 1/4; 2/9; 2/9; 1/4; 1/4; 2/9; 1/5; 1/4; 1/4; 1/4; 1/5; ; 1/5; ; ; ; 
Hull; 1/2; 4/9; 1/3; 4/9; 4/9; 2/5; 4/9; 1/2; 2/5; 4/9; 1/2; 4/11; 21/50; 1/2; 4/9; 4/9; 2/5; 1/2; 1/2; 2/5; 19/50; 6/17; 1/2; ; 1/2; ; ; 4/9; 
Swansea; 11/4; 5/2; 5/2; 11/4; 3; 9/4; 2; 3; 11/4; 13/5; 11/4; 11/4; 9/4; 3; 11/4; 11/4; 12/5; 11/4; 3; 12/5; 13/5; 21/10; 3; ; 3; ; ; 3; 
Crystal Palace; 7/2; 3; 3; 11/4; 3; 7/2; 7/2; 3; 10/3; 10/3; 3; 7/2; 16/5; 3; 3; 7/2; 57/17; 3; 7/2; 7/2; 10/3; 3; 7/2; ; 7/2; ; ; 3; 
Watford; 12; 9; 12; 12; 12; 10; 12; 14; 12; 9; 12; 12; 12; 14; 11; 12; 11; 12; 11; 11; 12; 12; 11; ; 11; ; ; 13; 
Burnley; 16; 18; 16; 14; 16; 14; 16; 18; 14; 12; 12; 14; 14; 18; 16; 16; 16; 16; 16; 16; 15; 14; 16; ; 16; ; ; 17; 
Leicester; 25; 20; 25; 14; 20; 25; 25; 25; 20; 20; 20; 20; 20; 28; 20; 25; 87/4; 22; 25; 87/4; 18; 20; 25; ; 25; ; ; ; 
Bournemouth; 33; 33; 25; 16; 28; 25; 40; 40; 20; 33; 28; 33; 33; 40; 33; 33; 40; 33; 33; 40; 22; 33; 33; ; 33; ; ; ; 
West Ham; 40; 40; ; 40; 40; 40; ; 40; ; 25; 40; ; ; 40; ; 40; 45; 50; 40; 45; 40; 40; 40; ; 40; ; ; 31; 
META; spain/la-liga-segunda/lugo-v-reus-deportiu; 2017-03-26 12:22:10 GMT+2; 2017-04-02 15:00; e70300-dr003
