META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-12 16:24:21 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 2; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-12 20:25:33 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; ; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; ; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; ; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 00:23:34 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 04:23:36 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 08:23:53 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 12:25:18 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 16:25:17 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-13 20:25:40 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 00:23:13 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 04:22:26 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 08:22:22 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 12:22:56 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 16:23:41 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; ; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; ; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; ; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-14 20:24:18 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; ; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; 1/50; ; 
Draw; 2; ; 2; 21/10; ; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 2; 21/10; 28/13; ; 1/50; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; ; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; 1/50; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 00:22:24 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; 7/5; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; 1/50; ; 
Draw; 2; ; 2; 21/10; 21/10; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; 1/50; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; 1/50; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 04:22:14 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; 7/5; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; 1/25; ; 
Draw; 2; ; 2; 21/10; 21/10; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; 1/25; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; 1/25; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 08:22:20 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 13/10; ; 27/20; 13/10; 7/5; 5/4; ; ; 13/10; 6/4; 29/20; 13/10; 6/4; 11/8; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 8/5; 5/4; ; 1/25; ; 
Draw; 2; ; 2; 21/10; 21/10; 2; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 37/19; 21/10; 28/13; ; 1/25; ; 
Sevilla Atletico; 12/5; ; 43/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 21/10; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 21/10; 37/19; ; 1/25; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 12:23:25 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; ; 11/8; 11/8; 7/5; 13/10; ; ; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 19/13; 5/4; ; 10/11; ; 
Draw; 2; ; 2; 2; 21/10; 39/20; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
Sevilla Atletico; 11/5; ; 41/20; 21/10; 21/10; 2; ; ; 2; 2; 7/4; 2; 15/8; 21/10; ; 2; ; 2; 24/13; 2; 21/10; 44/19; 37/19; ; 5/4; ; 
META; spain/la-liga-segunda/sevilla-atletico-v-girona; 2016-08-15 16:22:53 GMT+3; 2016-08-20 20:00; e70300-dr003
Girona; 7/5; ; 11/8; 11/8; 7/5; 13/10; ; ; 13/10; 6/4; 29/20; 11/8; 6/4; 7/5; ; 7/5; ; 6/4; 7/5; 6/4; 13/10; 19/13; 5/4; ; 10/11; ; 
Draw; 2; ; 2; 2; 21/10; 39/20; ; ; 15/8; 39/19; 21/10; 2; 2; 21/10; ; 2; ; 39/19; 2; 2; 2; 28/13; 28/13; ; 6/4; ; 
