META; english/league-2/notts-county-v-coventry; 2018-04-03 18:20:43 GMT+3; 2018-04-07 15:00; e70300-dr003
Notts County; 7/5; 6/4; 31/20; 6/4; 33/20; 6/4; 6/4; 7/5; 7/5; 8/5; 6/4; 8/5; 31/20; 8/5; 6/4; 6/4; 17/11; 24/17; 7/5; 6/4; 6/4; 6/4; 7/5; 7/5; 13/8
Coventry; 15/8; 19/10; 15/8; 9/5; 2; 15/8; 15/8; 9/5; 19/10; 19/10; 19/10; 19/10; 37/20; 2; 19/10; 24/13; 19/10; 12/7; 19/10; 15/8; 15/8; 19/10; 7/4; 17/10; 19/10
Draw; 23/10; 21/10; 2; 109/50; 23/10; 21/10; 11/5; 23/10; 2; 11/5; 2; 21/10; 21/10; 21/10; 2; 28/13; 23/10; 23/10; 21/10; 21/10; 2; 19/10; 21/10; ; 
META; english/league-2/notts-county-v-coventry; 2018-04-04 08:19:47 GMT+3; 2018-04-07 15:00; e70300-dr003
Notts County; 7/5; 6/4; 6/4; 6/4; 153/100; 6/4; 6/4; 7/5; 7/5; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 7/5; 17/11; 26/19; 7/5; 6/4; 6/4; 7/5; 7/5; 11/8; 6/4
Coventry; 19/10; 19/10; 2; 9/5; 43/20; 2; 2; 19/10; 2; 19/10; 19/10; 2; 19/10; 37/19; 19/10; 23/13; 19/10; 19/10; 15/8; 37/19; 19/10; 9/5; 21/10; ; 
Draw; 23/10; 21/10; 2; 11/5; 21/10; 21/10; 2; 23/10; 2; 21/10; 11/5; 39/20; 21/10; 21/10; 21/10; 2; 28/13; 23/10; 23/10; 21/10; 21/10; 19/10; 19/10; 21/10; 
META; english/league-2/notts-county-v-coventry; 2018-04-04 18:21:13 GMT+3; 2018-04-07 15:00; e70300-dr003
Notts County; 7/5; 6/4; 6/4; 6/4; 77/50; 6/4; 6/4; 7/5; 7/5; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 16/11; 6/4; 26/19; 7/5; 6/4; 6/4; 16/11; 7/5; 11/8; 7/5; 6/4
Coventry; 19/10; 2; 9/5; 43/20; 2; 2; 19/10; 2; 19/10; 19/10; 2; 19/10; 2; 23/13; 19/10; 19/10; 15/8; 2; 19/10; 19/10; 21/10; 21/10; ; ; ; 
Draw; 23/10; 21/10; 2; 109/0; 21/10; 21/10; 2; 23/10; 2; 21/10; 11/5; 39/20; 21/10; 21/10; 28/13; 37/19; 28/13; 23/10; 23/10; 21/10; 28/13; 19/10; 2; 21/10; 21/10; 
META; english/league-2/notts-county-v-coventry; 2018-04-05 13:14:42 GMT+3; 2018-04-07 15:00; e70300-dr003
Notts County; 7/5; 6/4; 31/20; 6/4; 153/100; 6/4; 6/4; 7/5; 7/5; 31/20; 29/20; 6/4; 6/4; 6/4; 8/5; 6/4; 16/11; 6/4; 26/19; 7/5; 6/4; 16/11; 7/5; 7/5; 7/5; 6/4
Coventry; 19/10; 2; 19/10; 9/5; 43/20; 21/10; 2; 19/10; 2; 19/10; 2; 15/8; 2; 19/10; 2; 23/13; 19/10; 15/8; 2; 19/10; 2; 21/10; 21/10; ; ; 
Draw; 23/10; 21/10; 2; 11/5; 11/5; 21/10; 2; 23/10; 2; 11/5; 11/5; 11/5; 39/20; 21/10; 21/10; 28/13; 37/19; 28/13; 23/10; 23/10; 28/13; 2; 21/10; 21/10; 21/10; 
META; english/league-2/notts-county-v-coventry; 2018-04-06 08:20:02 GMT+3; 2018-04-07 15:00; e70300-dr003
Notts County; 9/5; 17/10; 17/10; 17/10; 43/25; 17/10; 17/10; 8/5; 17/11; 7/4; 17/10; 17/10; 13/8; 33/20; 17/10; 17/10; 28/17; 8/5; 18/11; 17/11; 13/8; 28/17; 13/8; 6/4; 17/10; 17/10
Coventry; 9/5; 7/4; 17/10; 17/10; 189/100; 9/5; 17/10; 7/4; 7/4; 7/4; 7/4; 7/4; 7/4; 17/10; 9/5; 7/4; 7/4; 24/13; 32/19; 7/4; 7/4; 7/4; 7/4; 13/8; 9/5; 9/5
Draw; 11/5; 21/10; 2; 19/10; 11/5; 9/4; 2; 21/10; 9/4; 2; 21/10; 21/10; 21/10; 2; 11/5; 2; 21/10; 2; 28/13; 9/4; 11/5; 21/10; 2; 19/10; 21/10; 21/10
