META; english/league-2/swindon-v-cheltenham; 2018-03-05 20:20:17 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 11/10; 11/10; 11/10; 23/20; 11/10; 6/5; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 21/20; 11/10; 9/8; 11/10; 6/5; 11/10; 21/20; 1
Cheltenham; 23/10; 12/5; 23/10; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 5/2; 23/10; 43/20; 23/10; 23/10; 9/4; 9/4; 21/11; 23/10; 9/4; 23/10; 23/10; 9/4
Draw; 5/2; 5/2; 12/5; 5/2; 13/5; 12/5; 12/5; 5/2; 5/2; 23/10; 23/10; 47/20; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 
META; english/league-2/swindon-v-cheltenham; 2018-03-06 15:06:26 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 11/10; 11/10; 11/10; 23/20; 57/50; 11/10; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 21/20; 11/10; 9/8; 11/10; 11/10; 21/20; 1
Cheltenham; 23/10; 12/5; 23/10; 9/4; 63/25; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 43/20; 23/10; 23/10; 9/4; 9/4; 21/11; 23/10; 23/10; 9/4; 9/4
Draw; 5/2; 5/2; 12/5; 5/2; 53/20; 13/5; 12/5; 12/5; 5/2; 13/5; 23/10; 23/10; 47/20; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 
META; english/league-2/swindon-v-cheltenham; 2018-03-08 10:17:20 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 11/10; 11/10; 11/10; 23/20; 57/50; 11/10; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 9/8; 11/10; 23/20; 11/10; 11/10; 10/9; 10/9; 10/9
Cheltenham; 23/10; 12/5; 23/10; 9/4; 63/25; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 11/5; 23/10; 23/10; 40/17; 9/4; 21/11; 23/10; 23/10; 23/10; 40/17; 23/10; 12/5; 5/2
Draw; 5/2; 5/2; 12/5; 5/2; 53/20; 13/5; 12/5; 12/5; 5/2; 13/5; 23/10; 23/10; 47/20; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 13/5; 13/5; 
META; english/league-2/swindon-v-cheltenham; 2018-03-08 12:20:53 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 11/10; 11/10; 11/10; 23/20; 57/50; 11/10; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 9/8; 11/10; 23/20; 11/10; 11/10; 10/9; 21/20; 10/9; 10/9
Cheltenham; 23/10; 12/5; 23/10; 9/4; 63/25; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 5/2; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; 21/11; 23/10; 23/10; 23/10; 40/17; 23/10; 9/4; 12/5; 5/2
Draw; 5/2; 5/2; 12/5; 5/2; 53/20; 13/5; 12/5; 12/5; 5/2; 13/5; 23/10; 23/10; 47/20; 12/5; 12/5; 27/11; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 23/10; 21/10; 13/5; 13/5; 
META; english/league-2/swindon-v-cheltenham; 2018-03-09 12:20:04 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 23/20; 11/10; 11/10; 23/20; 57/50; 23/20; 11/10; 1; 11/10; 23/20; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 9/8; 11/10; 11/10; 10/9; 11/10; 10/9; 10/9
Cheltenham; 5/2; 12/5; 23/10; 9/4; 63/25; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; 28/13; 23/10; 23/10; 12/5; 23/10; 12/5; 5/2
Draw; 13/5; 5/2; 12/5; 5/2; 53/20; 27/10; 12/5; 5/2; 5/2; 5/2; 23/10; 23/10; 47/20; 12/5; 12/5; 27/11; 5/2; 5/2; 5/2; 5/2; 12/5; 23/10; 13/5; 5/2; 
META; english/league-2/swindon-v-cheltenham; 2018-03-10 12:20:40 GMT+2; 2018-03-10 15:00; e70300-dr003
Swindon; 23/20; 11/10; 11/10; 11/10; 57/50; 23/20; 11/10; 1; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 9/8; 11/10; 23/20; 11/10; 11/10; 10/9; 23/20; 10/9; 23/20; 
Cheltenham; 5/2; 12/5; 23/10; 12/5; 63/25; 5/2; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; 23/10; 9/4; 28/13; 23/10; 12/5; 23/10; 40/17; 12/5; 12/5; 12/5; 5/2
Draw; 13/5; 5/2; 12/5; 12/5; 66/25; 27/10; 5/2; 5/2; 5/2; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 27/11; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; ; 
