META; english/league-2/coventry-v-lincoln; 2018-02-27 18:18:35 GMT+2; 2018-03-03 15:00; e70300-dr003
Coventry; 13/10; 7/5; 7/5; 7/5; 29/20; 11/8; 11/8; 5/4; 23/17; 7/5; 13/10; 11/8; 11/8; 27/20; 13/10; 11/8; 23/17; 13/10; 17/14; 23/17; 11/8; 27/20; 23/17; ; 13/10; 11/8; 
Lincoln; 21/10; 21/10; 21/10; 21/10; 111/50; 21/10; 2; 2; 21/10; 21/10; 21/10; 11/5; 19/10; 41/20; 21/10; 21/10; 39/19; 21/10; 57/29; 21/10; 21/10; 2; 39/19; ; 19/10; 9/5; 
Draw; 9/4; 21/10; 21/10; 21/10; 113/50; 23/10; 21/10; 21/10; 28/13; 21/10; 23/10; 21/10; 9/4; 2; 23/10; 21/10; 21/10; 9/4; 11/5; 28/13; 23/10; 11/5; 28/13; ; 2; 2; 
META; english/league-2/coventry-v-lincoln; 2018-03-01 16:00:54 GMT+2; ; e70300-dr003
Coventry l l l l d w; 13/10; 7/5; 7/5; 7/5; 143/100; 6/4; 11/8; 7/5; 23/17; 7/5; 7/5; 11/8; 11/8; 11/8; 7/5; 11/8; 7/5; 13/10; 13/10; 23/17; 29/20; 27/20; 7/5; 11/8; 7/5; 7/5
Lincoln d d d w l l; 21/10; 21/10; 21/10; 21/10; 56/25; 11/5; 2; 21/10; 21/10; 21/10; 21/10; 19/10; 41/20; 21/10; 21/10; 2; 21/10; 21/10; 21/10; 2; 21/10; 39/19; 19/10; 19/10; 21/10; 
Draw; 9/4; 21/10; 21/10; 21/10; 57/25; 23/10; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 9/4; 2; 21/10; 21/10; 28/13; 9/4; 11/5; 28/13; 9/4; 21/10; 11/5; 21/10; 21/10; 11/5
META; english/league-2/coventry-v-lincoln; 2018-03-02 08:22:01 GMT+2; 2018-03-03 15:00; e70300-dr003
Coventry; 8/5; 6/4; 31/20; 29/20; 8/5; 31/20; 6/4; 7/5; 23/17; 31/20; 6/4; 31/20; 11/8; 29/20; 6/4; 6/4; 6/4; 7/5; 13/10; 23/17; 6/4; 31/20; 6/4; 7/5; 6/4; 8/5
Lincoln; 2; 19/10; 15/8; 49/25; 21/10; 15/8; 15/8; 21/10; 19/10; 19/10; 19/10; 19/10; 19/10; 15/8; 19/10; 19/10; 19/10; 21/10; 21/10; 19/10; 39/20; 37/19; 19/10; 19/10; 19/10; 
Draw; 9/4; 21/10; 2; 23/10; 23/10; 21/10; 21/10; 28/13; 21/10; 11/5; 21/10; 9/4; 2; 11/5; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 21/10; 28/13; 2; 11/5; ; 
META; english/league-2/coventry-v-lincoln; 2018-03-02 14:01:13 GMT+2; 2018-03-03 15:00; e70300-dr003
Coventry; 8/5; 6/4; 31/20; 29/20; 8/5; 8/5; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 11/8; 29/20; 6/4; 6/4; 17/11; 7/5; 16/11; 6/4; 31/20; 17/11; 7/5; 6/4; 8/5
Lincoln; 2; 19/10; 15/8; 49/25; 2; 15/8; 15/8; 15/8; 19/10; 19/10; 19/10; 19/10; 19/10; 15/8; 19/10; 24/13; 19/10; 11/6; 15/8; 2; 24/13; 15/8; 19/10; 19/10; 
Draw; 9/4; 21/10; 2; 23/10; 23/10; 21/10; 11/5; 28/13; 21/10; 11/5; 21/10; 9/4; 2; 11/5; 21/10; 28/13; 11/5; 11/5; 28/13; 9/4; 28/13; 2; 21/10; 11/5; 
