META; english/league-2/wycombe-v-notts-county; 2017-08-15 20:21:21 GMT+3; 2017-08-19 15:00; e70300-dr003
Wycombe; 11/10; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 11/10; 11/10; ; 6/5; 6/5; 23/20; 23/20; 6/5; 15/13; 11/10; ; 15/13; 61/50; 15/14; 11/10; 11/10; 6/5; 11/10; ; 8/11; 21/20; 
Notts County; 23/10; 12/5; 47/20; 11/5; 12/5; 11/5; 23/10; 12/5; 40/17; ; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 40/17; 23/10; 62/25; 28/13; 40/17; 23/10; 12/5; 9/4; ; 8/5; 21/10; 
Draw; 5/2; 12/5; 43/20; 11/5; 5/2; 11/5; 5/2; 23/10; 27/11; ; 9/4; 11/5; 9/4; 12/5; 23/10; 23/10; 12/5; 27/11; 23/10; 62/25; 23/10; 27/11; 23/10; 23/10; 12/5; ; 21/10; 2; 
META; english/league-2/wycombe-v-notts-county; 2017-08-16 20:07:48 GMT+3; 2017-08-19 15:00; e70300-dr003
Wycombe; 11/10; 11/10; 11/10; 23/20; 23/20; 21/20; 23/20; 11/10; 11/10; 15/13; 6/5; 6/5; 23/20; ; 6/5; 15/13; 11/10; 11/10; 15/13; 61/50; 15/14; 11/10; 11/10; 6/5; 11/10; ; 10/9; 23/20; 6/5
Notts County; 23/10; 12/5; 12/5; 11/5; 12/5; 11/5; 23/10; 12/5; 40/17; 12/5; 12/5; 12/5; 12/5; ; 23/10; 12/5; 23/10; 40/17; 40/17; 49/20; 28/13; 40/17; 23/10; 12/5; 9/4; ; 9/4; 23/10; 12/5
Draw; 5/2; 12/5; 43/20; 11/5; 5/2; 11/5; 5/2; 23/10; 27/11; 11/5; 9/4; 11/5; 9/4; ; 23/10; 23/10; 12/5; 27/11; 40/17; 5/2; 23/10; 27/11; 23/10; 23/10; 12/5; ; 11/5; 11/5; 12/5
