META; english/league-2/cambridge-v-carlisle; 2017-08-11 12:36:28 GMT+3; 2017-08-12 15:00; e70300-dr003
Cambridge; 6/5; 23/20; 23/20; 23/20; 23/20; 11/10; 5/4; 11/10; 15/13; 15/13; 23/20; 5/4; 23/20; 23/20; 5/4; 6/5; 11/10; 15/13; 15/13; 61/50; 7/6; 15/13; ; 6/5; 11/10; ; 6/5; ; 6/5
Carlisle; 5/2; 9/4; 9/4; 21/10; 23/10; 43/20; 23/10; 9/4; 28/13; 23/10; 23/10; 23/10; 23/10; 23/10; 21/10; 9/4; 9/4; 28/13; 23/10; 62/25; 21/10; 28/13; 9/5; 12/5; 9/4; ; 9/4; ; 12/5
Draw; 5/2; 12/5; 23/10; 23/10; 12/5; 11/5; 5/2; 5/2; 28/11; 23/10; 12/5; 9/4; 49/20; 13/5; 12/5; 12/5; 5/2; 28/11; 23/10; 62/25; 27/11; 28/11; 23/10; 12/5; 12/5; ; 23/10; ; 12/5
