META; english/league-2/crawley-v-wycombe; 2018-02-27 18:18:38 GMT+2; 2018-03-03 15:00; e70300-dr003
Wycombe; 13/10; 11/8; 26/19; 11/8; 147/100; 7/5; 11/8; 13/10; 11/8; 7/5; 11/8; 7/5; 6/5; 27/20; 7/5; 11/8; 23/17; 7/5; 24/19; 11/8; 11/8; 27/20; 23/17; ; 5/4; 5/4; 
Crawley; 2; 19/10; 19/10; 19/10; 103/50; 2; 19/10; 15/8; 37/19; 2; 2; 2; 11/5; 15/8; 19/10; 2; 37/19; 24/13; 32/19; 37/19; 19/10; 39/20; 37/19; ; 9/5; 15/8; 
Draw; 12/5; 12/5; 9/4; 12/5; 12/5; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 5/2; 9/4; 5/2; 23/10; 9/4; ; 21/10; 2; 
META; english/league-2/crawley-v-wycombe; 2018-03-01 16:00:58 GMT+2; ; e70300-dr003
Wycombe w d w w l l; 13/10; 11/8; 26/19; 11/8; 147/100; 7/5; 11/8; 13/10; 11/8; 7/5; 11/8; 7/5; 6/5; 13/10; 7/5; 11/8; 23/17; 7/5; 13/10; 11/8; 11/8; 27/20; 23/17; 5/4; 5/4; 7/5
Crawley w w w l w l; 2; 19/10; 19/10; 19/10; 101/50; 2; 19/10; 15/8; 37/19; 2; 2; 11/5; 19/10; 19/10; 2; 24/13; 37/19; 37/19; 2; 39/20; 2; 9/5; 19/10; ; ; 
Draw; 12/5; 12/5; 9/4; 12/5; 61/25; 12/5; 9/4; 23/10; 9/4; 23/10; 23/10; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 9/4; 11/5; 23/10; 
META; english/league-2/crawley-v-wycombe; 2018-03-02 08:22:04 GMT+2; 2018-03-03 15:00; e70300-dr003
Wycombe; 5/4; 6/5; 5/4; 23/20; 32/25; 5/4; 6/5; 11/10; 5/4; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 17/14; 5/4; 5/4; 5/4; 5/4; 6/5; 23/20; 6/5
Crawley; 12/5; 9/4; 11/5; 21/10; 59/25; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 23/10; 11/5; 21/10; 23/10; 9/4; 11/5; 21/10; 21/10; 11/5; 85/40; 9/4; 9/4; 21/10; 21/10; 23/10
Draw; 5/2; 12/5; 23/10; 23/10; 123/50; 5/2; 23/10; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 9/4; 5/2; 23/10; 23/10; 12/5; 23/10; 12/5
META; english/league-2/crawley-v-wycombe; 2018-03-02 14:01:16 GMT+2; 2018-03-03 15:00; e70300-dr003
Wycombe; 5/4; 5/4; 5/4; 23/20; 32/25; 5/4; 6/5; 11/10; 5/4; 5/4; 6/5; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 17/14; 5/4; 13/10; 5/4; 23/20; 6/5; 6/5; 
Crawley; 12/5; 21/10; 11/5; 21/10; 59/25; 12/5; 11/5; 23/10; 11/5; 11/5; 9/4; 11/5; 11/5; 21/10; 23/10; 9/4; 21/10; 21/10; 11/5; 11/5; 9/4; 23/10; 21/10; 9/4; 23/10; 
Draw; 5/2; 12/5; 23/10; 23/10; 123/50; 5/2; 9/4; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 9/4; 5/2; 23/10; 23/10; 23/10; 23/10; 12/5
META; english/league-2/crawley-v-wycombe; 2018-03-03 12:20:04 GMT+2; 2018-03-03 15:00; e70300-dr003
Wycombe; 6/5
Crawley; 11/5
Draw; 23/10
META; english/league-2/crawley-v-wycombe; 2018-03-18 14:19:16 GMT+2; 2018-03-21 19:45; e70300-dr003
Wycombe; 11/10; 5/4; 6/5; 6/5; 23/20; 23/20; 11/10; 11/10; 22/19; 23/20; 6/5; 15/13; 7/5
Crawley; 23/10; 11/5; 119/50; 23/10; 23/10; 23/10; 11/5; 11/5; 21/10; 23/10; 11/5; 9/4; 19/10
Draw; 5/2; 23/10; 66/25; 12/5; 11/5; 12/5; 12/5; 12/5; 12/5; 5/2; 47/20; 12/5; 19/10
META; english/league-2/crawley-v-wycombe; 2018-03-19 08:17:57 GMT+2; 2018-03-21 19:45; e70300-dr003
Wycombe; 23/20; 5/4; 23/20; 29/25; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 10/9; 11/10; 11/10; 11/10; 11/10; 21/20; 10/9
Crawley; 12/5; 11/5; 5/2; 131/50; 5/2; 12/5; 27/11; 5/2; 5/2; 12/5; 12/5; 12/5; 21/10; 23/10; 27/11; 12/5; 11/5; 27/11; 12/5; 12/5; 27/11; 12/5; 13/5
Draw; 14/5; 23/10; 9/4; 5/2; 5/2; 12/5; 40/17; 9/4; 12/5; 12/5; 23/10; 43/20; 21/10; 12/5; 12/5; 5/2; 12/5; 40/17; 13/5; 23/10; 12/5; 9/4; 12/5
META; english/league-2/crawley-v-wycombe; 2018-03-20 08:18:55 GMT+2; 2018-03-21 19:45; e70300-dr003
