META; english/league-2/colchester-v-notts-county; 2018-04-10 08:19:58 GMT+3; 2018-04-14 15:00; e70300-dr003
Colchester; 7/5; 6/4; 31/20; 8/5; 79/50; 6/4; 6/4; 7/5; 8/5; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 6/4; 16/11; 6/4; 25/18; 8/5; 31/20; 16/11; 10/9; 6/4
Notts County; 15/8; 9/5; 9/5; 13/8; 191/100; 15/8; 9/5; 17/10; 17/10; 9/5; 15/8; 15/8; 9/5; 9/5; 17/10; 9/5; 7/4; 7/4; 18/11; 17/10; 9/5; 9/5; 27/20; 19/10
Draw; 23/10; 9/4; 11/5; 21/10; 12/5; 23/10; 11/5; 11/5; 9/4; 21/10; 23/10; 21/10; 9/4; 21/10; 2; 9/4; 28/13; 9/4; 23/10; 9/4; 23/10; 28/13; 13/8; 23/10
META; english/league-2/colchester-v-notts-county; 2018-04-11 12:56:53 GMT+3; 2018-04-14 15:00; e70300-dr003
Colchester; 6/4; 6/4; 29/20; 79/50; 6/4; 6/4; 7/5; 8/5; 31/20; 6/4; 31/20; 6/4; 7/5; 6/4; 16/11; 6/4; 25/18; 8/5; 6/4; 6/4; 7/5; 11/8; 7/5; 6/4
Notts County; 9/5; 15/8; 9/5; 191/100; 15/8; 9/5; 17/10; 17/10; 15/8; 15/8; 9/5; 17/10; 15/8; 9/5; 7/4; 18/11; 17/10; 15/8; 9/5; 9/5; 7/4; 17/10; 19/10; 
Draw; 9/4; 11/5; 21/10; 12/5; 23/10; 11/5; 11/5; 9/4; 11/5; 9/4; 21/10; 21/10; 2; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 9/4; 2; 23/10; 
META; english/league-2/colchester-v-notts-county; 2018-04-11 20:20:57 GMT+3; 2018-04-14 15:00; e70300-dr003
Colchester; 6/4; 31/20; 29/20; 159/00; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 13/10; 6/4; 7/5; 6/4; 6/4; 6/4; 15/11; 6/4; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4
Notts County; 9/5; 15/8; 9/5; 97/50; 15/8; 9/5; 7/4; 24/13; 15/8; 15/8; 9/5; 2; 9/5; 17/10; 15/8; 24/13; 7/4; 31/18; 24/13; 9/5; 19/10; 9/5; 9/5; 17/10; 19/10; 19/10
Draw; 9/4; 21/10; 21/10; 117/0; 12/5; 11/5; 9/4; 11/5; 21/10; 9/4; 9/4; 23/10; 41/20; 2; 9/4; 11/5; 9/4; 9/4; 11/5; 12/5; 11/5; 11/5; 21/10; 2; 9/4; 23/10
META; english/league-2/colchester-v-notts-county; 2018-04-12 10:48:03 GMT+3; 2018-04-14 15:00; e70300-dr003
Colchester; 6/4; 31/20; 29/20; 159/00; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 13/10; 6/4; 7/5; 7/5; 6/4; 6/4; 15/11; 6/4; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4
Notts County; 15/8; 15/8; 9/5; 97/50; 15/8; 9/5; 7/4; 24/13; 15/8; 15/8; 9/5; 2; 9/5; 17/10; 15/8; 24/13; 7/4; 31/18; 24/13; 15/8; 19/10; 15/8; 7/4; 17/10; 19/10; 19/10
Draw; 9/4; 21/10; 21/10; 117/0; 12/5; 11/5; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 41/20; 2; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 11/5; 21/10; 2; 9/4; 23/10
META; english/league-2/colchester-v-notts-county; 2018-04-13 08:18:50 GMT+3; 2018-04-14 15:00; e70300-dr003
Colchester; 6/4; 7/5; 7/5; 5/4; 149/100; 29/20; 7/5; 11/8; 6/4; 7/5; 7/5; 7/5; 13/10; 27/20; 5/4; 11/8; 7/5; 6/4; 13/10; 6/4; 11/8; 7/5; 7/5; 11/8; 7/5
Notts County; 21/10; 2; 52/25; 2; 15/8; 24/13; 21/10; 2; 2; 41/20; 9/5; 2; 7/4; 21/10; 24/13; 21/10; 2; 19/10; 2; ; ; ; ; ; 
Draw; 21/10; 11/5; 117/50; 12/5; 11/5; 9/4; 11/5; 21/10; 9/4; 9/4; 23/10; 41/20; 21/10; 9/4; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 23/10; ; ; 
