META; english/league-2/notts-county-v-yeovil; 2018-04-16 20:41:56 GMT+3; 2018-04-21 15:00; e70300-dr003
Notts County; 8/11; 4/5; 79/00; 4/6; 8/11; 8/13; 7/10; 7/10; 7/10; 8/11; 7/10; 8/11; 9/13; 13/18; 7/10; 7/10; 9/13; 1/2; 8/11
Draw; 14/5; 13/5; 147/0; 29/10; 11/4; 13/5; 29/10; 11/4; 13/5; 13/5; 14/5; 13/5; 11/4; 14/5; 29/10; 14/5; 11/4; 19/10; 
Yeovil; 7/2; 7/2; 37/10; 4; 7/2; 4; 7/2; 4; 7/2; 15/4; 15/4; 17/5; 7/2; 7/2; 4; 17/5; 1/4; ; 
META; english/league-2/notts-county-v-yeovil; 2018-04-17 20:44:18 GMT+3; 2018-04-21 15:00; e70300-dr003
Notts County; 8/13; 4/6; 4/6; 13/20; 69/00; 4/6; 5/8; 8/13; 7/10; 4/6; 4/6; 4/6; 13/20; 8/13; 4/6; 11/17; 7/10; 7/10; 4/6; 11/17; 4/7; 4/6; 4/6
Draw; 3; 14/5; 27/10; 13/5; 74/25; 29/10; 14/5; 11/4; 29/10; 11/4; 11/4; 14/5; 13/5; 13/5; 14/5; 11/4; 29/10; 29/10; 3; 14/5; 13/5; 14/5; 14/5
Yeovil; 4; 21/5; 19/5; 9/2; 4; 4; 7/2; 21/5; 9/2; 4; 7/2; 4; 77/19; 7/2; 7/2; 4; 41/10; 7/2; 22/5; 22/5; ; ; 
META; english/league-2/notts-county-v-yeovil; 2018-04-19 08:19:10 GMT+3; 2018-04-21 15:00; e70300-dr003
Notts County; 8/13; 8/13; 6/10; 13/20; 16/25; 8/13; 3/5; 4/7; 11/17; 8/13; 8/13; 8/13; 7/10; 6/10; 4/7; 8/13; 11/18; 8/13; 10/17; 11/17; 8/13; 11/18; 4/7; 8/15; 4/7; 4/7
Draw; 3; 29/10; 14/5; 13/5; 61/20; 3; 29/10; 11/4; 29/10; 29/10; 3; 14/5; 13/5; 27/10; 5/2; 14/5; 29/10; 3; 37/13; 29/10; 3; 29/10; 14/5; 11/5; 3; 27/10
Yeovil; 4; 9/2; 9/2; 19/5; 49/10; 9/2; 9/2; 9/2; 19/5; 19/4; 9/2; 9/2; 15/4; 9/2; 4; 9/2; 50/11; 4; 37/10; 19/5; 9/2; 23/5; 9/2; 7/2; 24/5; 24/5
META; english/league-2/notts-county-v-yeovil; 2018-04-20 10:28:33 GMT+3; 2018-04-21 15:00; e70300-dr003
Notts County; 4/6; 8/13; 8/13; 13/20; 13/20; 8/13; 3/5; 4/7; 3/5; 4/6; 8/13; 8/13; 7/10; 13/20; 3/5; 8/13; 8/13; 8/13; 4/7; 3/5; 8/13; 8/13; 8/13; 4/7; 4/7; 4/7; 4/7
Draw; 3; 11/4; 11/4; 13/5; 31/10; 3; 29/10; 11/4; 29/10; 11/4; 3; 13/5; 13/5; 13/5; 13/5; 14/5; 37/13; 3; 29/10; 29/10; 3; 29/10; 3; 14/5; 5/2; 3; 
Yeovil; 19/4; 17/4; 9/2; 19/5; 47/10; 9/2; 17/4; 9/2; 43/10; 9/2; 15/4; 17/4; 7/2; 9/2; 22/5; 4; 19/5; 43/10; 22/5; 22/5; 17/4; 4; 9/2; 9/2; ; ; 
META; english/league-2/notts-county-v-yeovil; 2018-04-21 14:20:44 GMT+3; 2018-04-21 15:00; e70300-dr003
Notts County; 4/6; 4/6; 4/6; 8/13; 33/50; 4/6; 13/20; 8/13; 3/5; 4/6; 4/6; 4/6; 13/20; 3/5; 8/13; 8/13; 8/13; 7/11; 3/5; 4/6; 8/13; 8/13; 4/7; 4/6; 8/13; 
Draw; 3; 11/4; 11/4; 14/5; 31/10; 3; 29/10; 11/4; 29/10; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 11/4; 29/10; 3; 14/5; 29/10; 3; 56/19; 3; 14/5; 14/5; 3
Yeovil; 19/4; 17/4; 9/2; 9/2; 23/5; 9/2; 9/2; 4; 43/10; 9/2; 9/2; 9/2; 17/4; 17/4; 7/2; 9/2; 43/10; 4; 43/10; 22/5; 74/17; 17/4; 21/5; 21/5; 9/2; 
