META; english/league-2/mansfield-v-crawley; 2018-05-03 12:44:18 GMT+3; 2018-05-05 15:00; e70300-dr003
Mansfield; 9/20; 1/2; 1/2; 4/9; 12/25; 40/85; 7/15; 4/9; 5/11; 1/2; 4/9; 4/9; 1/2; 40/85; 9/20; 1/2; 7/15; 1/2; 4/9; 5/11; 1/2; 7/15; 4/9; 2/5; 4/9
Draw; 7/2; 10/3; 13/4; 7/2; 73/20; 18/5; 10/3; 10/3; 17/5; 13/4; 3; 16/5; 7/2; 3; 10/3; 57/17; 13/4; 33/10; 17/5; 7/2; 17/5; 3; 10/3; 7/2; 
Crawley; 11/2; 5; 9/2; 28/5; 6; 11/2; 11/2; 23/4; 6; 11/2; 13/2; 11/2; 11/2; 9/2; 11/2; 11/2; 5; 47/10; 23/4; 11/2; 61/11; 11/2; 27/5; 26/5; 
META; english/league-2/mansfield-v-crawley; 2018-05-05 12:18:51 GMT+3; 2018-05-05 15:00; e70300-dr003
Mansfield; 3/5; 3/5; 4/7; 11/20; 59/00; 4/7; 4/7; 8/15; 7/12; 6/10; 4/7; 4/7; 6/10; 4/7; 11/20; 4/7; 10/17; 4/7; 5/9; 7/12; 3/5; 10/17; 4/7; 4/7; 4/7; 4/7; 4/7
Draw; 15/4; 3; 29/10; 10/3; 71/20; 17/5; 10/3; 16/5; 33/10; 3; 10/3; 3; 16/5; 14/5; 14/5; 16/5; 33/10; 16/5; 16/5; 33/10; 17/5; 57/17; 3; 7/2; 7/2; 3; 10/3
Crawley; 17/4; 9/2; 9/2; 9/2; 21/5; 9/2; 17/4; 9/2; 39/10; 19/4; 4; 9/2; 17/4; 9/2; 15/4; 9/2; 4; 17/4; 21/5; 39/10; 9/2; 77/19; 15/4; 7/2; 4; 23/5; 
