META; english/league-2/crewe-v-notts-county; 2017-10-16 12:19:35 GMT+3; 2017-10-17 19:45; e70300-dr003
Notts County; 6/5; 23/20; 15/13; 6/5; 23/20; 21/20; 11/10; 11/10; 15/13; 23/20; 11/10; 11/10; 23/20; 6/5; 23/20; 11/10; 11/10; 11/10; 5/4; 9/8; 15/13; 11/10; 23/20; 11/10; 11/10; ; 10/9; 10/9; 23/20
Crewe; 5/2; 23/10; 23/10; 11/5; 23/10; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 9/4; 11/5; 5/2; 23/10; 23/10; 23/10; 40/17; 61/25; 11/5; 23/10; 23/10; 23/10; 23/10; 40/17; ; 23/10; 23/10; 12/5
Draw; 5/2; 12/5; 12/5; 12/5; 12/5; 9/4; 12/5; 12/5; 40/17; 12/5; 5/2; 23/10; 12/5; 13/5; 12/5; 12/5; 12/5; 12/5; 61/25; 5/2; 40/17; 5/2; 5/2; 49/20; 12/5; ; 23/10; 9/4; 5/2
