META; english/league-2/barnet-v-luton; 2017-08-11 12:36:26 GMT+3; 2017-08-12 15:00; e70300-dr003
Luton; 23/20; 23/20; 23/20; 23/20; 23/20; 21/20; 5/4; 11/10; 8/7; 15/13; 23/20; 23/20; 23/20; 6/5; 23/20; 15/13; 21/20; 8/7; 11/10; 23/20; 8/7; 8/7; 19/20; 6/5; 11/10; ; 23/20; ; 23/20
Draw; 5/2; 12/5; 9/4; 23/10; 23/10; 23/10; 5/2; 12/5; 40/17; 23/10; 23/10; 23/10; 12/5; 13/5; 12/5; 23/10; 23/10; 40/17; 23/10; 62/25; 12/5; 40/17; 12/5; 12/5; 12/5; ; 23/10; ; 12/5
Barnet; 13/5; 23/10; 9/4; 21/10; 12/5; 11/5; 23/10; 12/5; 40/17; 12/5; 12/5; 12/5; 23/10; 5/2; 23/10; 12/5; 13/5; 40/17; 27/11; 133/50; 11/5; 40/17; 11/4; 12/5; 12/5; ; 12/5; ; 13/5
