META; english/league-2/mansfield-v-cheltenham; 2018-01-17 12:29:28 GMT+2; 2018-01-20 15:00; e70300-dr003
Mansfield; 21/20; 6/5; 15/13; 11/10; 59/50; 11/10; 11/10; 11/10; 21/20; 23/20; 23/20; 23/20; 11/10; 23/20; 23/20; 11/10; 1; 11/10; 1; 13/12; 21/20; 11/10; 6/5; 11/10; 11/10; 1; 10/9; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 5/2; 23/10; 12/5; 40/17; 11/5; 12/5; 23/10; 23/10; 43/20; 23/10; 9/4; 12/5; 40/17; 12/5; 12/5; 40/17; 23/10; 12/5; 23/10; 40/17; 9/4; 21/10; 12/5
Cheltenham; 13/5; 23/10; 12/5; 11/5; 129/ 50; 5/2; 12/5; 5/2; 45/17; 5/2; 13/5; 12/5; 12/5; 12/5; 12/5; 12/5; 13/5; 27/11; 13/5; 12/5; 45/17; 5/2; 23/10; 49/20; 27/11; 23/10; 23/10; 5/2
META; english/league-2/mansfield-v-cheltenham; 2018-01-18 18:21:43 GMT+2; 2018-01-20 15:00; e70300-dr003
Mansfield; 5/4; 5/4; 13/10; 11/10; 133/ 100; 13/10; 5/4; 5/4; 4/3; 13/10; 13/10; 13/10; 11/10; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 23/17; 4/3; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10
Cheltenham; 2; 21/10; 21/10; 11/5; 109/ 50; 11/5; 2; 21/10; 37/19; 21/10; 21/10; 2; 12/5; 21/10; 21/10; 2; 21/10; 39/19; 21/10; 19/10; 37/19; 2; 85/40; 21/10; 39/19; 21/10; 21/10; 21/10
Draw; 5/2; 12/5; 9/4; 23/10; 127/ 50; 12/5; 23/10; 23/10; 40/17; 23/10; 5/2; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 40/17; 12/5; 5/2; 12/5; 12/5; 9/4; 23/10; 12/5
META; english/league-2/mansfield-v-cheltenham; 2018-01-19 12:18:01 GMT+2; 2018-01-20 15:00; e70300-dr003
Mansfield; 7/5; 11/8; 23/17; 5/4; 11/8; 29/20; 11/8; 11/8; 4/3; 27/20; 11/8; 13/10; 23/20; 13/10; 5/4; 13/10; 23/17; 23/17; 23/17; 23/18; 4/3; 7/5; 11/8; 11/8; 23/17; ; 13/10; 27/20; 7/5
Cheltenham; 21/10; 2; 2; 19/10; 103/50; 2; 19/10; 15/8; 37/19; 2; 2; 2; 11/5; 2; 21/10; 19/10; 37/19; 19/10; 37/19; 57/29; 37/19; 2; 2; 39/20; 37/19; ; 19/10; 19/10; 19/10
Draw; 5/2; 23/10; 9/4; 23/10; 13/5; 5/2; 23/10; 12/5; 40/17; 11/5; 5/2; 12/5; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 40/17; 12/5; 5/2; 12/5; 27/11; ; 12/5; 23/10; 5/2
