META; english/league-2/stevenage-v-crewe; 2018-03-05 20:20:14 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 1; 21/20; 21/20; 1; 21/20; 10/11; 1; 21/20; 1; 6/5; 21/20; 1; 19/20; 1; 1; 21/20; 19/20; 1; 20/21; ; ; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 13/5; 12/5; 12/5; 27/11; 23/10; 5/2; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 12/5; 40/17; 27/11; 5/2; 49/20; 40/17; 23/10
Crewe; 13/5; 11/4; 13/5; 13/5; 11/4; 5/2; 13/5; 45/17; 13/5; 11/4; 11/4; 11/5; 5/2; 13/5; 13/5; 28/11; 13/5; 23/10; 45/17; 13/5; 27/10; 13/5; 5/2
META; english/league-2/stevenage-v-crewe; 2018-03-06 15:06:23 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 1; 21/20; 21/20; 11/10; 53/50; 1; 10/11; 1; 21/20; 1; 6/5; 21/20; 1; 1; 1; 19/20; 1; 20/21; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 23/10; 64/25; 13/5; 12/5; 12/5; 27/11; 23/10; 5/2; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 12/5; 40/17; 27/11; 49/20; 40/17; 23/10
Crewe; 13/5; 13/5; 13/5; 5/2; 57/20; 11/4; 13/5; 13/5; 45/17; 13/5; 11/4; 11/4; 11/5; 5/2; 13/5; 13/5; 28/11; 13/5; 23/10; 45/17; 27/10; 13/5; 5/2
META; english/league-2/stevenage-v-crewe; 2018-03-08 10:17:17 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 1; 21/20; 21/20; 19/20; 21/20; 1; 10/11; 1; 21/20; 1; 23/20; 21/20; 1; 1; 30/29; 1; 21/20; 19/20; 1; 1; 21/20; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 129/50; 11/4; 12/5; 5/2; 27/11; 12/5; 5/2; 23/10; 23/10; 23/10; 5/2; 12/5; 27/11; 12/5; 40/17; 27/11; 5/2; 49/20; 27/11; 5/2; 5/2; 5/2
Crewe; 13/5; 13/5; 13/5; 13/5; 72/25; 29/10; 13/5; 13/5; 45/17; 13/5; 11/4; 14/5; 11/5; 5/2; 13/5; 13/5; 45/17; 13/5; 9/4; 45/17; 13/5; 27/10; 27/10; 13/5; 14/5; 14/5
META; english/league-2/stevenage-v-crewe; 2018-03-08 12:20:50 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 1; 21/20; 21/20; 19/20; 21/20; 1; 10/11; 1; 21/20; 1; 23/20; 21/20; 1; 1; 30/29; 1; 21/20; 19/20; 1; 1; 21/20; ; ; ; ; ; 
Draw; 5/2; 12/5; 23/10; 12/5; 129/0; 11/4; 12/5; 5/2; 27/11; 12/5; 5/2; 23/10; 23/10; 23/10; 5/2; 12/5; 27/11; 12/5; 40/17; 27/11; 5/2; 49/20; 27/11; 5/2; 21/10; 5/2; 5/2
Crewe; 13/5; 13/5; 13/5; 13/5; 72/25; 29/10; 13/5; 13/5; 45/17; 13/5; 11/4; 14/5; 11/5; 5/2; 13/5; 13/5; 45/17; 13/5; 9/4; 45/17; 13/5; 27/10; 27/10; 13/5; 23/10; 14/5; 14/5
META; english/league-2/stevenage-v-crewe; 2018-03-09 12:20:00 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 6/5; 23/20; 6/5; 21/20; 123/100; 6/5; 6/5; 11/10; 8/7; 6/5; 23/20; 23/20; 23/20; 23/20; 23/20; 11/10; 1; 11/10; 9/8; 8/7; 23/20; 6/5; 6/5; 6/5; 6/5
Draw; 23/10; 9/4; 9/4; 64/25; 5/2; 23/10; 27/11; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5; 23/10; 27/11; 12/5; 23/10; 27/11; 12/5; 23/10; 12/5; 5/2; 12/5; ; 
Crewe; 5/2; 12/5; 23/10; 12/5; 119/50; 13/5; 12/5; 9/4; 23/10; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 45/17; 23/10; 40/17; 9/4; 47/20; 23/10; 23/10; 23/10; 12/5; 
META; english/league-2/stevenage-v-crewe; 2018-03-10 12:20:37 GMT+2; 2018-03-10 15:00; e70300-dr003
Stevenage; 5/4; 6/5; 6/5; 6/5; 31/25; 5/4; 6/5; 11/10; 6/5; 6/5; 6/5; 5/4; 5/4; 23/20; 23/20; 6/5; 1; 11/10; 19/16; 6/5; 5/4; 6/5; 1; 6/5; 6/5; 6/5; 6/5
Draw; 23/10; 9/4; 23/10; 51/20; 13/5; 12/5; 12/5; 27/11; 23/10; 12/5; 9/4; 23/10; 11/5; 12/5; 23/10; 27/11; 12/5; 12/5; 27/11; 12/5; 27/11; 12/5; 5/2; 5/2; 5/2; ; 
Crewe; 12/5; 23/10; 9/4; 23/10; 59/25; 12/5; 9/4; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 9/4; 23/10; 9/4; 45/17; 23/10; 28/13; 21/10; 23/10; 23/10; 27/10; 9/4; 23/10; 12/5; 23/10
