META; english/league-2/accrington-v-forest-green; 2018-03-12 10:28:04 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 4/6; 8/13; 37/50; 4/6; 4/6; 8/13; 13/19; 4/6; 8/11; 4/6; 9/13; 11/17; 11/18; 13/19; 7/10; 7/10; 9/13; 4/7; 8/11
Draw; 3; 11/4; 73/25; 3; 14/5; 11/4; 29/10; 3; 5/2; 11/4; 11/4; 3; 29/10; 29/10; 3; 14/5; 11/4; 11/4; 13/5
Forest Green; 15/4; 9/2; 41/10; 4; 15/4; 7/2; 18/5; 4; 4; 17/5; 7/2; 7/2; 18/5; 15/4; 15/4; 38/11; 7/2; 4; 
META; english/league-2/accrington-v-forest-green; 2018-03-12 20:20:10 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 8/11; 3/4; 79/00; 8/11; 8/11; 8/13; 13/19; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 5/7; 11/17; 8/11; 13/19; 3/4; 8/11; 5/7; 4/6; 4/6; 8/11
Draw; 3; 14/5; 5/2; 71/25; 29/10; 11/4; 13/5; 29/10; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 3; 45/17; 29/10; 3; 11/4; 45/17; 13/5; 9/4; 14/5
Forest Green; 7/2; 18/5; 10/3; 77/20; 15/4; 7/2; 7/2; 18/5; 19/5; 7/2; 7/2; 17/5; 7/2; 7/2; 17/5; 7/2; 3; 18/5; 17/5; 7/2; 38/11; 3; 10/3; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-13 12:22:56 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 3/4; 3/4; 39/50; 8/11; 8/11; 8/13; 13/19; 8/11; 3/4; 3/4; 3/4; 3/4; 8/11; 5/7; 7/10; 8/11; 13/19; 3/4; 8/11; 5/7; 4/6; 4/6; 8/11
Draw; 3; 14/5; 5/2; 57/20; 29/10; 11/4; 13/5; 29/10; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 45/17; 29/10; 45/17; 29/10; 3; 11/4; 27/10; 13/5; 9/4; 14/5
Forest Green; 7/2; 7/2; 10/3; 39/10; 15/4; 7/2; 7/2; 18/5; 19/5; 7/2; 7/2; 17/5; 7/2; 7/2; 17/5; 17/5; 3; 18/5; 17/5; 7/2; 17/5; 3; 10/3; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-13 20:20:45 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 3/4; 3/4; 83/00; 4/5; 3/4; 8/11; 13/19; 4/5; 4/5; 3/4; 4/5; 3/4; 8/11; 10/13; 7/10; 5/6; 13/19; 4/5; 10/13; 10/13; 8/11; 8/11; 4/5
Draw; 3; 14/5; 5/2; 139/0; 14/5; 13/5; 29/10; 11/4; 13/5; 13/5; 11/4; 13/5; 45/17; 29/10; 5/2; 29/10; 29/10; 13/5; 45/17; 5/2; 11/5; 27/10; ; 
Forest Green; 7/2; 7/2; 10/3; 73/20; 7/2; 10/3; 10/3; 18/5; 10/3; 10/3; 7/2; 16/5; 7/2; 10/3; 57/17; 17/5; 27/10; 18/5; 16/5; 10/3; 57/17; 3; 10/3; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-14 20:19:46 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 4/5; 3/4; 41/50; 4/5; 3/4; 8/11; 4/5; 3/4; 4/5; 3/4; 4/5; 3/4; 8/11; 10/13; 7/10; 5/6; 4/5; 3/4; 10/13; 10/13; 8/11; 8/11; 4/5; 4/5
Draw; 3; 13/5; 5/2; 14/5; 14/5; 13/5; 28/11; 11/4; 11/4; 13/5; 11/4; 13/5; 29/10; 5/2; 28/11; 11/4; 53/20; 27/10; 5/2; 11/5; 11/4; 27/10; ; ; 
Forest Green; 7/2; 7/2; 10/3; 37/10; 7/2; 10/3; 10/3; 57/17; 7/2; 10/3; 7/2; 16/5; 7/2; 10/3; 17/5; 17/5; 27/10; 57/17; 17/5; 10/3; 38/11; 3; 10/3; 7/2; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-15 13:12:23 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 3/4; 3/4; 41/50; 4/5; 3/4; 8/11; 4/5; 3/4; 4/5; 3/4; 4/5; 3/4; 8/11; 10/13; 7/10; 5/6; 4/5; 3/4; 10/13; 10/13; 8/11; 8/11; 4/5; 4/5
Draw; 3; 11/4; 5/2; 14/5; 31/10; 13/5; 11/4; 28/11; 11/4; 11/4; 13/5; 11/4; 13/5; 29/10; 5/2; 28/11; 11/4; 53/20; 27/10; 14/5; 11/5; 11/4; 27/10; ; 
Forest Green; 7/2; 7/2; 10/3; 37/10; 18/5; 7/2; 10/3; 57/17; 7/2; 10/3; 7/2; 16/5; 7/2; 10/3; 17/5; 17/5; 27/10; 57/17; 17/5; 10/3; 38/11; 3; 10/3; 7/2; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-15 20:19:46 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 8/11; 4/5; 4/5; 3/4; 41/50; 4/5; 8/11; 4/5; 3/4; 4/5; 3/4; 4/5; 3/4; 8/11; 10/13; 3/4; 4/5; 4/5; 3/4; 10/13; 10/13; 8/11; 8/11; 4/5; 4/5; 
Draw; 3; 13/5; 13/5; 5/2; 14/5; 29/10; 13/5; 28/11; 11/4; 5/2; 13/5; 11/4; 13/5; 45/17; 27/10; 5/2; 28/11; 3; 53/20; 27/10; 13/5; 5/2; 11/4; 11/4; ; 
Forest Green; 7/2; 7/2; 17/5; 10/3; 37/10; 18/5; 10/3; 10/3; 57/17; 7/2; 7/2; 7/2; 10/3; 7/2; 7/2; 38/11; 17/5; 14/5; 57/17; 17/5; 10/3; 7/2; 7/2; 7/2; 7/2; 7/2
META; english/league-2/accrington-v-forest-green; 2018-03-16 10:20:28 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 17/20; 17/20; 5/6; 3/4; 17/20; 5/6; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 3/4; 5/6; 4/5; 4/5; 5/6; 3/4; 4/5; 4/5; 3/4; 5/6; 5/6; 4/5; 5/6; 5/6; 5/6
Draw; 14/5; 13/5; 5/2; 5/2; 71/25; 29/10; 13/5; 11/4; 28/11; 13/5; 11/4; 5/2; 13/5; 49/20; 11/4; 13/5; 45/17; 27/10; 5/2; 28/11; 11/4; 53/20; 27/10; 13/5; 13/5; 11/4; 27/10
Forest Green; 7/2; 16/5; 13/4; 10/3; 69/20; 7/2; 16/5; 10/3; 57/17; 13/4; 10/3; 10/3; 7/2; 31/10; 16/5; 16/5; 31/10; 17/5; 14/5; 57/17; 17/5; 10/3; 31/10; 3; 10/3; 10/3; 10/3
META; english/league-2/accrington-v-forest-green; 2018-03-16 16:23:35 GMT+2; 2018-03-17 15:00; e70300-dr003
Accrington; 17/20; 17/20; 5/6; 4/5; 21/25; 5/6; 4/5; 8/11; 4/5; 5/6; 4/5; 5/6; 3/4; 5/6; 4/5; 4/5; 5/6; 3/4; 5/6; 4/5; 3/4; 5/6; 5/6; 4/5; 4/5; 5/6; 5/6
Draw; 14/5; 13/5; 5/2; 5/2; 141/50; 29/10; 13/5; 11/4; 28/11; 13/5; 11/4; 5/2; 13/5; 49/20; 11/4; 13/5; 45/17; 27/10; 27/10; 28/11; 14/5; 53/20; 27/10; 13/5; 27/10; 11/4; 27/10
Forest Green; 7/2; 16/5; 13/4; 7/2; 71/20; 7/2; 10/3; 10/3; 57/17; 10/3; 10/3; 10/3; 7/2; 31/10; 16/5; 16/5; 31/10; 17/5; 56/19; 57/17; 17/5; 10/3; 31/10; 3; 10/3; 10/3; 10/3
