META; english/league-2/mansfield-v-chesterfield; 2017-11-24 10:42:25 GMT+2; 2017-11-25 13:00; e70300-dr003
Mansfield; 8/11; 8/11; 7/10; 4/5; 13/20; 8/11; 7/10; 4/6; 13/18; 8/11; 7/10; 8/11; 4/5; 7/10; 3/4; 8/11; 4/6; 5/7; 77/100; 13/18; 13/18; 4/6; 7/10; 7/10; 5/7; ; ; 8/11; 8/11
Draw; 3; 13/5; 13/5; 5/2; 5/2; 11/4; 13/5; 13/5; 11/4; 13/5; 11/4; 13/5; 13/5; 5/2; 11/4; 13/5; 11/4; 11/4; 73/25; 11/4; 11/4; 14/5; 3; 14/5; 11/4; ; ; 13/5; 14/5
Chesterfield; 4; 4; 4; 7/2; 7/2; 4; 15/4; 4; 18/5; 4; 19/5; 4; 16/5; 19/5; 7/2; 15/4; 4; 15/4; 77/20; 7/2; 18/5; 4; 4; 4; 19/5; ; ; 7/2; 7/2
