META; english/league-2/mansfield-v-colchester; 2018-03-05 20:20:11 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 19/20; 1; 1; 1; 10/11; 1; 19/20; 1; 19/20; 1; 19/20; 19/20; 1; 28/29; 1; 19/20; 19/20; ; ; ; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 12/5; 23/10; 11/5; 40/17; 9/4; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 40/17; 12/5; 47/20; 23/10
Colchester; 3; 29/10; 29/10; 14/5; 3; 11/4; 11/4; 11/4; 14/5; 3; 11/4; 11/4; 11/4; 14/5; 27/10; 14/5; 27/11; 11/4; 29/10; 57/20; 11/4; 
META; english/league-2/mansfield-v-colchester; 2018-03-06 15:06:19 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 19/20; 1; 1; 103/00; 1; 10/11; 1; 19/20; 1; 19/20; 1; 19/20; 19/20; 1; 28/29; 1; 19/20; 19/20; ; ; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 5/2; 12/5; 23/10; 11/5; 40/17; 9/4; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 40/17; 47/20; 23/10
Colchester; 3; 29/10; 29/10; 14/5; 61/20; 3; 14/5; 11/4; 11/4; 14/5; 3; 11/4; 11/4; 11/4; 14/5; 27/10; 14/5; 27/11; 11/4; 57/20; 11/4; 
META; english/league-2/mansfield-v-colchester; 2018-03-08 10:17:14 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 19/20; 1; 1; 103/100; 1; 20/21; 10/11; 19/20; 1; 19/20; 1; 19/20; 19/20; 1; 19/20; 1; 28/29; 19/20; 1; 19/20; 1; 20/21; 1; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 5/2; 13/5; 23/10; 12/5; 40/17; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 40/17; 12/5; 47/20; 40/17; 12/5; 12/5
Colchester; 3; 29/10; 29/10; 14/5; 61/20; 16/5; 14/5; 3; 29/10; 29/10; 3; 11/4; 14/5; 11/4; 14/5; 37/13; 14/5; 27/11; 29/10; 29/10; 57/20; 29/10; 3; ; 
META; english/league-2/mansfield-v-colchester; 2018-03-08 12:20:47 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 19/20; 1; 1; 103/00; 1; 20/21; 10/11; 19/20; 1; 19/20; 1; 19/20; 19/20; 1; 19/20; 1; 28/29; 19/20; 1; 19/20; 1; 20/21; 20/21; 1; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 5/2; 13/5; 23/10; 12/5; 40/17; 23/10; 12/5; 9/4; 12/5; 11/5; 12/5; 23/10; 40/17; 23/10; 23/10; 40/17; 12/5; 47/20; 12/5; 21/10; 12/5; 12/5
Colchester; 3; 29/10; 29/10; 14/5; 61/20; 16/5; 14/5; 3; 29/10; 29/10; 3; 11/4; 14/5; 11/4; 14/5; 37/13; 14/5; 27/11; 29/10; 29/10; 57/20; 37/13; 5/2; 3; ; 
META; english/league-2/mansfield-v-colchester; 2018-03-09 12:19:57 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 1; 21/20; 1; 53/50; 1; 10/11; 19/20; 21/20; 1; 21/20; 19/20; 1; 1; 1; 30/29; 19/20; 1; 1; 21/20; ; ; ; 
Draw; 5/2; 23/10; 9/4; 12/5; 5/2; 13/5; 23/10; 12/5; 40/17; 9/4; 12/5; 9/4; 12/5; 11/5; 12/5; 40/17; 23/10; 27/11; 40/17; 12/5; 9/4; 12/5; 12/5
Colchester; 16/5; 14/5; 11/4; 14/5; 73/25; 3; 11/4; 11/4; 29/10; 14/5; 11/4; 14/5; 11/4; 27/10; 11/4; 11/4; 37/13; 14/5; 27/11; 29/10; 27/10; 14/5; 14/5
META; english/league-2/mansfield-v-colchester; 2018-03-10 12:20:34 GMT+2; 2018-03-10 15:00; e70300-dr003
Mansfield; 1; 21/20; 21/20; 1; 53/50; 21/20; 21/20; 1; 21/20; 1; 21/20; 11/10; 21/20; 1; 1; 15/14; 1; 11/10; 1; 21/20; 21/20; 21/20; ; ; ; 
Draw; 5/2; 23/10; 9/4; 12/5; 5/2; 5/2; 12/5; 23/10; 40/17; 9/4; 12/5; 23/10; 23/10; 43/20; 12/5; 23/10; 40/17; 23/10; 12/5; 40/17; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5
Colchester; 16/5; 11/4; 27/10; 14/5; 73/25; 3; 11/4; 11/4; 11/4; 11/4; 11/4; 13/5; 13/5; 13/5; 11/4; 11/4; 37/13; 14/5; 12/5; 11/4; 27/10; 37/13; 14/5; 14/5; 14/5; 
