META; english/league-2/swindon-v-crewe; 2018-01-22 12:17:18 GMT+2; 2018-01-27 15:00; e70300-dr003
Swindon; 3/4; 17/20; 5/6; 17/20; 22/25; 4/5; 4/5; 4/5; 11/13; 5/6; 5/6; 4/5; ; ; 4/5; 5/6; 4/5; 4/5; 4/5; 4/5; 11/13; 5/6; 4/5; 4/5; 4/5; 8/11; ; 
Draw; 14/5; 5/2; 5/2; 5/2; 67/25; 27/10; 5/2; 13/5; 27/11; 12/5; 13/5; 5/2; ; ; 11/4; 5/2; 13/5; 5/2; 13/5; 28/11; 27/11; 13/5; 14/5; 51/20; 28/11; 12/5; ; 
Crewe; 10/3; 10/3; 10/3; 10/3; 7/2; 18/5; 10/3; 7/2; 16/5; 13/4; 7/2; 7/2; ; ; 16/5; 10/3; 16/5; 13/4; 16/5; 33/10; 16/5; 100/ 30; 10/3; 10/3; 33/10; 10/3; ; 
META; english/league-2/swindon-v-crewe; 2018-01-23 02:16:46 GMT+2; 2018-01-27 15:00; e70300-dr003
Swindon; 3/4; 17/20; 4/5; 17/20; 43/50; 4/5; 4/5; 4/5; 11/13; 4/5; 5/6; 5/6; ; ; 4/5; 4/5; 4/5; 4/5; 4/5; 4/5; 11/13; 5/6; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5
Draw; 14/5; 5/2; 5/2; 5/2; 27/10; 27/10; 5/2; 13/5; 27/11; 5/2; 13/5; 12/5; ; ; 11/4; 13/5; 13/5; 5/2; 13/5; 28/11; 27/11; 13/5; 14/5; 51/20; 28/11; 12/5; 11/5; 13/5
Crewe; 10/3; 10/3; 17/5; 10/3; 18/5; 18/5; 10/3; 7/2; 16/5; 10/3; 7/2; 7/2; ; ; 16/5; 10/3; 16/5; 57/17; 16/5; 33/10; 16/5; 100/ 30; 10/3; 10/3; 57/17; 10/3; 14/5; 7/2
META; english/league-2/swindon-v-crewe; 2018-01-23 17:23:23 GMT+2; 2018-01-27 15:00; e70300-dr003
Swindon ; 3/4; 4/5; 4/5; 5/6; 5/6; 4/5; 4/5; 4/5; 11/13; 4/5; 5/6; 4/5; ; 3/4; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 11/13; 4/5; 4/5; 10/13; 10/13; 8/11; 8/11; 4/5
Draw; 14/5; 5/2; 5/2; 12/5; 67/25; 27/10; 5/2; 13/5; 27/11; 5/2; 13/5; 5/2; ; 49/20; 11/4; 5/2; 13/5; 28/11; 13/5; 28/11; 27/11; 13/5; 13/5; 51/20; 13/5; 12/5; 23/10; 13/5
Crewe; 10/3; 7/2; 7/2; 3; 19/5; 18/5; 10/3; 7/2; 16/5; 7/2; 18/5; 7/2; ; 7/2; 16/5; 10/3; 16/5; 39/11; 16/5; 33/10; 16/5; 7/2; 18/5; 7/2; 18/5; 10/3; 3; 7/2
META; english/league-2/swindon-v-crewe; 2018-01-24 12:18:41 GMT+2; 2018-01-27 15:00; e70300-dr003
Swindon ; 3/4; 4/5; 4/5; 5/6; 83/ 100; 4/5; 3/4; ; 11/13; 4/5; 5/6; 4/5; ; 3/4; 4/5; 4/5; 4/5; 10/13; 4/5; 4/5; 11/13; 4/5; 4/5; 10/13; 10/13; ; 8/11; 8/11; 8/11
Draw; 14/5; 5/2; 5/2; 12/5; 27/10; 27/10; 5/2; ; 27/11; 5/2; 13/5; 5/2; ; 49/20; 11/4; 5/2; 13/5; 28/11; 13/5; 28/11; 27/11; 13/5; 14/5; 51/20; 13/5; ; 12/5; 9/4; 13/5
Crewe; 10/3; 7/2; 7/2; 3; 19/5; 18/5; 7/2; ; 16/5; 18/5; 18/5; 7/2; ; 7/2; 16/5; 10/3; 16/5; 39/11; 16/5; 33/10; 16/5; 7/2; 17/5; 7/2; 18/5; ; 7/2; 3; 7/2
