META; english/league-2/exeter-v-lincoln; 2017-08-15 20:21:09 GMT+3; 2017-08-19 15:00; e70300-dr003
Exeter; 11/10; 5/4; 5/4; 5/4; 5/4; 23/20; 5/4; 6/5; 8/7; ; 5/4; ; 6/5; 5/4; 5/4; 5/4; 6/5; 8/7; 6/5; 127/100; 8/7; 8/7; 6/5; 5/4; ; ; 5/6; 6/5; 
Lincoln; 12/5; 9/4; 21/10; 2; 9/4; 41/20; 11/5; 11/5; 40/17; ; 11/5; ; 11/5; 9/4; 21/10; 9/4; 23/10; 40/17; 11/5; 23/10; 79/40; 40/17; 21/10; 23/10; ; ; 6/4; 19/10; 
Draw; 12/5; 23/10; 11/5; 11/5; 12/5; 11/5; 12/5; 12/5; 40/17; ; 23/10; ; 47/20; 12/5; 12/5; 23/10; 9/4; 40/17; 9/4; 51/20; 40/17; 40/17; 23/10; 12/5; ; ; 21/10; 2; 
META; english/league-2/exeter-v-lincoln; 2017-08-16 20:07:35 GMT+3; 2017-08-19 15:00; e70300-dr003
Exeter; 11/10; 5/4; 5/4; 5/4; 6/5; 23/20; 5/4; 6/5; 8/7; 5/4; 5/4; ; 6/5; 5/4; 5/4; 6/5; 6/5; 8/7; 6/5; 127/100; 8/7; 8/7; 6/5; 5/4; ; ; 6/5; 6/5; 5/4
Lincoln; 12/5; 9/4; 21/10; 2; 9/4; 41/20; 85/40; 11/5; 40/17; 21/10; 11/5; ; 11/5; 9/4; 21/10; 9/4; 23/10; 40/17; 9/4; 58/25; 79/40; 40/17; 21/10; 23/10; ; ; 21/10; 21/10; 23/10
Draw; 12/5; 23/10; 11/5; 11/5; 5/2; 11/5; 5/2; 12/5; 40/17; 23/10; 23/10; ; 47/20; 12/5; 12/5; 12/5; 9/4; 40/17; 23/10; 63/25; 40/17; 40/17; 23/10; 12/5; ; ; 9/4; 11/5; 12/5
META; english/league-2/exeter-v-lincoln; 2018-05-15 10:49:02 GMT+3; 2018-05-17 19:45; e70300-dr003
Exeter; 31/20; 7/4; 17/10; 13/8; 44/25; 13/8; 13/8; 8/5; 8/5; 17/10; 6/4; 17/10; 17/10; 7/4; 13/8; 8/5; 28/17; 8/5; 8/5; 8/5; 17/10; 28/17; 13/8; 13/8; 13/8; 17/10
Lincoln; 13/8; 7/4; 17/10; 7/4; 91/50; 7/4; 17/10; 17/10; 28/17; 7/4; 7/4; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 28/17; 8/5; 13/8; 17/10; 17/10; 7/4; 13/8; 13/8; 17/10
Draw; 12/5; 2; 11/5; 56/25; 23/10; 21/10; 11/5; 12/5; 21/10; 23/10; 21/10; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 11/5; 40/17; 9/4; 28/13; 2; 21/10; 19/10; 23/10; 
META; english/league-2/exeter-v-lincoln; 2018-05-16 16:15:33 GMT+3; 2018-05-17 19:45; e70300-dr003
Lincoln; 7/4; 17/10; 33/20; 7/4; 177/00; 9/5; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10; 13/8; 33/20; 17/10; 17/10; 28/17; 28/17; 27/17; 17/10; 17/10; 17/10; 13/8; 13/8; 13/8; 17/10; 7/4
Exeter; 9/5; 17/10; 9/5; 13/8; 179/00; 7/4; 17/10; 13/8; 17/10; 9/5; 6/4; 7/4; 9/5; 37/20; 13/8; 17/10; 17/10; 8/5; 33/19; 17/10; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 9/5
Draw; 9/4; 21/10; 2; 11/5; 113/0; 9/4; 21/10; 21/10; 11/5; 2; 23/10; 21/10; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 28/13; 28/13; 23/10; 21/10; 21/10; 21/10; 9/4; 21/10; 9/4
META; english/league-2/exeter-v-lincoln; 2018-05-17 12:13:21 GMT+3; 2018-05-17 19:45; e70300-dr003
Lincoln; 9/5; 7/4; 17/10; 7/4; 181/00; 9/5; 7/4; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 27/17; 17/10; 7/4; 7/4; 7/4; 7/4; 9/5; 9/5; 9/5
Exeter; 9/5; 9/5; 7/4; 7/4; 177/00; 7/4; 7/4; 17/10; 7/4; 9/5; 15/8; 7/4; 7/4; 9/5; 9/5; 7/4; 17/10; 9/5; 33/19; 7/4; 9/5; 17/10; 13/8; 9/5; 9/5; 9/5; 9/5
Draw; 11/5; 21/10; 2; 56/25; 11/5; 21/10; 21/10; 21/10; 21/10; 11/5; 2; 21/10; 2; 39/19; 2; 21/10; 39/19; 11/5; 21/10; 21/10; 2; 21/10; 21/10; 21/10; ; ; 
