META; english/league-2/yeovil-v-newport-county; 2018-03-05 20:20:23 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 8/5; 13/8; 33/20; 13/8; 13/8; 13/8; 6/4; 8/5; 33/20; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 8/5; 8/5; 22/15; 8/5; 13/8; 13/8; 8/5; 6/4
Newport County; 8/5; 17/10; 17/10; 7/4; 7/4; 13/8; 8/5; 17/10; 17/10; 17/10; 7/4; 31/20; 33/20; 17/10; 17/10; 8/5; 8/5; 6/4; 17/10; 17/10; 33/20; 28/17; 13/8
Draw; 12/5; 11/5; 21/10; 11/5; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 23/10; 40/17; 23/10; 23/10; 11/5; 28/13; 2
META; english/league-2/yeovil-v-newport-county; 2018-03-06 15:06:32 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 8/5; 13/8; 33/20; 13/8; 43/25; 13/8; 13/8; 6/4; 8/5; 33/20; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 17/11; 8/5; 22/15; 8/5; 13/8; 8/5; 6/4
Newport County; 8/5; 17/10; 17/10; 7/4; 177/00; 7/4; 17/10; 8/5; 17/10; 17/10; 17/10; 7/4; 31/20; 33/20; 17/10; 17/10; 8/5; 8/5; 6/4; 17/10; 33/20; 28/17; 13/8
Draw; 12/5; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 11/5; 23/10; 21/10; 9/4; 2; 9/4; 21/10; 11/5; 21/10; 28/13; 23/10; 40/17; 23/10; 11/5; 28/13; 21/10
META; english/league-2/yeovil-v-newport-county; 2018-03-08 10:17:26 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 8/5; 13/8; 33/20; 13/8; 43/25; 13/8; 13/8; 6/4; 8/5; 17/10; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 8/5; 8/5; 22/15; 8/5; 8/5; 13/8; 28/17; 6/4; 13/8; 13/8
Newport County; 8/5; 17/10; 17/10; 7/4; 177/100; 7/4; 17/10; 8/5; 17/10; 17/10; 7/4; 7/4; 31/20; 33/20; 17/10; 17/10; 17/10; 8/5; 6/4; 17/10; 17/10; 33/20; 17/10; 13/8; 17/10; 17/10
Draw; 12/5; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 11/5; 9/4; 21/10; 9/4; 2; 9/4; 41/20; 11/5; 21/10; 9/4; 23/10; 40/17; 9/4; 12/5; 11/5; 9/4; 21/10; 23/10; 23/10
META; english/league-2/yeovil-v-newport-county; 2018-03-08 12:21:00 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 8/5; 13/8; 33/20; 13/8; 43/25; 13/8; 13/8; 6/4; 8/5; 17/10; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 8/5; 8/5; 22/15; 8/5; 8/5; 13/8; 28/17; 13/8; 6/4; 13/8; 13/8
Newport County; 8/5; 17/10; 17/10; 7/4; 177/00; 7/4; 17/10; 8/5; 17/10; 17/10; 7/4; 7/4; 31/20; 33/20; 17/10; 17/10; 17/10; 8/5; 6/4; 17/10; 17/10; 33/20; 17/10; 13/8; 13/8; 17/10; 17/10
Draw; 12/5; 11/5; 21/10; 11/5; 59/25; 23/10; 11/5; 11/5; 9/4; 21/10; 9/4; 2; 9/4; 41/20; 11/5; 21/10; 11/5; 23/10; 40/17; 9/4; 12/5; 11/5; 9/4; 21/10; 19/10; 23/10; 23/10
META; english/league-2/yeovil-v-newport-county; 2018-03-09 12:20:10 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 7/4; 13/8; 33/20; 8/5; 171/100; 17/10; 13/8; 6/4; 8/5; 33/20; 13/8; 17/10; 17/10; 13/8; 13/8; 8/5; 8/5; 8/5; 11/7; 8/5; 13/8; 13/8; 13/8; 13/8; 13/8
Newport County; 7/4; 17/10; 17/10; 17/10; 177/100; 9/5; 17/10; 13/8; 17/10; 17/10; 7/4; 7/4; 31/20; 33/20; 17/10; 17/10; 17/10; 8/5; 8/5; 17/10; 33/20; 17/10; 13/8; 17/10; 17/10
Draw; 12/5; 11/5; 21/10; 2; 119/50; 12/5; 11/5; 9/4; 9/4; 21/10; 11/5; 2; 9/4; 41/20; 11/5; 21/10; 11/5; 23/10; 40/17; 9/4; 11/5; 11/5; 2; 23/10; 23/10
META; english/league-2/yeovil-v-newport-county; 2018-03-10 12:20:47 GMT+2; 2018-03-10 15:00; e70300-dr003
Yeovil; 7/4; 13/8; 33/20; 17/10; 17/10; 7/4; 13/8; 13/8; 8/5; 17/10; 13/8; 17/10; 13/8; 13/8; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 13/8; 28/17; 13/8; 17/10; 13/8; 17/10
Newport County; 7/4; 17/10; 17/10; 17/10; 177/00; 9/5; 17/10; 17/10; 17/10; 17/10; 17/10; 7/4; 17/10; 33/20; 17/10; 17/10; 17/10; 8/5; 8/5; 17/10; 17/10; 33/20; 17/10; 7/4; 9/5; 17/10; 9/5
Draw; 12/5; 11/5; 21/10; 21/10; 12/5; 23/10; 11/5; 11/5; 9/4; 21/10; 9/4; 2; 11/5; 41/20; 11/5; 21/10; 11/5; 23/10; 40/17; 9/4; 12/5; 11/5; 9/4; 11/5; 9/4; 23/10; 23/10
