META; english/league-2/coventry-v-notts-county; 2017-06-26 14:26:04 GMT+3; 2017-08-05 15:00; e70300-dr003
Coventry; 11/10; 5/4; ; 11/10; ; 11/10; 23/20; 11/10; 11/10; 11/10; 6/5; 6/5; 23/20; 11/10; 11/10; ; 11/10; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 11/10; ; 1/50; ; 
Draw; 12/5; 5/2; ; 23/10; ; 23/10; 5/2; 2; 12/5; 9/4; 11/5; 23/10; 12/5; 2; 12/5; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; 9/4; ; 
Notts County; 12/5; 2; ; 11/5; ; 12/5; 23/10; 9/4; 12/5; 9/4; 2; 23/10; 9/4; 9/4; 23/10; ; 9/4; 12/5; 9/4; 9/4; 66/25; ; 9/4; ; 9/4; ; 1/50; ; 
META; english/league-2/coventry-v-notts-county; 2017-07-21 16:29:27 GMT+3; 2017-08-05 15:00; e70300-dr003
Coventry; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 1; 11/10; 11/10; 11/10; 23/20; ; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 12/11; 11/10; ; 11/10; ; ; 1/20; ; 
Draw; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; ; 12/5; 12/5; 23/10; 23/10; 23/10; 9/4; 5/2; 12/5; 23/10; ; 12/5; ; ; 19/10; ; 
Notts County; 12/5; 23/10; 9/4; 21/10; 12/5; 12/5; 23/10; 11/5; 9/4; 9/4; 9/4; 12/5; ; 12/5; 23/10; 11/5; 12/5; 9/4; 9/4; 66/25; 39/19; 9/4; ; 12/5; ; ; 1/12; ; 
META; english/league-2/coventry-v-notts-county; 2017-07-24 13:32:21 GMT+3; 2017-08-05 15:00; e70300-dr003
Coventry; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 1; 11/10; 15/13; 23/20; 23/20; 11/10; 11/10; 23/20; 15/13; 11/10; 11/10; 11/10; 23/20; 12/11; 11/10; ; 11/10; ; ; 2/11; ; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 12/5; 12/5; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 5/2; 12/5; 23/10; ; 12/5; ; ; 21/10; ; 
Notts County; 12/5; 23/10; 11/5; 21/10; 12/5; 43/20; 23/10; 11/5; 9/4; 11/5; 11/5; 9/4; 47/20; 12/5; 23/10; 11/5; 12/5; 9/4; 9/4; 66/25; 39/19; 9/4; ; 12/5; ; ; 2; ; 
META; english/league-2/coventry-v-notts-county; 2017-07-27 14:46:19 GMT+3; 2017-08-05 15:00; e70300-dr003
Coventry; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 1; 11/10; 15/13; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 59/50; 12/11; 11/10; ; 11/10; ; ; 1/33; ; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; ; 12/5; ; ; 21/10; ; 
Notts County; 12/5; 23/10; 11/5; 21/10; 12/5; 43/20; 23/10; 11/5; 9/4; 11/5; 11/5; 9/4; 47/20; 12/5; 23/10; 11/5; 12/5; 9/4; 9/4; 64/25; 39/19; 9/4; ; 12/5; ; ; 2; ; 
META; english/league-2/coventry-v-notts-county; 2017-07-31 12:02:15 GMT+3; 2017-08-05 15:00; e70300-dr003
Coventry; 11/10; 23/20; 23/20; 23/20; 23/20; 11/10; 6/5; 1; 11/10; 15/13; 23/20; 23/20; 11/10; 11/10; 23/20; 11/10; 11/10; 11/10; 15/13; 59/50; 12/11; 11/10; ; 11/10; 11/10; ; 6/5; 10/9; 
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 12/5; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 23/10; 5/2; 12/5; 23/10; ; 12/5; 12/5; ; 9/4; 2; 
Notts County; 12/5; 23/10; 11/5; 21/10; 12/5; 43/20; 23/10; 11/5; 9/4; 11/5; 11/5; 9/4; 47/20; 12/5; 23/10; 11/5; 12/5; 9/4; 23/10; 64/25; 39/19; 9/4; ; 12/5; 9/4; ; 9/4; 21/10; 
META; english/league-2/coventry-v-notts-county; 2018-05-07 10:33:22 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 1; 21/20; 1; 109/00; 1; 10/11; 19/20; 1; 21/20; 21/20; 21/20; 1; 1; 10/11; 1; 19/20; 21/20; 1; 10/11; 21/20; ; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 12/5; 23/10; 40/17; 11/5; 12/5; 23/10; 12/5; 11/5; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 12/5; 23/10; 21/10; 12/5
Notts County; 11/4; 13/5; 13/5; 12/5; 57/20; 29/10; 13/5; 29/10; 13/5; 11/4; 13/5; 13/5; 13/5; 11/4; 13/5; 28/11; 14/5; 13/5; 29/10; 27/10; 13/5; 13/5; 11/4
META; english/league-2/coventry-v-notts-county; 2018-05-08 08:12:51 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 1; 21/20; 21/20; 1; 11/10; 1; 10/11; 1; 21/20; 1; 21/20; 11/10; 21/20; 1; 21/20; 1; 10/11; 21/20; 1; 11/10; 1; 20/21; 21/20; 
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 11/5; 12/5; 11/5; 12/5; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 12/5; 23/10; 12/5; 12/5
Notts County; 11/4; 11/4; 13/5; 12/5; 141/0; 29/10; 13/5; 13/5; 14/5; 13/5; 11/4; 11/4; 12/5; 13/5; 11/4; 13/5; 28/11; 14/5; 27/11; 11/4; 13/5; 13/5; 27/10; 11/4
META; english/league-2/coventry-v-notts-county; 2018-05-09 10:12:57 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 1; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 21/20; 11/10; 21/20; 1; 21/20; 1; 10/11; 21/20; 1; 11/10; 1; 20/21; 20/21; 21/20; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 43/20; 12/5; 23/10; 23/10; 5/2; 12/5; 40/17; 12/5; 40/17; 9/4; 21/10; 19/10; 12/5
Notts County; 11/4; 11/4; 13/5; 12/5; 141/0; 27/10; 13/5; 13/5; 14/5; 13/5; 13/5; 11/4; 12/5; 13/5; 11/4; 13/5; 13/5; 14/5; 27/11; 11/4; 13/5; 45/17; 13/5; 27/10; 21/10; 11/4
META; english/league-2/coventry-v-notts-county; 2018-05-10 12:12:49 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 11/10; 21/20; 21/20; 1; 109/00; 1; 21/20; 10/11; 1; 11/10; 21/20; 1; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 11/10; 21/20; 1; 20/21; 20/21; 21/20; 21/20
Draw; 12/5; 23/10; 11/5; 23/10; 61/25; 12/5; 23/10; 23/10; 12/5; 11/5; 12/5; 23/10; 12/5; 21/10; 12/5; 23/10; 23/10; 23/10; 12/5; 40/17; 12/5; 40/17; 9/4; 21/10; 11/5; 23/10; 23/10
Notts County; 12/5; 11/4; 27/10; 12/5; 29/10; 29/10; 13/5; 11/4; 14/5; 11/4; 13/5; 14/5; 12/5; 13/5; 13/5; 13/5; 45/17; 14/5; 27/11; 11/4; 13/5; 27/10; 14/5; 27/10; 13/5; 14/5; 14/5
META; english/league-2/coventry-v-notts-county; 2018-05-11 13:01:55 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 21/20; 21/20; 1; 21/20; 1; 10/11; 1; 21/20; 1; 11/10; 1; 21/20; 1; 19/20; 68/67; 1; 21/20; 1; 1; 1; ; ; ; ; ; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 12/5; 21/10; 12/5; 23/10; 40/17; 12/5; 12/5; 40/17; 12/5; 40/17; 9/4; 9/4; 23/10; 12/5; 12/5
Notts County; 16/5; 29/10; 29/10; 12/5; 3; 29/10; 11/4; 11/4; 37/13; 29/10; 3; 14/5; 12/5; 11/4; 11/4; 14/5; 14/5; 31/10; 13/5; 11/4; 11/4; 37/13; 14/5; 14/5; 14/5; 3; 
META; english/league-2/coventry-v-notts-county; 2018-05-12 12:14:44 GMT+3; 2018-05-12 19:30; e70300-dr003
Coventry; 10/11; 19/20; 19/20; 10/11; 23/25; 19/20; 1; 10/11; 9/10; 19/20; 9/10; 20/21; 19/20; 10/11; 10/11; 10/11; 13/15; 19/20; 15/16; 9/10; 20/21; 10/11; 19/20; 10/11; 10/11; 20/21; 20/21
Draw; 5/2; 12/5; 11/5; 9/4; 127/0; 12/5; 12/5; 23/10; 12/5; 11/5; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 12/5; 12/5; 23/10; 40/17; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5
Notts County; 15/4; 10/3; 16/5; 10/3; 7/2; 17/5; 11/4; 16/5; 13/4; 16/5; 16/5; 16/5; 3; 31/10; 16/5; 10/3; 13/4; 31/10; 56/19; 16/5; 16/5; 31/10; 3; 10/3; 10/3; 10/3; 7/2
