META; english/league-2/exeter-v-chesterfield; 2018-02-27 18:18:43 GMT+2; 2018-03-03 15:00; e70300-dr003
Exeter; 17/20; 19/20; 10/11; 19/20; 19/20; 10/11; 9/10; 5/6; 9/10; 10/11; 9/10; 10/11; 10/11; 10/11; 10/11; 10/11; 13/15; 9/10; 7/8; 9/10; 37/40; 9/10; 13/15; ; 5/6; 5/6; 
Draw; 11/4; 12/5; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 27/11; 5/2; 5/2; 12/5; 12/5; 47/20; 5/2; 5/2; 27/11; 13/5; 12/5; 27/11; 11/4; 49/20; 27/11; ; 23/10; 9/4; 
Chesterfield; 29/10; 3; 3; 14/5; 13/4; 16/5; 29/10; 3; 3; 3; 16/5; 3; 3; 11/4; 3; 3; 56/19; 14/5; 45/17; 3; 14/5; 59/20; 3; ; 14/5; 13/5; 
META; english/league-2/exeter-v-chesterfield; 2018-03-01 16:01:04 GMT+2; ; e70300-dr003
Exeter w l d l w w; 17/20; 19/20; 10/11; 19/20; 20/21; 10/11; 10/11; 5/6; 9/10; 19/20; 10/11; 10/11; 10/11; 17/20; 10/11; 10/11; 10/11; 9/10; 9/10; 9/10; 37/40; 9/10; 10/11; 5/6; 5/6; 10/11
Draw; 11/4; 12/5; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 27/11; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 28/11; 27/11; 11/4; 49/20; 28/11; 23/10; 12/5; 5/2
Chesterfield w l l l l w; 29/10; 3; 29/10; 14/5; 13/4; 16/5; 29/10; 3; 3; 3; 3; 3; 29/10; 14/5; 14/5; 3; 14/5; 59/20; 56/19; 14/5; 14/5; ; ; ; ; 
META; english/league-2/exeter-v-chesterfield; 2018-03-02 08:22:10 GMT+2; 2018-03-03 15:00; e70300-dr003
Exeter; 11/10; 21/20; 11/10; 1; 113/100; 11/10; 21/20; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 1; 24/23; 1; 21/20; 21/20; 21/20; 21/20; 11/10; 10/9; 
Draw; 13/5; 12/5; 23/10; 12/5; 129/50; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 12/5; 5/2; 28/11; 27/11; 13/5; 49/20; 12/5; 5/2; 5/2; 5/2
Chesterfield; 27/10; 13/5; 5/2; 12/5; 131/50; 14/5; 5/2; 13/5; 27/10; 5/2; 13/5; 5/2; 5/2; 49/20; 11/4; 5/2; 28/11; 5/2; 40/17; 27/10; 5/2; 53/20; 28/11; 12/5; 12/5; 5/2
META; english/league-2/exeter-v-chesterfield; 2018-03-02 14:01:22 GMT+2; 2018-03-03 15:00; e70300-dr003
Exeter; 21/20; 11/10; 21/20; 1; 11/10; 1; 21/20; 1; 24/23; 1; 21/20; 21/20; 11/10; 
Draw; 23/10; 13/5; 12/5; 12/5; 27/11; 12/5; 12/5; 27/11; 5/2; 28/11; 27/11; 27/11; 12/5; 5/2
Chesterfield; 5/2; 14/5; 5/2; 13/5; 27/10; 13/5; 5/2; 28/11; 5/2; 40/17; 27/10; 13/5; 13/5; 13/5
META; english/league-2/exeter-v-chesterfield; 2018-03-03 12:20:11 GMT+2; 2018-03-03 15:00; e70300-dr003
Exeter; 20/21
Draw; 5/2
Chesterfield; 14/5
META; english/league-2/exeter-v-chesterfield; 2018-04-16 20:41:22 GMT+3; 2018-04-17 19:45; e70300-dr003
Exeter; 21/20; 21/20; 11/10; 21/20; 57/50; 21/20; 21/20; 1; 19/20; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 11/10; 21/20; 19/20; 19/17; 19/20; 23/20; 21/20; 21/20; 20/21; 20/21; 11/10; 10/9
Draw; 13/5; 12/5; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 27/10; 12/5; 12/5; 12/5; 5/2; 23/10; 13/5; 12/5; 5/2; 13/5; 5/2; 27/10; 13/5; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5
Chesterfield; 14/5; 13/5; 12/5; 5/2; 64/25; 13/5; 12/5; 5/2; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 27/11; 13/5; 11/5; 28/11; 12/5; 27/11; 12/5; 12/5; 12/5; 5/2; 5/2
META; english/league-2/exeter-v-chesterfield; 2018-04-17 20:43:43 GMT+3; 2018-04-17 19:45; e70300-dr003
Exeter; 1; 10/11; 10/11; 19/20; 93/00; 19/20; 20/21; 10/11; 19/20; 10/11; 10/11; 20/21; 19/20; 17/20; 19/20; 19/20; 19/20; 19/20; 13/14; 19/20; 19/20; 19/20; 10/11; 10/11; 10/11; 10/11; 10/11
Draw; 27/10; 5/2; 12/5; 12/5; 68/25; 13/5; 5/2; 5/2; 27/10; 12/5; 5/2; 12/5; 5/2; 47/20; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 27/10; 28/11; 5/2; 13/5; 13/5; 13/5; 13/5
Chesterfield; 29/10; 3; 11/4; 16/5; 31/10; 3; 13/5; 3; 3; 14/5; 14/5; 3; 14/5; 37/13; 13/5; 45/17; 13/5; 3; 29/10; 3; 3; 3; ; ; ; ; 
