META; english/league-2/stevenage-v-mansfield; 2018-02-27 18:18:51 GMT+2; 2018-03-03 15:00; e70300-dr003
Mansfield; 11/8; 7/5; 16/11; 29/20; 149/100; 6/4; 7/5; 7/5; 31/21; 29/20; ; 6/4; 13/10; 29/20; 6/4; 7/5; 7/5; 23/17; 15/11; 31/21; 6/4; 7/5; 7/5; ; 11/8; 5/4; 
Stevenage; 2; 19/10; 19/10; 19/10; 52/25; 19/10; 19/10; 9/5; 15/8; 2; ; 19/10; 19/10; 37/20; 9/5; 19/10; 19/10; 37/19; 48/29; 15/8; 19/10; 19/10; 37/19; ; 9/5; 7/4; 
Draw; 9/4; 23/10; 11/5; 9/4; 117/50; 23/10; 11/5; 21/10; 11/5; 11/5; 9/4; 11/5; 12/5; 43/20; 23/10; 9/4; 28/13; 9/4; 40/17; 11/5; ; 11/5; 11/5; ; 2; 2; 
META; english/league-2/stevenage-v-mansfield; 2018-03-01 16:01:13 GMT+2; ; e70300-dr003
Mansfield w w l w w d; 11/8; 7/5; 16/11; 29/20; 149/100; 6/4; 7/5; 7/5; 31/21; 29/20; 29/20; 6/4; 13/10; 29/20; 6/4; 7/5; 7/5; 23/17; 7/5; 31/21; 6/4; 7/5; 16/11; 11/8; 11/8; 7/5
Stevenage l l d l w l; 2; 19/10; 19/10; 19/10; 52/25; 19/10; 19/10; 9/5; 15/8; 2; 19/10; 19/10; 37/20; 9/5; 19/10; 37/19; 37/19; 9/5; 15/8; 19/10; 19/10; 37/19; 7/4; 9/5; ; 
Draw; 9/4; 23/10; 11/5; 9/4; 117/50; 23/10; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 12/5; 43/20; 23/10; 9/4; 11/5; 9/4; 40/17; 11/5; 11/5; 11/5; 9/4; 21/10; 23/10; 
META; english/league-2/stevenage-v-mansfield; 2018-03-02 08:22:19 GMT+2; 2018-03-03 15:00; e70300-dr003
Mansfield; 31/20; 6/4; 29/20; 29/20; 6/4; 6/4; 7/5; 7/5; 31/21; 29/20; 29/20; 29/20; 13/10; 29/20; 7/5; 7/5; 16/11; 23/17; 19/13; 31/21; 7/5; 6/4; 16/11; 7/5; 7/5; 7/5
Stevenage; 2; 19/10; 2; 19/10; 43/20; 11/5; 2; 15/8; 21/10; 21/10; 21/10; 19/10; 39/20; 2; 37/19; 37/19; 21/11; 15/8; 2; 37/19; 2; 19/10; 21/10; ; ; 
Draw; 23/10; 11/5; 2; 9/4; 56/25; 9/4; 21/10; 21/10; 11/5; 21/10; 21/10; 21/10; 23/10; 2; 11/5; 21/10; 28/13; 9/4; 21/10; 11/5; 23/10; 21/10; 28/13; 21/10; 2; 21/10
META; english/league-2/stevenage-v-mansfield; 2018-03-02 14:01:31 GMT+2; 2018-03-03 15:00; e70300-dr003
