META; english/league-2/newport-county-v-colchester; 2017-10-16 12:19:43 GMT+3; 2017-10-17 19:45; e70300-dr003
Newport County; 1; 1; 1; 21/20; 19/20; 1; 1; 1; 19/20; 1; 1; 19/20; 21/20; 21/20; 1; 1; 21/20; 19/20; 21/20; 68/67; 19/20; 21/20; 1; 1; 19/20; ; 1; 20/21; 1
Draw; 13/5; 5/2; 12/5; 5/2; 5/2; 9/4; 12/5; 12/5; 5/2; 12/5; 23/10; 47/20; 12/5; 13/5; 12/5; 5/2; 12/5; 27/11; 62/25; 5/2; 5/2; 5/2; 13/5; 49/20; 27/11; ; 5/2; 23/10; 13/5
Colchester; 3; 13/5; 11/4; 5/2; 11/4; 23/10; 11/4; 13/5; 11/4; 11/4; 14/5; 13/5; 12/5; 29/10; 11/4; 13/5; 5/2; 11/4; 149/50; 27/11; 11/4; 13/5; 27/10; 53/20; 14/5; ; 27/10; 13/5; 14/5
