META; english/league-2/lincoln-v-swindon; 2018-01-30 12:20:25 GMT+2; 2018-02-03 15:00; e70300-dr003
Lincoln; 1; 21/20; ; 19/20; 27/25; 21/20; 1; 1; 1; ; 1; 1; ; 1; 1; ; 1; 1; 1; ; 1; 1; 1; 1; 1; ; 11/10; ; 
Draw; 5/2; 5/2; ; 12/5; 13/5; 13/5; 12/5; 12/5; 27/11; ; 5/2; 12/5; ; 12/5; 12/5; ; 12/5; 12/5; 12/5; ; 27/11; 5/2; 5/2; 5/2; 27/11; ; 23/10; ; 
Swindon; 13/5; 5/2; ; 5/2; 11/4; 3; 13/5; 11/4; 45/17; ; 13/5; 13/5; ; 5/2; 11/4; ; 13/5; 28/11; 13/5; ; 45/17; 13/5; 11/4; 13/5; 13/5; ; 11/4; ; 
