META; english/league-2/luton-v-crewe; 2018-04-10 08:20:07 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 4/9; 8/15; 1/2; 1/2; 13/25; 40/85; 7/15; 2/5; 5/12; 1/2; 1/2; 1/2; 1/2; 8/15; 1/2; 5/11; 5/11; 5/11; 5/12; 8/15; 5/11; 4/9; 8/15
Draw; 10/3; 16/5; 13/4; 16/5; 18/5; 7/2; 10/3; 16/5; 17/5; 16/5; 10/3; 16/5; 16/5; 7/2; 10/3; 16/5; 13/4; 17/5; 17/5; 17/5; 13/4; 2; 7/2
Crewe; 6; 5; 9/2; 57/10; 6; 11/2; 5; 5; 11/2; 5; 5; 51/10; 6; 22/5; 6; 67/13; 3; 28/5; ; ; ; ; 
META; english/league-2/luton-v-crewe; 2018-04-11 12:57:02 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 1/2; 1/2; 1/2; 49/100; 4/9; 7/15; 2/5; 5/12; 1/2; 9/20; 4/9; 1/2; 4/9; 4/9; 5/11; 5/11; 5/12; 1/2; 4/9; 4/9; 4/9; 4/9; 4/9
Draw; 10/3; 10/3; 16/5; 37/10; 18/5; 10/3; 7/2; 17/5; 17/5; 7/2; 7/2; 7/2; 7/2; 33/10; 13/4; 17/5; 17/5; 7/2; 33/10; 10/3; 3; 14/5; 7/2
Crewe; 5; 11/2; 9/2; 61/10; 6; 11/2; 11/2; 6; 11/2; 11/2; 5; 11/2; 11/2; 61/11; 6; 22/5; 6; 21/4; 28/5; 11/2; 26/5; 24/5; 6
META; english/league-2/luton-v-crewe; 2018-04-11 20:21:07 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 1/2; 4/9; 4/9; 9/20; 4/9; 2/5; 2/5; 5/12; 4/9; 9/20; 4/9; 1/2; 1/2; 4/9; 5/12; 5/11; 5/11; 5/12; 1/2; 3/7; 2/5; 4/9; 2/5; 2/5; 2/5
Draw; 10/3; 17/5; 10/3; 19/5; 18/5; 7/2; 7/2; 17/5; 17/5; 7/2; 10/3; 16/5; 7/2; 7/2; 38/11; 13/4; 17/5; 17/5; 7/2; 7/2; 7/2; 3; 7/2; 7/2; 
Crewe; 5; 11/2; 5; 34/5; 6; 11/2; 6; 6; 11/2; 5; 11/2; 11/2; 6; 22/5; 6; 21/4; 25/4; 6; 26/5; 5; 33/5; 34/5; ; ; 
META; english/league-2/luton-v-crewe; 2018-04-12 10:48:12 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 4/9; 4/9; 4/9; 9/20; 4/9; 2/5; 2/5; 5/12; 4/9; 9/20; 4/9; 1/2; 19/40; 4/9; 5/12; 5/11; 5/11; 5/12; 1/2; 5/12; 2/5; 4/9; 2/5; 2/5; 4/9
Draw; 18/5; 17/5; 10/3; 19/5; 18/5; 7/2; 7/2; 17/5; 17/5; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 13/4; 17/5; 17/5; 18/5; 39/11; 7/2; 3; 7/2; 7/2; 
Crewe; 11/2; 11/2; 5; 34/5; 13/2; 6; 6; 6; 11/2; 5; 23/4; 6; 25/4; 6; 22/5; 6; 21/4; 25/4; 6; 28/5; 5; 33/5; 34/5; ; 
META; english/league-2/luton-v-crewe; 2018-04-13 08:18:59 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 1/2; 4/9; 12/25; 4/9; 4/9; 2/5; 5/12; 4/9; 9/20; 4/9; 1/2; 19/40; 4/9; 4/9; 5/11; 5/11; 5/12; 9/20; 5/11; 4/9; 4/9; 4/9; 
Draw; 7/2; 10/3; 17/5; 10/3; 77/20; 18/5; 7/2; 7/2; 17/5; 17/5; 7/2; 10/3; 16/5; 7/2; 7/2; 7/2; 13/4; 62/17; 17/5; 18/5; 39/11; 7/2; 7/2
Crewe; 13/2; 6; 6; 13/2; 11/2; 6; 6; 11/2; 5; 23/4; 6; 11/2; 6; 6; 61/11; 11/2; 23/5; 6; ; ; ; ; 
META; english/league-2/luton-v-crewe; 2018-04-13 16:19:36 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 4/9; 2/5; 2/5; 4/9; 2/5; 2/5; 4/11; 2/5; 5/12; 2/5; 2/5; 2/5; 1/2; 2/5; 2/5; 5/12; 2/5; 3/7; 5/12; 9/20; 5/12; 4/11; 2/5; 2/5; 2/5; 2/5
Draw; 15/4; 18/5; 18/5; 10/3; 43/10; 15/4; 15/4; 7/2; 17/5; 18/5; 18/5; 10/3; 16/5; 15/4; 7/2; 39/11; 17/5; 37/10; 17/5; 19/5; 18/5; 4; 7/2; 7/2; 4; 21/5
Crewe; 15/2; 13/2; 13/2; 6; 71/10; 7; 13/2; 13/2; 6; 13/2; 13/2; 13/2; 5; 13/2; 6; 53/10; 6; 6; 13/2; 31/5; 26/5; 7; ; ; ; 
META; english/league-2/luton-v-crewe; 2018-04-14 12:21:40 GMT+3; 2018-04-14 15:00; e70300-dr003
Luton; 4/9; 2/5; 4/9; 4/9; 12/25; 2/5; 4/9; 4/11; 2/5; 4/9; 2/5; 4/9; 4/9; 9/20; 2/5; 5/12; 5/12; 7/17; 2/5; 9/20; 3/7; 40/85; 4/9; 4/9; 4/9; 4/9
Draw; 15/4; 18/5; 17/5; 10/3; 4; 15/4; 15/4; 7/2; 18/5; 7/2; 18/5; 10/3; 15/4; 15/4; 7/2; 39/11; 10/3; 39/11; 18/5; 15/4; 18/5; 15/4; 7/2; 7/2; 7/2; 7/2
Crewe; 15/2; 13/2; 6; 57/10; 7; 7; 6; 13/2; 6; 6; 13/2; 6; 13/2; 59/10; 6; 5; 32/5; 31/5; 31/5; 34/5; ; ; ; ; ; 
