META; english/league-2/yeovil-v-forest-green; 2018-03-26 12:20:28 GMT+3; 2018-03-30 15:00; e70300-dr003
Yeovil; 13/10; 11/8; 13/10; 13/10; 71/50; 13/10; 13/10; 13/10; 13/10; 11/8; 11/8; 11/8; 13/10; 13/10; 11/8; 5/4; 5/4; 11/9; 13/10; 13/10; 13/10; 5/4; 1; 11/8
Forest Green; 2; 21/10; 2; 85/40; 2; 28/13; 2; 2; 2; 21/10; 2; 2; 11/6; 28/13; 21/10; 2; 13/8; 2; ; ; ; ; ; 
Draw; 12/5; 23/10; 9/4; 21/10; 121/50; 9/4; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; 11/5; 23/10; 23/10; 11/5; 12/5; 40/17; 11/5; 12/5; 23/10; 11/5; 19/10; 23/10
META; english/league-2/yeovil-v-forest-green; 2018-03-27 08:20:12 GMT+3; 2018-03-30 15:00; e70300-dr003
Yeovil; 6/5; 5/4; 5/4; 13/10; 32/25; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 7/5; 5/4; 13/10; 13/10; 6/5; 5/4; 17/14; 13/10; 5/4; 5/4; 5/4; 10/9; 6/5; 5/4; 5/4
Forest Green; 11/5; 9/4; 11/5; 2; 59/25; 9/4; 21/10; 21/10; 28/13; 11/5; 11/5; 11/5; 15/8; 43/20; 21/10; 21/10; 28/13; 2; 39/19; 28/13; 85/40; 21/10; 28/13; 1/50; 2; 9/4; 23/10
Draw; 12/5; 23/10; 9/4; 21/10; 49/20; 12/5; 9/4; 23/10; 11/5; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 5/2; 11/5; 5/2; 23/10; 9/4; 19/10; 2; 23/10; 12/5
META; english/league-2/yeovil-v-forest-green; 2018-03-28 08:21:01 GMT+3; 2018-03-30 15:00; e70300-dr003
Yeovil; 6/5; 5/4; 5/4; 13/10; 32/25; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 7/5; 5/4; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 10/9; 5/4; 5/4; 
Forest Green; 11/5; 9/4; 11/5; 2; 59/25; 9/4; 11/5; 21/10; 28/13; 11/5; 9/4; 11/5; 15/8; 21/10; 11/5; 11/5; 2; 28/13; 11/5; 21/10; 11/5; 2; 9/4; 23/10; ; 
Draw; 12/5; 23/10; 9/4; 21/10; 49/20; 12/5; 9/4; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 12/5; 12/5; 11/5; 12/5; 23/10; 23/10; 21/10; 23/10; 12/5
META; english/league-2/yeovil-v-forest-green; 2018-03-29 08:20:44 GMT+3; 2018-03-30 15:00; e70300-dr003
Yeovil; 13/10; 5/4; 5/4; 13/10; 129/100; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 7/5; 5/4; 13/10; 5/4; 5/4; 16/13; 13/10; 5/4; 5/4; 5/4; 6/5; 23/20; 5/4; 5/4; 
Forest Green; 23/10; 11/5; 11/5; 2; 47/20; 23/10; 21/10; 21/10; 28/13; 11/5; 9/4; 11/5; 15/8; 21/10; 11/5; 11/5; 28/13; 2; 28/13; 28/13; 85/40; 21/10; 11/5; 21/10; 21/10; 23/10; 23/10
Draw; 5/2; 23/10; 9/4; 21/10; 61/25; 12/5; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 23/10; 11/5; 12/5; 9/4; 23/10; 12/5; 23/10; 11/5; 5/2; 23/10; 23/10; 21/10; 21/10; 23/10; 12/5
