META; english/league-2/port-vale-v-exeter; 2018-02-12 20:51:42 GMT+2; 2018-02-13 19:45; e70300-dr003
Port Vale; 13/10; 13/10; 5/4; 5/4; 127/100; 13/10; 5/4; 13/10; 5/4; 5/4; 13/10; 6/5; 7/5; 6/5; 6/5; 5/4; 6/5; 23/17; 24/19; 5/4; 5/4; 13/10; 5/4; 6/5; ; 5/4; 6/5; 6/5
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 23/10; 11/5; 23/10; 23/10; 11/5; 9/4; 9/4; 9/4; ; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; ; 11/5; 2; 23/10
Exeter; 12/5; 21/10; 23/10; 11/5; 62/25; 11/5; 9/4; 2; 28/13; 23/10; 11/5; 23/10; 13/8; 11/5; 23/10; 11/5; 23/10; 2; 39/19; 28/13; 23/10; 23/10; 47/20; 40/17; ; 11/5; 11/5; 5/2
META; english/league-2/port-vale-v-exeter; 2018-02-13 10:12:52 GMT+2; 2018-02-13 19:45; e70300-dr003
Port Vale; 7/5; 11/8; 5/4; 5/4; 141/100; 7/5; 11/8; 11/8; 13/10; 7/5; 11/8; 11/8; 7/5; 11/8; 11/8; 13/10; 13/10; 5/4; 11/8; 13/10; 13/10; 29/20; 5/4; 13/10; ; 11/8; 11/8; 27/20
Exeter; 9/4; 2; 9/4; 11/5; 109/50; 21/10; 21/10; 2; 28/13; 21/10; 21/10; 21/10; 13/8; 39/20; 2; 21/10; 21/10; 11/5; 19/10; 28/13; 85/40; 2; 47/20; 28/13; ; 2; 21/10; 11/5
Draw; 23/10; 9/4; 21/10; 23/10; 119/50; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; 9/4; 9/4; ; 11/5; 9/4; 23/10
META; english/league-2/port-vale-v-exeter; 2018-03-18 14:19:13 GMT+2; 2018-03-20 19:45; e70300-dr003
Port Vale; 29/20; 7/5; 33/20; 79/50; 8/5; 6/4; 6/4; 33/20; 6/4; 31/20; 6/4; 6/4; 6/4; 16/11; 6/4; 25/18; 6/4; 29/20; 31/20; 16/11; 7/5; 6/4
Exeter; 9/5; 15/8; 7/4; 183/100; 9/5; 17/10; 17/10; 7/4; 9/5; 15/8; 9/5; 9/5; 7/4; 9/5; 17/10; 16/9; 17/10; 15/8; 17/10; 9/5; 13/8; 17/10
Draw; 12/5; 23/10; 21/10; 63/25; 23/10; 9/4; 27/11; 21/10; 23/10; 11/5; 41/20; 23/10; 23/10; 40/17; 23/10; 23/10; 27/11; 12/5; 9/4; 40/17; 21/10; 6/5
META; english/league-2/port-vale-v-exeter; 2018-03-19 08:17:54 GMT+2; 2018-03-20 19:45; e70300-dr003
Port Vale; 13/10; 13/10; 13/10; 13/10; 11/8; 7/5; 13/10; 5/4; 27/20; 13/10; 13/10; 13/10; 11/8; 5/4; 13/10; 23/17; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 27/20; 13/10; 13/10; 
Exeter; 12/5; 9/4; 11/5; 11/5; 59/25; 9/4; 21/10; 28/13; 11/5; 11/5; 9/4; 19/10; 21/10; 9/4; 11/5; 11/5; 37/19; 79/40; 28/13; 11/5; 11/5; 9/4; 9/4; 9/4; 9/4; 23/10
Draw; 12/5; 21/10; 21/10; 11/5; 113/50; 11/5; 9/4; 21/10; 11/5; 21/10; 12/5; 11/5; 21/10; 28/13; 23/10; 40/17; 9/4; 12/5; 11/5; 28/13; 11/5; 21/10; 21/10; 9/4; ; 
META; english/league-2/port-vale-v-exeter; 2018-03-20 08:18:52 GMT+2; 2018-03-20 19:45; e70300-dr003
Port Vale; 13/10; 13/10; 13/10; 13/10; 11/8; 11/8; 13/10; 13/10; 13/10; 27/20; 13/10; 13/10; 13/10; 5/4; 11/8; 5/4; 5/4; 5/4; 24/19; 13/10; 13/10; 13/10; 13/10; 13/10; 27/20; 11/8; 11/8
Draw; 12/5; 11/5; 21/10; 11/5; 113/50; 23/10; 11/5; 21/10; 28/13; 21/10; 11/5; 21/10; 11/5; 11/5; 21/10; 28/13; 21/10; 9/4; 28/13; 12/5; 9/4; 11/5; 9/4; 21/10; 11/5; 23/10; 
Exeter; 12/5; 11/5; 11/5; 11/5; 59/25; 12/5; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 11/5; 43/20; 9/4; 11/5; 11/5; 9/4; 28/13; 11/5; 9/4; 9/4; 9/4; 9/4; 11/5; 23/10; 23/10
