META; english/league-2/crewe-v-cheltenham; 2018-04-30 14:37:00 GMT+3; 2018-05-05 15:00; e70300-dr003
Crewe; 6/4; 13/8; 157/00; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 31/20; 16/11; 7/5; 6/4
Cheltenham; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; 6/4; 6/4; 
Draw; 13/5; 23/10; 67/25; 27/10; 5/2; 5/2; 45/17; 23/10; 13/5; 12/5; 13/5; 5/2; 5/2; 5/2; 45/17; 13/5; 28/11; 5/2; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-05-01 12:17:02 GMT+3; 2018-05-05 15:00; e70300-dr003
Crewe; 6/4; 13/8; 157/00; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 16/11; 6/4; 6/4; 31/20; 16/11; 7/5; 6/4
Cheltenham; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 6/4; 31/20; 8/5; 13/8; 8/5; 17/11; 8/5; 8/5; 13/8; 6/4; 6/4; 
Draw; 13/5; 23/10; 67/25; 27/10; 5/2; 5/2; 45/17; 12/5; 13/5; 12/5; 13/5; 5/2; 5/2; 5/2; 45/17; 13/5; 28/11; 12/5; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-05-02 11:08:03 GMT+3; 2018-05-05 15:00; e70300-dr003
Crewe; 6/4; 6/4; 7/5; 157/00; 31/20; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 8/5; 6/4; 16/11; 6/4; 6/4; 6/4; 6/4; 7/5; 7/5; 6/4
Cheltenham; 8/5; 13/8; 17/10; 13/8; 17/10; 13/8; 8/5; 8/5; 8/5; 31/20; 8/5; 13/8; 17/10; 17/11; 8/5; 8/5; 17/10; 8/5; 6/4; 6/4; 6/4
Draw; 13/5; 5/2; 9/4; 67/25; 13/5; 5/2; 5/2; 45/17; 23/10; 13/5; 12/5; 13/5; 5/2; 28/11; 5/2; 45/17; 13/5; 28/11; 23/10; 12/5; 5/2
META; english/league-2/crewe-v-cheltenham; 2018-05-03 12:44:06 GMT+3; 2018-05-05 15:00; e70300-dr003
Crewe; 13/10; 6/4; 11/8; 7/5; 69/50; 6/4; 7/5; 7/5; 4/3; 7/5; 11/8; 7/5; 11/8; 27/20; 6/4; 7/5; 23/17; 6/4; 24/19; 4/3; 11/8; 23/17; 7/5; 7/5; 7/5
Cheltenham; 9/5; 13/8; 7/4; 17/10; 179/00; 7/4; 7/4; 13/8; 7/4; 9/5; 13/8; 9/5; 7/4; 7/4; 7/4; 7/4; 9/5; 8/5; 8/5; 7/4; 7/4; 9/5; 13/8; 13/8; 17/10
Draw; 13/5; 5/2; 5/2; 9/4; 14/5; 13/5; 5/2; 5/2; 45/17; 13/5; 12/5; 5/2; 11/4; 49/20; 13/5; 13/5; 28/11; 5/2; 27/10; 45/17; 27/10; 13/5; 5/2; 5/2; 5/2
META; english/league-2/crewe-v-cheltenham; 2018-05-05 12:18:38 GMT+3; 2018-05-05 15:00; e70300-dr003
Cheltenham; 29/20; 7/5; 7/5; 7/5; 139/00; 7/5; 11/8; 13/10; 7/5; 7/5; 11/8; 29/20; 11/8; 13/10; 13/10; 7/5; 13/10; 7/5; 4/3; 7/5; 11/8; 23/17; 5/4; 5/4; 11/8; 13/10; 7/5
Crewe; 15/8; 9/5; 9/5; 17/10; 9/5; 15/8; 7/4; 9/5; 7/4; 15/8; 7/4; 19/10; 15/8; 37/20; 19/10; 9/5; 24/13; 17/10; 16/9; 7/4; 15/8; 9/5; 9/5; 15/8; 9/5; 19/10; 17/10
Draw; 11/4; 5/2; 13/5; 69/25; 27/10; 13/5; 13/5; 28/11; 12/5; 13/5; 11/5; 5/2; 47/20; 14/5; 5/2; 13/5; 5/2; 28/11; 28/11; 11/4; 45/17; 13/5; 5/2; 13/5; 14/5; ; 
