META; english/league-2/accrington-v-carlisle; 2017-09-04 20:19:38 GMT+3; 2017-09-09 15:00; e70300-dr003
Accrington; 11/10; 6/5; 23/20; 6/5; 6/5; 21/20; 6/5; 11/10; 11/10; 15/13; 11/10; 23/20; 11/10; 23/20; 11/10; 15/13; ; 11/10; 11/10; 6/5; 15/14; 11/10; 5/4; 11/10; 11/10; ; 11/10; 10/9; 
Carlisle; 23/10; 21/10; 43/20; 21/10; 23/10; 41/20; 9/4; 23/10; 40/17; 21/10; 21/10; 11/5; 9/4; 23/10; 9/4; 9/4; ; 23/10; 11/5; 59/25; 2; 40/17; 21/10; 23/10; 9/4; ; 23/10; 11/5; 
Draw; 5/2; 5/2; 47/20; 5/2; 5/2; 12/5; 5/2; 5/2; 27/11; 12/5; 23/10; 5/2; 51/20; 13/5; 13/5; 5/2; ; 12/5; 27/11; 133/50; 5/2; 27/11; 23/10; 5/2; 5/2; ; 23/10; 23/10; 
META; english/league-2/accrington-v-carlisle; 2017-09-07 19:21:23 GMT+3; 2017-09-09 15:00; e70300-dr003
Accrington; 11/10; 6/5; 23/20; 6/5; 6/5; 21/20; 6/5; 11/10; 11/10; 6/5; 6/5; 23/20; 11/10; 6/5; 11/10; 15/13; ; 11/10; 15/13; 61/50; 8/7; 11/10; 5/4; 6/5; 11/10; ; 23/20; 10/9; 6/5
Carlisle; 23/10; 21/10; 21/10; 21/10; 9/4; 41/20; 11/5; 11/5; 40/17; 11/5; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; ; 23/10; 11/5; 58/25; 21/10; 40/17; 21/10; 11/5; 9/4; ; 23/10; 19/10; 23/10
Draw; 5/2; 13/5; 47/20; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; ; 5/2; 5/2; 51/20; 13/5; 13/5; 5/2; ; 12/5; 27/11; 133/50; 13/5; 27/11; 23/10; 5/2; 5/2; ; 12/5; 21/10; 13/5
META; english/league-2/accrington-v-carlisle; 2017-09-08 10:16:17 GMT+3; 2017-09-09 15:00; e70300-dr003
Accrington; 6/5; 5/4; 23/20; 6/5; 6/5; 21/20; 6/5; 11/10; 11/10; 6/5; 6/5; 23/20; 6/5; 23/20; 11/10; 6/5; ; 11/10; 15/13; 61/50; 8/7; 11/10; 6/5; 6/5; 11/10; ; 23/20; 23/20; 6/5
Carlisle; 12/5; 2; 21/10; 21/10; 9/4; 41/20; 11/5; 9/4; 40/17; 11/5; 11/5; 11/5; 11/5; 23/10; 9/4; 28/13; ; 23/10; 11/5; 58/25; 21/10; 40/17; 21/10; 11/5; 9/4; ; 23/10; 21/10; 23/10
Draw; 13/5; 13/5; 47/20; 5/2; 5/2; 12/5; 13/5; 5/2; 27/11; ; 5/2; 5/2; 51/20; 13/5; 13/5; 5/2; ; 12/5; 27/11; 133/50; 13/5; 27/11; 5/2; 5/2; 5/2; ; 12/5; 23/10; 13/5
