META; english/league-2/carlisle-v-newport-county; 2018-04-30 14:36:57 GMT+3; 2018-05-05 15:00; e70300-dr003
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 12:16:59 GMT+3; 2018-05-05 15:00; e70300-dr003
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-02 11:07:59 GMT+3; 2018-05-05 15:00; e70300-dr003
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-03 12:43:59 GMT+3; 2018-05-05 15:00; e70300-dr003
Carlisle; 13/10; 11/10; 27/20; 23/20; 27/20; 13/10; 13/10; 5/4; 23/18; 27/20; 5/4; 13/10; 13/10; 13/10; 23/20; 5/4; 7/5; 5/4; 16/13; 23/18; 11/8; 7/5; 6/5; 6/5; 5/4
Newport County; 21/10; 12/5; 2; 21/10; 51/25; 21/10; 2; 39/19; 2; 19/10; 21/10; 15/8; 39/20; 15/8; 21/10; 24/13; 2; 9/5; 39/19; 2; 24/13; 19/10; 19/10; 9/5; 
Draw; 23/10; 12/5; 9/4; 12/5; 62/25; 12/5; 23/10; 23/10; 40/17; 23/10; 11/5; 9/4; 5/2; 11/5; 9/4; 12/5; 40/17; 12/5; 12/5; 40/17; 12/5; 40/17; 23/10; 23/10; 23/10
META; english/league-2/carlisle-v-newport-county; 2018-05-05 12:18:31 GMT+3; 2018-05-05 15:00; e70300-dr003
Carlisle; 23/20; 23/20; 23/20; 11/10; 109/00; 23/20; 11/10; 11/10; 8/7; 23/20; 11/10; 23/20; 23/20; 23/20; 1; 11/10; 11/10; 11/10; 9/8; 8/7; 6/5; 11/10; 21/20; 10/9; 10/9; 21/20; 23/20
Draw; 5/2; 12/5; 23/10; 12/5; 129/0; 5/2; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 9/4; 9/4; 12/5; 27/11; 12/5; 5/2; 5/2; 5/2; 27/11; 12/5; 23/10; 12/5; 5/2; 5/2
Newport County; 13/5; 23/10; 23/10; 12/5; 63/25; 12/5; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 23/10; 9/4; 11/5; 12/5; 12/5; 23/10; 11/5; 9/4; 12/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2
