META; english/league-2/crawley-v-cheltenham; 2018-03-19 08:18:06 GMT+2; 2018-03-24 15:00; e70300-dr003
Crawley; 6/4; 8/5; 41/25; 13/8; 6/4; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 6/4
Cheltenham; 9/5; 7/4; 191/100; 9/5; 9/5; 17/10; 9/5; 9/5; 9/5; 7/4; 9/5; 7/4; 9/5; 32/19; 9/5; 9/5; 9/5; 9/5; 13/8; 7/4
Draw; 9/4; 11/5; 23/10; 9/4; 21/10; 21/10; 9/4; 23/10; 21/10; 43/20; 11/5; 21/10; 11/5; 9/4; 9/4; 23/10; 11/5; 21/10; 2; 
META; english/league-2/crawley-v-cheltenham; 2018-03-20 08:19:05 GMT+2; 2018-03-24 15:00; e70300-dr003
Crawley; 6/4; 13/8; 8/5; 167/100; 13/8; 8/5; 6/4; 6/4; 13/8; 13/8; 7/4; 31/20; 6/4; 8/5; 6/4; 6/4; 32/21; 6/4; 13/8; 31/20; 17/11; 6/4; 6/4; 13/8; 13/8
Cheltenham; 9/5; 17/10; 7/4; 181/100; 9/5; 17/10; 17/10; 9/5; 7/4; 7/4; 6/4; 33/20; 8/5; 17/10; 17/10; 9/5; 13/8; 9/5; 7/4; 7/4; 7/4; 13/8; 13/8; 7/4; 7/4
Draw; 9/4; 9/4; 11/5; 119/50; 9/4; 11/5; 21/10; 9/4; 11/5; 21/10; 9/4; 43/20; 2; 11/5; 21/10; 11/5; 23/10; 9/4; 23/10; 11/5; 28/13; 2; 19/10; 23/10; 23/10
META; english/league-2/crawley-v-cheltenham; 2018-03-21 14:19:38 GMT+2; 2018-03-24 15:00; e70300-dr003
Cheltenham; 13/8; 17/10; 7/4; 42/25; 7/4; 13/8; 17/10; 9/5; 17/10; 13/8; 6/4; 13/8; 6/4; 17/10; 8/5; 9/5; 27/17; 9/5; 7/4; 8/5; 28/17; 13/8; 6/4; 13/8; 13/8
Crawley; 13/8; 13/8; 8/5; 91/50; 13/8; 17/10; 8/5; 6/4; 17/10; 17/10; 7/4; 13/8; 6/4; 8/5; 28/17; 6/4; 17/11; 6/4; 13/8; 17/10; 28/17; 6/4; 8/5; 7/4; 7/4
Draw; 9/4; 9/4; 11/5; 59/25; 9/4; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 43/20; 2; 9/4; 28/13; 11/5; 23/10; 9/4; 23/10; 11/5; 11/5; 2; 19/10; 23/10; 23/10
META; english/league-2/crawley-v-cheltenham; 2018-03-22 12:38:27 GMT+2; 2018-03-24 15:00; e70300-dr003
Cheltenham; 13/8; 13/8; 13/8; 17/10; 42/25; 7/4; 8/5; 13/8; 8/5; 13/8; 8/5; 6/4; 8/5; 6/4; 8/5; 28/17; 8/5; 17/11; 8/5; 7/4; 8/5; 8/5; 13/8; 6/4; 13/8; 7/4
Crawley; 13/8; 13/8; 17/10; 13/8; 91/50; 17/10; 17/10; 8/5; 17/10; 17/10; 17/10; 7/4; 33/20; 6/4; 17/10; 28/17; 17/10; 19/12; 17/10; 7/4; 17/10; 17/10; 6/4; 13/8; 7/4; 
Draw; 9/4; 9/4; 11/5; 9/4; 59/25; 5/2; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 21/10; 2; 9/4; 11/5; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 19/10; 23/10; 
META; english/league-2/crawley-v-cheltenham; 2018-03-23 14:45:13 GMT+2; 2018-03-24 15:00; e70300-dr003
Cheltenham; 29/20; 11/8; 27/20; 6/4; 167/00; 29/20; 11/8; 7/5; 16/11; 27/20; 7/5; 11/8; 6/4; 27/20; 5/4; 7/5; 23/17; 23/17; 39/29; 16/11; 7/4; 7/5; 7/5; 7/5; 7/5; 7/5; 7/5
Crawley; 21/10; 2; 19/10; 181/00; 21/10; 2; 15/8; 15/8; 27/20; 2; 7/4; 39/20; 9/5; 19/10; 2; 23/12; 15/8; 13/8; 2; 19/10; 19/10; 2; ; ; ; ; 
Draw; 12/5; 23/10; 11/5; 119/0; 12/5; 11/5; 23/10; 9/4; 15/8; 23/10; 23/10; 9/4; 43/20; 21/10; 9/4; 9/4; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 12/5; 
