META; english/league-2/crawley-v-morecambe; 2018-03-05 20:19:56 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 1; 11/10; 11/10; 21/20; 21/20; 10/11; 21/20; 21/20; 1; 21/20; 6/5; 21/20; 21/20; 1; 21/20; 30/29; 21/20; 11/10; 1; 20/21; ; ; 
Draw; 12/5; 23/10; 11/5; 9/4; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 28/13; 23/10; 12/5; 23/10; 23/10; 9/4
Morecambe; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 27/10; 13/5; 11/4; 13/5; 11/5; 13/5; 13/5; 13/5; 28/11; 13/5; 12/5; 27/10; 13/5; 11/4; 28/11; 5/2
META; english/league-2/crawley-v-morecambe; 2018-03-06 15:06:03 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 1; 21/20; 11/10; 11/10; 109/00; 21/20; 21/20; 10/11; 21/20; 21/20; 1; 21/20; 6/5; 21/20; 21/20; 21/20; 1; 21/20; 30/29; 21/20; 1; 20/21; 
Draw; 12/5; 23/10; 11/5; 9/4; 62/25; 5/2; 23/10; 23/10; 23/10; 11/5; 12/5; 23/10; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 28/13; 23/10; 23/10; 23/10; 9/4
Morecambe; 11/4; 11/4; 27/10; 13/5; 71/25; 11/4; 13/5; 13/5; 27/10; 13/5; 11/4; 13/5; 11/5; 13/5; 13/5; 13/5; 28/11; 13/5; 12/5; 27/10; 11/4; 28/11; 5/2
META; english/league-2/crawley-v-morecambe; 2018-03-08 10:16:59 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 1; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 10/11; 21/20; 11/10; 21/20; 21/20; 6/5; 21/20; 21/20; 21/20; 21/20; 21/20; 30/29; 21/20; 11/10; 1; 21/20; 20/21; 21/20; 21/20
Draw; 12/5; 23/10; 11/5; 9/4; 62/25; 5/2; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 43/20; 12/5; 9/4; 40/17; 23/10; 28/13; 23/10; 12/5; 23/10; 40/17; 9/4; 12/5; 12/5
Morecambe; 11/4; 11/4; 27/10; 13/5; 141/50; 11/4; 13/5; 13/5; 27/10; 27/10; 11/4; 13/5; 11/5; 13/5; 13/5; 13/5; 45/17; 13/5; 12/5; 27/10; 13/5; 11/4; 27/10; 5/2; 11/4; 11/4
META; english/league-2/crawley-v-morecambe; 2018-03-08 12:20:31 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 1; 21/20; 11/10; 11/10; 27/25; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 6/5; 21/20; 21/20; 21/20; 21/20; 21/20; 30/29; 21/20; 11/10; 1; 21/20; 20/21; 1; 21/20; 21/20
Draw; 12/5; 23/10; 9/4; 9/4; 127/0; 13/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 40/17; 23/10; 28/13; 23/10; 12/5; 23/10; 12/5; 9/4; 11/5; 12/5; 5/2
Morecambe; 11/4; 11/4; 13/5; 13/5; 141/0; 29/10; 13/5; 13/5; 27/10; 13/5; 13/5; 11/4; 11/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 27/10; 13/5; 11/4; 45/17; 5/2; 9/4; 27/10; 27/10
META; english/league-2/crawley-v-morecambe; 2018-03-09 12:19:42 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 11/10; 21/20; 21/20; 11/10; 11/10; 11/10; 21/20; 1; 21/20; 11/10; 21/20; 21/20; 6/5; 21/20; 21/20; 21/20; 21/20; 21/20; 17/16; 21/20; 1; 1; 21/20; 21/20; 
Draw; 5/2; 12/5; 9/4; 9/4; 123/50; 13/5; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 12/5; 23/10; 40/17; 23/10; 40/17; 23/10; 23/10; 12/5; 12/5; 12/5; 
Morecambe; 11/4; 13/5; 13/5; 13/5; 71/25; 29/10; 13/5; 13/5; 27/10; 27/10; 13/5; 13/5; 11/5; 13/5; 13/5; 13/5; 13/5; 13/5; 5/2; 27/10; 11/4; 5/2; 5/2; 11/4; 11/4
META; english/league-2/crawley-v-morecambe; 2018-03-10 12:20:19 GMT+2; 2018-03-10 15:00; e70300-dr003
Crawley; 11/10; 1; 21/20; 11/10; 27/25; 11/10; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 15/14; 21/20; 11/10; 1; 21/20; 21/20; 21/20; 21/20; 21/20
Draw; 5/2; 12/5; 9/4; 12/5; 5/2; 13/5; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 11/5; 12/5; 23/10; 40/17; 23/10; 12/5; 23/10; 5/2; 23/10; 12/5; 23/10; 12/5; 12/5; 12/5
Morecambe; 11/4; 14/5; 27/10; 12/5; 143/0; 29/10; 13/5; 13/5; 27/10; 27/10; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 13/5; 12/5; 27/10; 27/10; 11/4; 45/17; 14/5; 14/5; 14/5; 14/5
