META; english/league-2/stevenage-v-chesterfield; 2017-12-20 12:18:04 GMT+2; 2017-12-23 15:00; e70300-dr003
Stevenage; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 8/7; 13/10; 5/4; 5/4; 7/5; 5/4; 13/10; 5/4; 5/4; 5/4; 11/8; 16/13; 8/7; 13/10; 5/4; 5/4; 5/4; ; 6/5; 6/5; 27/20
Chesterfield; 11/5; 9/4; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 9/4; 7/4; 21/10; 21/10; 11/5; 21/10; 28/13; 56/25; 20/11; 9/4; 85/40; 11/5; 21/10; 28/13; ; 2; 19/10; 11/5
Draw ; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 9/4; 23/10; 27/11; 11/5; 23/10; 11/5; 23/10; 43/20; 23/10; 23/10; 23/10; 23/10; 119/ 50; 40/17; 27/11; 23/10; 12/5; 9/4; 23/10; ; 21/10; 19/10; 23/10
