META; english/league-2/barnet-v-cambridge; 2017-09-04 20:19:40 GMT+3; 2017-09-09 15:00; e70300-dr003
Barnet; 13/10; 7/5; 27/20; 29/20; 7/5; 13/10; 11/8; 13/10; 23/18; 23/17; 13/10; 11/8; 11/8; 11/8; 7/5; 11/8; ; 5/4; 13/10; 141/100; 23/18; 23/18; 29/20; 7/5; 11/8; ; 13/10; 27/20; 
Cambridge; 19/10; 19/10; 19/10; 19/10; 2; ; 19/10; 15/8; 37/19; 19/10; 15/8; 2; 19/10; 2; 19/10; 2; ; 19/10; 37/19; 85/40; 19/11; 37/19; ; 2; 15/8; ; 19/10; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 11/5; 5/2; 12/5; 27/11; 11/5; 21/10; 9/4; 47/20; 12/5; 23/10; 23/10; ; 12/5; 9/4; 61/25; 12/5; 27/11; 23/10; 23/10; 9/4; ; 11/5; 21/10; 
META; english/league-2/barnet-v-cambridge; 2017-09-07 19:21:26 GMT+3; 2017-09-09 15:00; e70300-dr003
Barnet; 11/8; 6/4; 29/20; 29/20; 6/4; 11/8; 29/20; 7/5; 23/18; 6/4; 6/4; 6/4; 11/8; 7/5; 6/4; 16/11; ; 5/4; 16/11; 39/25; 16/11; 23/18; 29/20; 6/4; 7/5; ; 7/5; 7/5; 6/4
Cambridge; 9/5; 7/4; 9/5; 19/10; 15/8; ; 9/5; 15/8; 37/19; 28/15; 15/8; 15/8; 19/10; 19/10; 9/5; 15/8; ; 19/10; 24/13; 193/100; 7/4; 37/19; ; 15/8; 15/8; ; 9/5; 17/10; 19/10
Draw; 5/2; 23/10; 43/20; 9/4; 12/5; 43/20; 5/2; 23/10; 27/11; 21/10; 11/5; 9/4; 47/20; 12/5; 23/10; 23/10; ; 12/5; 23/10; 12/5; 12/5; 27/11; 23/10; 23/10; 9/4; ; 9/4; 19/10; 12/5
META; english/league-2/barnet-v-cambridge; 2017-09-08 10:16:20 GMT+3; 2017-09-09 15:00; e70300-dr003
Barnet; 13/10; 11/8; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 23/18; 13/10; 13/10; 5/4; 5/4; 13/10; 13/10; 13/10; ; 5/4; 5/4; 131/100; 5/4; 23/18; 13/10; 13/10; 5/4; ; 13/10; 6/5; 13/10
Cambridge; 9/4; 2; 21/10; 19/10; 11/5; ; 21/10; 21/10; 37/19; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 28/13; ; 19/10; 28/13; 47/20; 31/16; 37/19; ; 11/5; 9/4; ; 21/10; 2; 23/10
Draw; 5/2; 23/10; 11/5; 9/4; 12/5; 43/20; 5/2; 23/10; 27/11; 11/5; 11/5; 23/10; 47/20; 12/5; 23/10; 23/10; ; 12/5; 23/10; 12/5; 5/2; 27/11; 23/10; 23/10; 9/4; ; 9/4; 9/4; 12/5
