META; english/league-2/morecambe-v-carlisle; 2018-04-10 08:20:10 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 5/4; 13/10; 5/4; 11/8; 133/100; 13/10; 13/10; 6/5; 23/17; 5/4; 13/10; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 16/13; 23/17; 5/4; 5/4; 1; 13/10
Morecambe; 21/10; 21/10; 21/10; 9/5; 109/50; 21/10; 2; 15/8; 21/10; 21/10; 21/10; 2; 21/10; 19/10; 2; 2; 20/11; 15/8; 85/40; 2; 1/4; 21/10; ; 
Draw; 12/5; 23/10; 23/10; 11/5; 127/50; 12/5; 23/10; 23/10; 27/11; 23/10; 12/5; 9/4; 23/10; 9/4; 21/10; 12/5; 9/4; 12/5; 40/17; 27/11; 12/5; 23/10; 9/5; 5/2
META; english/league-2/morecambe-v-carlisle; 2018-04-11 12:57:05 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 13/10; 5/4; 6/5; 133/100; 13/10; 13/10; 6/5; 23/17; 5/4; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 5/4; 16/13; 23/17; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10
Morecambe; 21/10; 21/10; 21/10; 109/50; 21/10; 2; 15/8; 21/10; 21/10; 11/5; 21/10; 19/10; 21/10; 2; 20/11; 15/8; 85/40; 39/19; 2; 7/5; 21/10; 21/10; ; 
Draw; 23/10; 23/10; 11/5; 127/50; 12/5; 9/4; 23/10; 27/11; 23/10; 12/5; 11/5; 11/5; 21/10; 23/10; 23/10; 12/5; 40/17; 27/11; 12/5; 23/10; 12/5; 13/8; 19/10; 5/2
META; english/league-2/morecambe-v-carlisle; 2018-04-11 20:21:10 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 13/10; 5/4; 6/5; 34/25; 13/10; 13/10; 6/5; 23/17; 13/10; 13/10; 13/10; 23/20; 5/4; 23/20; 13/10; 13/10; 5/4; 16/13; 23/17; 5/4; 13/10; 5/4; 6/5; 6/5; 13/10; 13/10
Morecambe; 21/10; 11/5; 21/10; 111/0; 21/10; 21/10; 2; 15/8; 9/4; 21/10; 11/5; 9/4; 21/10; 2; 21/10; 21/10; 2; 24/13; 15/8; 11/5; 28/13; 21/10; 19/10; 21/10; 21/10; 11/5
Draw; 23/10; 11/5; 11/5; 61/25; 12/5; 9/4; 23/10; 27/11; 11/5; 12/5; 11/5; 23/10; 11/5; 21/10; 23/10; 9/4; 12/5; 40/17; 27/11; 12/5; 23/10; 9/4; 21/10; 19/10; 23/10; 12/5
META; english/league-2/morecambe-v-carlisle; 2018-04-12 10:48:15 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 13/10; 5/4; 6/5; 34/25; 13/10; 13/10; 5/4; 23/17; 13/10; 13/10; 13/10; 23/20; 5/4; 23/20; 13/10; 13/10; 5/4; 16/13; 23/17; 5/4; 13/10; 13/10; 6/5; 6/5; 13/10; 13/10
Morecambe; 21/10; 11/5; 21/10; 111/0; 11/5; 21/10; 2; 15/8; 9/4; 11/5; 11/5; 9/4; 21/10; 2; 21/10; 21/10; 2; 24/13; 15/8; 11/5; 21/10; 21/10; 19/10; 21/10; 21/10; 11/5
Draw; 23/10; 11/5; 11/5; 61/25; 12/5; 9/4; 23/10; 27/11; 11/5; 23/10; 11/5; 23/10; 11/5; 21/10; 23/10; 9/4; 12/5; 40/17; 27/11; 12/5; 23/10; 9/4; 21/10; 19/10; 23/10; 12/5
META; english/league-2/morecambe-v-carlisle; 2018-04-13 08:19:03 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 6/5; 11/10; 11/10; 21/20; 29/25; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 11/10; 9/8; 11/10; 11/10; 11/10; 21/20; 10/9; 23/20; 10/9
Draw; 5/2; 12/5; 9/4; 9/4; 5/2; 12/5; 23/10; 12/5; 27/11; 9/4; 12/5; 12/5; 23/10; 9/4; 21/10; 12/5; 40/17; 12/5; 40/17; 27/11; 5/2; 40/17; 12/5; 23/10; 12/5; 
Morecambe; 5/2; 5/2; 13/5; 12/5; 13/5; 5/2; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 9/4; 12/5; 11/5; 5/2; 5/2; 23/10; 23/10; 12/5; 5/2; 5/2; 5/2; 23/10; 13/5; 
META; english/league-2/morecambe-v-carlisle; 2018-04-13 16:19:39 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 6/5; 21/20; 11/10; 6/5; 57/50; 23/20; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 21/20; 11/10; 11/10; 11/10; 9/8; 11/10; 11/10; 15/13; 11/10; 10/9; 10/9; 10/9; 10/9
Draw; 5/2; 12/5; 9/4; 21/10; 63/25; 12/5; 23/10; 12/5; 27/11; 9/4; 23/10; 12/5; 23/10; 9/4; 21/10; 23/10; 9/4; 12/5; 40/17; 27/11; 5/2; 23/10; 12/5; 9/4; 23/10; 12/5; 5/2
Morecambe; 5/2; 13/5; 13/5; 5/2; 66/25; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 5/2; 9/4; 12/5; 11/5; 5/2; 5/2; 23/10; 23/10; 12/5; 13/5; 28/11; 5/2; 12/5; 5/2; 13/5; 13/5
META; english/league-2/morecambe-v-carlisle; 2018-04-14 12:21:44 GMT+3; 2018-04-14 15:00; e70300-dr003
Carlisle; 6/5; 6/5; 23/20; 6/5; 119/00; 6/5; 11/10; 11/10; 8/7; 6/5; 6/5; 5/4; 6/5; 23/20; 11/10; 11/10; 15/13; 11/10; 7/6; 8/7; 5/4; 6/5; 11/10; 23/20; 6/5; 10/9; 6/5
Morecambe; 5/2; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 40/17; 12/5; 12/5; 23/10; 23/10; 9/4; 21/10; 12/5; 40/17; 23/10; 23/10; 40/17; 23/10; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5
Draw; 5/2; 12/5; 11/5; 21/10; 63/25; 12/5; 23/10; 23/10; 40/17; 9/4; 23/10; 11/5; 23/10; 9/4; 21/10; 23/10; 9/4; 12/5; 23/10; 40/17; 5/2; 9/4; 12/5; 23/10; 12/5; 12/5; 12/5
