META; english/league-2/grimsby-v-chesterfield; 2018-04-03 18:20:34 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 11/10; 11/10; 23/20; 1; 123/100; 11/10; 11/10; 11/10; 11/10; 6/5; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 17/16; 11/10; 23/20; 11/10; 11/10; 1; 10/9; 6/5
Draw; 12/5; 23/10; 21/10; 11/5; 59/25; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 21/10; 2; 9/4; 11/5; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 21/10; 19/10; 23/10
Chesterfield; 12/5; 13/5; 5/2; 13/5; 129/50; 13/5; 12/5; 5/2; 27/11; 5/2; 5/2; 13/5; 5/2; 11/5; 13/5; 12/5; 23/10; 9/4; 27/11; 5/2; 5/2; 27/11; 23/10; 9/4; 5/2
META; english/league-2/grimsby-v-chesterfield; 2018-04-04 08:19:37 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 11/10; 11/10; 11/10; 1; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 1; 23/20; 
Draw; 12/5; 23/10; 11/5; 11/5; 59/25; 12/5; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 21/10; 2; 9/4; 9/4; 12/5; 9/4; 23/10; 12/5; 9/4; 9/4; 21/10; 2; 23/10
Chesterfield; 12/5; 13/5; 13/5; 13/5; 133/50; 13/5; 5/2; 5/2; 27/11; 13/5; 13/5; 13/5; 13/5; 11/5; 13/5; 5/2; 23/10; 9/4; 27/11; 13/5; 5/2; 5/2; 23/10; 23/10; 13/5
META; english/league-2/grimsby-v-chesterfield; 2018-04-04 18:21:03 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 11/10; 11/10; 11/10; 1; 6/5; 11/10; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 11/10; 11/10; 17/16; 11/10; 11/10; 11/10; 11/10; 11/10; 21/20; 23/20; 23/20
Draw; 12/5; 23/10; 11/5; 11/5; 117/0; 12/5; 11/5; 23/10; 23/10; 11/5; 21/10; 21/10; 2; 9/4; 9/4; 12/5; 9/4; 23/10; 12/5; 9/4; 23/10; 21/10; 9/4; 23/10; 23/10; 
Chesterfield; 12/5; 13/5; 13/5; 13/5; 67/25; 13/5; 5/2; 5/2; 27/11; 13/5; 5/2; 13/5; 13/5; 11/5; 13/5; 5/2; 23/10; 9/4; 27/11; 13/5; 5/2; 28/11; 5/2; 13/5; 13/5; 13/5
META; english/league-2/grimsby-v-chesterfield; 2018-04-05 13:14:33 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 11/10; 23/20; 6/5; 1; 123/100; 6/5; 11/10; 11/10; 11/10; 6/5; 6/5; 6/5; 6/5; 6/5; 11/10; 11/10; 15/13; 11/10; 22/19; 11/10; 6/5; 15/13; 11/10; 23/20; 23/20; 6/5
Draw; 12/5; 9/4; 21/10; 11/5; 117/50; 12/5; 11/5; 9/4; 23/10; 11/5; 9/4; 9/4; 21/10; 2; 23/10; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 21/10; 2; 23/10; 23/10; 
Chesterfield; 12/5; 5/2; 12/5; 13/5; 13/5; 5/2; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; 23/10; 47/20; 11/5; 12/5; 12/5; 23/10; 39/19; 27/11; 23/10; 27/11; 9/4; 11/5; 5/2; 13/5
META; english/league-2/grimsby-v-chesterfield; 2018-04-06 08:19:53 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 5/4; 6/5; 5/4; 23/20; 131/100; 6/5; 6/5; 11/10; 11/10; 5/4; 6/5; 5/4; 6/5; 23/20; 23/20; 6/5; 5/4; 11/10; 15/13; 11/10; 6/5; 5/4; 23/20; 6/5; 13/10; 13/10
Draw; 12/5; 23/10; 21/10; 11/5; 59/25; 12/5; 11/5; 9/4; 23/10; 11/5; 9/4; 23/10; 11/5; 21/10; 21/10; 23/10; 9/4; 12/5; 11/5; 23/10; 12/5; 9/4; 11/5; 2; 23/10; 23/10
Chesterfield; 5/2; 12/5; 23/10; 11/5; 119/50; 5/2; 9/4; 12/5; 27/11; 12/5; 12/5; 11/5; 12/5; 47/20; 2; 23/10; 9/4; 23/10; 12/5; 27/11; 23/10; 23/10; 23/10; 9/4; 9/4; 9/4
META; english/league-2/grimsby-v-chesterfield; 2018-04-07 12:21:00 GMT+3; 2018-04-07 15:00; e70300-dr003
Grimsby; 5/4; 5/4; 13/10; 13/10; 33/25; 5/4; 13/10; 6/5; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 23/20; 5/4; 5/4; 11/10; 16/13; 5/4; 13/10; 5/4; 13/10; 27/20; 13/10; 13/10
Draw; 12/5; 11/5; 21/10; 11/5; 58/25; 23/10; 11/5; 9/4; 39/19; 21/10; 9/4; 11/5; 11/5; 41/20; 21/10; 11/5; 11/5; 23/10; 11/5; 39/19; 12/5; 11/5; 21/10; 11/5; 9/4; 23/10
Chesterfield; 5/2; 23/10; 23/10; 11/5; 12/5; 12/5; 9/4; 23/10; 27/11; 23/10; 23/10; 23/10; 23/10; 9/4; 2; 23/10; 9/4; 12/5; 9/4; 27/11; 9/4; 9/4; 23/10; 12/5; 23/10; 23/10
