META; english/league-2/yeovil-v-exeter; 2017-12-20 12:18:06 GMT+2; 2017-12-23 15:00; e70300-dr003
Exeter; 21/20; 11/10; 15/13; 23/20; 11/10; 11/10; 11/10; 11/10; 15/13; 23/20; 11/10; 23/20; 1; 11/10; 23/20; 11/10; 11/10; 11/10; 117/ 100; 12/11; 15/13; 11/10; 11/10; 11/10; 11/10; ; ; 21/20; 23/20
Yeovil; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 23/10; 28/13; 12/5; 23/10; 12/5; 5/2; 47/20; 23/10; 12/5; 12/5; 40/17; 5/2; 39/19; 28/13; 12/5; 12/5; 47/20; 40/17; ; ; 11/5; 12/5
Draw; 13/5; 12/5; 23/10; 12/5; 23/10; 13/5; 12/5; 13/5; 28/11; 12/5; 5/2; 12/5; 12/5; 9/4; 12/5; 5/2; 23/10; 27/11; 129/ 50; 12/5; 28/11; 12/5; 13/5; 12/5; 5/2; ; ; 21/10; 5/2
