META; english/league-2/forest-green-v-crewe; 2017-11-17 16:11:09 GMT+2; 2017-11-18 15:00; e70300-dr003
Forest Green; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 5/4; 13/10; 23/18; 5/4; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 33/25; 11/10; 23/18; 5/4; 13/10; 5/4; 6/5; ; 5/4; 5/4; 13/10
Crewe; 9/4; 11/5; 11/5; 11/5; 19/10; 11/5; 21/10; 21/10; 37/19; 11/5; 11/5; 11/5; 9/4; 43/20; 21/10; 11/5; 2; 11/5; 56/25; 9/4; 37/19; 9/4; 11/5; 9/4; 9/4; ; 21/10; 21/10; 9/4
Draw; 5/2; 23/10; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 27/11; 23/10; 12/5; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 40/17; 5/2; 5/2; 27/11; 12/5; 5/2; 23/10; 40/17; ; 23/10; 11/5; 12/5
