META; english/league-2/luton-v-lincoln; 2017-12-31 12:17:31 GMT+2; 2018-01-01 15:00; e70300-dr003
Luton; 8/11; 7/10; 7/10; 8/11; 8/11; 7/10; 4/6; 8/13; 4/6; 7/10; 8/13; 7/10; 4/5; 7/10; 4/6; 7/10; 4/6; 9/13; 4/6; 7/10; 4/6; ; 7/10; 13/20; 9/13; ; 8/11; 4/6; 8/11
Draw; 3; 13/5; 13/5; 13/5; 72/25; 3; 11/4; 11/4; 27/10; 13/5; 3; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 27/10; 11/4; 27/10; 27/10; ; 3; 27/10; 11/4; ; 11/4; 5/2; 14/5
Lincoln; 4; 4; 4; 19/5; 43/10; 4; 4; 4; 41/10; 4; 4; 4; 3; 19/5; 17/4; 4; 4; 4; 4; 15/4; 41/10; ; 4; 17/4; 4; ; 7/2; 4; 21/5
