QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 00:22:55 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 11/5; 40/17; ; 23/10; 11/5; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 04:23:13 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 08:23:09 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 12:23:41 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; ; ; 13/8; 17/10; ; ; 13/8; 13/8; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; ; ; 13/8; 17/11; ; ; 6/4; 33/20; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; ; ; 23/10; 40/17; ; ; 11/5; 23/10; ; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 16:23:38 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 8/5; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 9/4; ; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 1/33; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-07 20:24:40 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 17/10; ; 13/8; 17/10; ; ; 13/8; 8/5; ; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 1/33; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; ; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 1/33; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; ; 11/5; 9/4; ; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 00:23:31 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 04:26:02 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 08:23:10 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 12:23:33 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; ; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; ; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; ; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 16:24:09 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 13/8; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-08 20:24:52 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 00:24:43 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 04:24:18 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 17/10; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 08:24:16 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 17/10; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 8/5; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 12:26:32 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 23/10; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 16:26:01 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; ; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
Sunderland; 17/10; 3/2; 17/10; ; ; ; 13/8; ; 13/8; 17/11; ; 13/8; 6/4; 8/5; 8/5; 6/4; 8/5; 17/11; 17/11; ; 6/4; 17/11; ; ; ; ; 6/4; ; 
Draw; 9/4; 11/5; 47/20; ; ; ; 12/5; ; 23/10; 40/17; ; 11/5; 11/5; 9/4; 23/10; 12/5; 9/4; 9/4; 40/17; ; 23/10; 9/4; ; ; ; ; 21/10; ; 
META; english/efl-cup/qpr-v-sunderland; 2016-09-09 20:27:03 GMT+3; 2016-09-21 19:45; e70300-dr003
QPR; 8/5; 8/5; 8/5; ; ; 31/20; 13/8; ; 13/8; 17/10; ; 31/20; 13/8; 8/5; 8/5; 13/8; 8/5; 8/5; 17/10; ; 17/10; 8/5; ; ; ; ; 6/4; ; 
