META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 00:20:24 GMT+3; 2016-08-09 19:45; e70300-dr003
Cardiff; 5/4; 5/4; 5/4; 13/10; ; 5/4; 13/10; 5/4; ; 5/4; 11/8; 13/10; ; 13/10; ; 5/4; 5/4; 5/4; 5/4; 5/4; ; 7/5; 5/4; ; 6/5; ; 
Bristol Rovers; 2; 19/10; 2; 2; ; 19/10; 2; 2; ; 2; 19/10; 19/10; ; 39/20; ; 21/10; 15/8; 2; 2; 2; ; 21/10; 24/13; ; 15/8; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; 23/10; ; 5/2; 23/10; 11/5; ; 47/20; ; 5/2; 12/5; 5/2; 12/5; 5/2; ; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 04:19:32 GMT+3; 2016-08-09 19:45; e70300-dr003
Cardiff; 5/4; 5/4; 5/4; 13/10; ; 5/4; 13/10; 5/4; ; 5/4; 11/8; 13/10; ; 13/10; ; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 7/5; 5/4; ; 6/5; ; 
Bristol Rovers; 2; 19/10; 2; 2; ; 19/10; 2; 2; ; 2; 19/10; 19/10; ; 39/20; ; 21/10; 15/8; 2; 2; 2; 19/10; 21/10; 24/13; ; 15/8; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; 23/10; ; 5/2; 23/10; 11/5; ; 47/20; ; 5/2; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 08:19:27 GMT+3; 2016-08-09 19:45; e70300-dr003
Cardiff; 5/4; 5/4; 5/4; 13/10; ; 5/4; 13/10; 5/4; ; 5/4; 11/8; 13/10; ; 13/10; ; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 7/5; 5/4; ; 6/5; ; 
Bristol Rovers; 2; 19/10; 2; 2; ; 19/10; 2; 2; ; 2; 19/10; 19/10; ; 39/20; ; 21/10; 15/8; 2; 2; 2; 19/10; 21/10; 24/13; ; 15/8; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; 23/10; ; 5/2; 23/10; 11/5; ; 47/20; ; 5/2; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 12:19:47 GMT+3; 2016-08-09 19:45; e70300-dr003
Cardiff; 5/4; 5/4; 5/4; 13/10; ; 5/4; 13/10; 5/4; ; 5/4; 11/8; 13/10; ; 13/10; ; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 7/5; 5/4; ; 6/5; ; 
Bristol Rovers; 2; 19/10; 2; 2; ; 19/10; 2; 2; ; 2; 19/10; 19/10; ; 39/20; ; 21/10; 15/8; 2; 2; 2; 19/10; 21/10; 24/13; ; 15/8; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; 23/10; ; 5/2; 23/10; 11/5; ; 47/20; ; 5/2; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 16:20:26 GMT+3; 2016-08-09 19:45; e70300-dr003
Cardiff; 5/4; 5/4; 5/4; 13/10; ; 7/5; 13/10; 5/4; ; 5/4; 11/8; 13/10; ; 13/10; ; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 7/5; 5/4; ; 6/5; ; 
Bristol Rovers; 2; 19/10; 2; 2; ; 41/20; 2; 2; ; 2; 19/10; 19/10; ; 39/20; ; 21/10; 15/8; 2; 2; 2; 19/10; 21/10; 24/13; ; 15/8; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 12/5; 12/5; 23/10; ; 5/2; 23/10; 11/5; ; 47/20; ; 5/2; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/bristol-rovers-v-cardiff; 2016-07-29 20:21:52 GMT+3; 2016-08-09 19:45; e70300-dr003
