META; english/efl-cup/exeter-v-brentford; 2016-07-29 00:20:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Brentford; 1; 10/11; 10/11; 20/21; ; 21/20; 1; 10/11; ; 9/10; 1; 19/20; ; 19/20; ; 10/11; 19/20; 9/10; 9/10; 9/10; ; 19/20; 66/67; ; 10/11; ; 
Draw; 13/5; 5/2; 13/5; 12/5; ; 27/10; 5/2; 5/2; ; 13/5; 5/2; 12/5; ; 51/20; ; 13/5; 5/2; 13/5; 13/5; 13/5; ; 45/17; 27/11; ; 12/5; ; 
Exeter; 5/2; 11/4; 11/4; 14/5; ; 13/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; ; 13/5; ; 3; 13/5; 11/4; 11/4; 11/4; ; 16/5; 11/5; ; 12/5; ; 
META; english/efl-cup/exeter-v-brentford; 2016-07-29 04:19:51 GMT+3; 2016-08-09 19:45; e70300-dr003
Brentford; 1; 10/11; 10/11; 20/21; ; 21/20; 1; 10/11; ; 9/10; 1; 19/20; ; 19/20; ; 10/11; 19/20; 9/10; 9/10; 9/10; 19/20; 19/20; 66/67; ; 10/11; ; 
Draw; 13/5; 5/2; 13/5; 12/5; ; 27/10; 5/2; 5/2; ; 13/5; 5/2; 12/5; ; 51/20; ; 13/5; 5/2; 13/5; 13/5; 13/5; 27/11; 45/17; 27/11; ; 12/5; ; 
Exeter; 5/2; 11/4; 11/4; 14/5; ; 13/5; 13/5; 11/4; ; 11/4; 13/5; 13/5; ; 13/5; ; 3; 13/5; 11/4; 11/4; 11/4; 5/2; 16/5; 11/5; ; 12/5; ; 
META; english/efl-cup/exeter-v-brentford; 2016-07-29 08:19:45 GMT+3; 2016-08-09 19:45; e70300-dr003
Brentford; 1; 10/11; 10/11; 20/21; ; 21/20; 1; 10/11; ; 9/10; 1; 19/20; ; 19/20; ; 10/11; 19/20; 9/10; 9/10; 9/10; 19/20; 19/20; 66/67; ; 10/11; ; 
Draw; 13/5; 5/2; 13/5; 12/5; ; 27/10; 5/2; 5/2; ; 13/5; 5/2; 12/5; ; 51/20; ; 13/5; 5/2; 13/5; 13/5; 13/5; 27/11; 45/17; 27/11; ; 12/5; ; 
Exeter; 5/2; 11/4; 11/4; 14/5; ; 27/10; 13/5; 11/4; ; 11/4; 13/5; 13/5; ; 13/5; ; 3; 13/5; 11/4; 11/4; 11/4; 5/2; 16/5; 11/5; ; 12/5; ; 
META; english/efl-cup/exeter-v-brentford; 2016-07-29 12:20:06 GMT+3; 2016-08-09 19:45; e70300-dr003
Brentford; 1; 10/11; 10/11; 20/21; ; 21/20; 1; 10/11; ; 9/10; 1; 19/20; ; 19/20; ; 10/11; 19/20; 9/10; 9/10; 9/10; 19/20; 19/20; 66/67; ; 10/11; ; 
Draw; 13/5; 5/2; 13/5; 12/5; ; 27/10; 5/2; 5/2; ; 13/5; 5/2; 12/5; ; 51/20; ; 13/5; 5/2; 13/5; 13/5; 13/5; 27/11; 45/17; 27/11; ; 12/5; ; 
