META; english/efl-cup/west-ham-v-chelsea; 2016-09-22 16:25:54 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-22 20:29:25 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; ; ; ; ; ; ; 5/6; ; ; 5/6; ; 13/15; ; 19/20; ; 19/20; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 5/2; ; 40/17; ; 12/5; ; 40/17; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; 7/2; ; 56/19; ; 11/4; ; 27/10; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 00:25:56 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; 17/20; ; ; ; ; ; 5/6; ; ; 5/6; ; 5/6; ; 19/20; ; 5/6; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 13/5; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; 33/10; ; ; ; ; ; 14/5; ; ; 7/2; ; 58/19; ; 11/4; ; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 04:25:36 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; 5/6; ; ; ; ; ; 5/6; ; ; 5/6; ; 5/6; ; 19/20; ; 5/6; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 13/5; ; ; ; ; ; 13/5; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; 16/5; ; ; ; ; ; 14/5; ; ; 7/2; ; 58/19; ; 11/4; ; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 08:25:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; 17/20; ; ; ; ; ; 5/6; ; ; 5/6; ; 5/6; ; 19/20; ; 5/6; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 13/5; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; 33/10; ; ; ; ; ; 14/5; ; ; 7/2; ; 58/19; ; 11/4; ; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 12:28:12 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; ; ; ; ; ; 5/6; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 5/6; 21/20; 19/20; 21/20; 5/6; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; 9/4; ; ; 13/5; ; ; 5/2; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; ; ; ; ; ; 33/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 16:29:01 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 5/6; 21/20; 19/20; 21/20; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 9/4; ; ; 13/5; ; ; 5/2; ; 12/5; 9/4; 12/5; 9/4; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-23 20:27:27 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 5/6; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; ; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; ; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 16/5; ; ; 27/10; ; ; 14/5; ; ; 7/2; ; 58/19; 27/10; 11/4; 27/10; ; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-24 00:27:01 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 5/6; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 16/5; ; ; 27/10; ; ; 14/5; ; ; 7/2; ; 58/19; 27/10; 11/4; 27/10; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-24 08:27:06 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 5/6; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 16/5; ; ; 27/10; ; ; 14/5; ; ; 7/2; ; 58/19; 27/10; 11/4; 27/10; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-24 12:29:38 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 27/10; ; ; 14/5; ; ; 7/2; ; 3; 27/10; 11/4; 27/10; 3; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-24 20:26:00 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 27/10; ; ; 14/5; ; ; 7/2; ; 3; 27/10; 11/4; 27/10; 3; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 00:26:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 10/11; 21/20; 19/20; 21/20; 10/11; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 23/10; 40/17; 12/5; 23/10; 23/10; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 31/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 37/13; 11/4; 11/4; 11/4; 37/13; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 04:25:14 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 20/23; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 10/11; 21/20; 19/20; 21/20; 10/11; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 23/10; 40/17; 12/5; 23/10; 23/10; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 16/5; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 14/5; 11/4; 11/4; 11/4; 14/5; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 08:25:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 5/6; 21/20; 19/20; 21/20; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 3; 11/4; 11/4; 11/4; 3; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 12:27:53 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 5/6; 21/20; 19/20; 21/20; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 40/17; ; ; 13/5; ; ; 5/2; ; 12/5; 40/17; 12/5; 23/10; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 3; 11/4; 11/4; 11/4; 3; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 16:28:08 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 9/11; ; ; 5/6; ; ; 5/6; ; 4/5; 9/11; 19/20; 4/5; 4/5; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 13/5; ; ; 13/5; ; ; 5/2; ; 27/11; 13/5; 12/5; 13/5; 27/11; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 17/5; ; ; 14/5; ; ; 7/2; ; 31/10; 17/5; 11/4; 10/3; 31/10; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-25 20:29:01 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 21/20; ; ; 5/6; ; ; 5/6; ; 5/6; 21/20; 19/20; 21/20; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 31/10; ; ; 45/17; ; ; 14/5; ; ; 7/2; ; 3; 45/17; 11/4; 13/5; 3; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-26 00:25:21 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 5/6; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 16/5; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-26 04:25:00 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; ; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 33/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-26 08:25:21 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; ; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; ; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 31/10; ; ; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-26 12:26:02 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; 9/10; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 13/5; ; 5/2; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
West Ham; 10/3; 16/5; ; ; ; ; 31/10; ; 3; 11/4; ; ; 14/5; ; ; 7/2; ; 58/19; 11/4; 11/4; 11/4; 58/19; ; ; ; ; ; ; 
META; english/efl-cup/west-ham-v-chelsea; 2016-09-26 16:26:10 GMT+3; 2016-10-25 19:45; e70300-dr003
Chelsea; 5/6; 17/20; ; ; ; ; 17/20; ; 9/10; 42/41; ; ; 5/6; ; ; 5/6; ; 5/6; 42/41; 19/20; 1; 5/6; ; ; ; ; ; ; 
Draw; 5/2; 5/2; ; ; ; ; 5/2; ; 5/2; 27/11; ; ; 13/5; ; ; 5/2; ; 12/5; 27/11; 12/5; 12/5; 12/5; ; ; ; ; ; ; 
