META; english/efl-cup/arsenal-v-reading; 2016-09-22 16:25:32 GMT+3; 2016-10-25 19:45; e70300-dr003
Arsenal; 2/7; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Reading; 17/2; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/arsenal-v-reading; 2016-09-22 20:28:58 GMT+3; 2016-10-25 19:45; e70300-dr003
Arsenal; 2/7; ; ; ; ; ; ; ; ; ; ; ; 1/3; ; ; 30/100; ; 4/17; ; 2/9; ; 3/14; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; 9/2; ; 23/5; ; 5; ; 19/4; ; ; ; ; ; ; 
Reading; 17/2; ; ; ; ; ; ; ; ; ; ; ; 8; ; ; 9; ; 9; ; 11; ; 41/4; ; ; ; ; ; ; 
META; english/efl-cup/arsenal-v-reading; 2016-09-23 00:25:37 GMT+3; 2016-10-25 19:45; e70300-dr003
Arsenal; 2/7; ; ; ; ; ; 1/4; ; ; ; ; ; 1/3; ; ; 30/100; ; 5/19; ; 2/9; ; 5/19; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 5; ; ; ; ; ; 7/2; ; ; 9/2; ; 49/11; ; 5; ; 49/11; ; ; ; ; ; ; 
Reading; 17/2; ; ; ; ; ; 19/2; ; ; ; ; ; 8; ; ; 9; ; 33/4; ; 11; ; 33/4; ; ; ; ; ; ; 
META; english/efl-cup/arsenal-v-reading; 2016-09-23 04:25:19 GMT+3; 2016-10-25 19:45; e70300-dr003
Arsenal; 2/7; ; ; ; ; ; 1/4; ; ; ; ; ; 1/3; ; ; 30/100; ; 5/19; ; 2/9; ; 5/19; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 5; ; ; ; ; ; 7/2; ; ; 9/2; ; 49/11; ; 5; ; 49/11; ; ; ; ; ; ; 
Reading; 17/2; ; ; ; ; ; 10; ; ; ; ; ; 8; ; ; 9; ; 33/4; ; 11; ; 33/4; ; ; ; ; ; ; 
META; english/efl-cup/arsenal-v-reading; 2016-09-23 08:25:27 GMT+3; 2016-10-25 19:45; e70300-dr003
Arsenal; 2/7; ; ; ; ; ; 1/4; ; ; ; ; ; 1/3; ; ; 30/100; ; 5/19; ; 2/9; ; 5/19; ; ; ; ; ; ; 
Draw; 9/2; ; ; ; ; ; 5; ; ; ; ; ; 7/2; ; ; 9/2; ; 49/11; ; 5; ; 49/11; ; ; ; ; ; ; 
Reading; 17/2; ; ; ; ; ; 19/2; ; ; ; ; ; 8; ; ; 9; ; 33/4; ; 11; ; 33/4; ; ; ; ; ; ; 
