META; english/efl-cup/liverpool-v-tottenham; 2016-09-22 16:25:42 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-22 20:29:07 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; 1; ; 19/20; ; 1; ; 1; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; 40/17; ; 12/5; ; 40/17; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; 11/4; ; 13/5; ; 13/5; ; 28/11; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 00:25:46 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; 1; ; ; ; ; ; 6/5; ; ; 1; ; 19/20; ; 1; ; 19/20; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 23/10; ; 12/5; ; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; 21/10; ; ; 11/4; ; 13/5; ; 13/5; ; 13/5; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 04:25:26 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; 21/20; ; ; ; ; ; 6/5; ; ; 1; ; 19/20; ; 1; ; 19/20; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 23/10; ; 12/5; ; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; 13/5; ; ; ; ; ; 21/10; ; ; 11/4; ; 13/5; ; 13/5; ; 13/5; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 08:25:35 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; 1; ; ; ; ; ; 6/5; ; ; 1; ; 19/20; ; 1; ; 19/20; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 23/10; ; 12/5; ; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; 11/4; ; ; ; ; ; 21/10; ; ; 11/4; ; 13/5; ; 13/5; ; 13/5; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 12:27:59 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; ; ; ; ; ; 21/20; ; ; 21/20; ; ; 6/5; ; ; 1; ; 19/20; 21/20; 1; 21/20; 19/20; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 5/2; ; ; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; 9/4; 12/5; 9/4; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; ; ; ; ; ; 27/10; ; ; 11/4; ; ; 21/10; ; ; 11/4; ; 13/5; 11/4; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 16:28:48 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; 21/20; ; ; ; ; 1; ; ; 21/20; ; ; 6/5; ; ; 1; ; 19/20; 21/20; 1; 21/20; 19/20; ; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; ; ; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; 9/4; 12/5; 9/4; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; 13/5; ; ; ; ; 27/10; ; ; 11/4; ; ; 21/10; ; ; 11/4; ; 13/5; 11/4; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-23 20:27:13 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; 1; ; ; ; ; 1; ; ; 21/20; ; ; 6/5; ; ; 1; ; 19/20; 21/20; 1; 21/20; ; ; ; ; ; ; ; 
Draw; 12/5; 5/2; ; ; ; ; 5/2; ; ; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; 9/4; 12/5; 9/4; ; ; ; ; ; ; ; 
Tottenham; 11/4; 13/5; ; ; ; ; 13/5; ; ; 11/4; ; ; 21/10; ; ; 11/4; ; 13/5; 11/4; 13/5; 11/4; ; ; ; ; ; ; ; 
META; english/efl-cup/liverpool-v-tottenham; 2016-09-24 00:26:50 GMT+3; 2016-10-25 19:45; e70300-dr003
Liverpool; 1; 1; ; ; ; ; 1; ; ; 21/20; ; ; 6/5; ; ; 1; ; 19/20; 21/20; 1; 21/20; 19/20; ; ; ; ; ; ; 
Draw; 12/5; 5/2; ; ; ; ; 5/2; ; ; 9/4; ; ; 23/10; ; ; 5/2; ; 23/10; 9/4; 12/5; 9/4; 23/10; ; ; ; ; ; ; 
Tottenham; 11/4; 13/5; ; ; ; ; 13/5; ; ; 11/4; ; ; 21/10; ; ; 11/4; ; 13/5; 11/4; 13/5; 11/4; 13/5; ; ; ; ; ; ; 
