Fleetwood; 11/5; 11/5; 5/2; 23/10; ; 9/4; 11/5; 9/4; ; 12/5; 21/10; 21/10; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 21/10; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 00:21:06 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 11/10; 6/5; ; 13/10; 6/5; 23/20; ; 11/10; 5/4; 6/5; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 5/2; 23/10; ; 9/4; 11/5; 9/4; ; 12/5; 21/10; 21/10; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 21/10; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 04:20:58 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 11/10; 6/5; ; 13/10; 6/5; 23/20; ; 11/10; 5/4; 6/5; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 5/2; 23/10; ; 9/4; 11/5; 9/4; ; 12/5; 21/10; 21/10; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 39/19; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 08:21:53 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 11/10; 6/5; ; 13/10; 6/5; 23/20; ; 11/10; 5/4; 6/5; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 5/2; 23/10; ; 9/4; 11/5; 9/4; ; 12/5; 21/10; 21/10; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 21/10; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 12:22:16 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 6/5; 23/20; ; 11/10; 5/4; 6/5; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 9/4; 23/10; ; 9/4; 11/5; 9/4; ; 12/5; 21/10; 21/10; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 21/10; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 16:22:59 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 5/4; 23/20; ; 11/10; 5/4; 5/4; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 11/5; 23/10; ; 11/5; 21/10; 9/4; ; 12/5; 21/10; 2; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 21/10; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-30 20:21:47 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 5/4; 23/20; ; 11/10; 5/4; 5/4; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 11/5; 23/10; ; 11/5; 21/10; 9/4; ; 12/5; 21/10; 2; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 39/19; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-31 00:21:07 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 5/4; 23/20; ; 11/10; 5/4; 5/4; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 11/5; 23/10; ; 11/5; 21/10; 9/4; ; 12/5; 21/10; 2; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 39/19; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 12/5; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-31 04:21:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 5/4; 23/20; ; 11/10; 5/4; 5/4; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 11/5; 23/10; ; 11/5; 21/10; 9/4; ; 12/5; 21/10; 2; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 39/19; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 12/5; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-31 08:21:00 GMT+3; 2016-08-09 19:45; e70300-dr003
Leeds; 6/5; 11/10; 6/5; 6/5; ; 13/10; 5/4; 23/20; ; 11/10; 5/4; 5/4; ; 6/5; ; 5/4; 15/13; 11/10; 15/13; 11/10; 6/5; 6/5; 6/5; ; 23/20; ; 
Fleetwood; 11/5; 11/5; 11/5; 23/10; ; 11/5; 21/10; 9/4; ; 12/5; 21/10; 2; ; 21/10; ; 11/5; 11/5; 12/5; 12/5; 12/5; 39/19; 5/2; 19/10; ; 19/10; ; 
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 23/10; ; 12/5; 23/10; 11/5; ; 47/20; ; 12/5; 12/5; 12/5; 9/4; 12/5; 9/4; 5/2; 23/10; ; 21/10; ; 
META; english/efl-cup/fleetwood-v-leeds; 2016-07-31 12:21:56 GMT+3; 2016-08-09 19:45; e70300-dr003
