META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 00:20:48 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; ; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 12/5; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; ; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; ; 13/5; 28/11; ; 11/5; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 04:19:58 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 12/5; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 11/5; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 08:19:51 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 12/5; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 23/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 12:20:13 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 23/10; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 11/5; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 16:20:52 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 23/10; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 23/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-29 20:22:32 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 21/20; ; 23/20; 11/10; 1; ; 11/10; 11/10; 21/20; ; 11/10; ; 11/10; 1; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 1; ; 
Leyton Orient; 23/10; 5/2; 13/5; 13/5; ; 23/10; 23/10; 12/5; ; 9/4; 23/10; 9/4; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 9/4; 45/17; 19/10; ; 11/5; ; 
Draw; 5/2; 12/5; 5/2; 12/5; ; 27/10; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 5/2; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 23/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 00:21:11 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 11/10; 1; 1; 11/10; ; 23/20; 11/10; 1; ; 11/10; 23/20; 23/20; ; 11/10; ; 11/10; 21/20; 11/10; 15/13; 11/10; 21/20; 11/10; 12/11; ; 21/20; ; 
Draw; 5/2; 12/5; 5/2; 5/2; ; 13/5; 13/5; 5/2; ; 12/5; 5/2; 12/5; ; 5/2; ; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 11/5; ; 
Leyton Orient; 23/10; 5/2; 13/5; 12/5; ; 23/10; 9/4; 12/5; ; 9/4; 11/5; 21/10; ; 9/4; ; 12/5; 12/5; 9/4; 23/10; 9/4; 11/5; 45/17; 19/10; ; 2; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 04:21:02 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 1; 23/20; ; 5/4; 6/5; 1; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 15/13; 11/10; 15/13; 11/10; 15/13; 11/10; 13/11; ; 10/9; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 5/2; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
Leyton Orient; 21/10; 5/2; 13/5; 12/5; ; 43/20; 21/10; 12/5; ; 9/4; 2; 2; ; 2; ; 11/5; 11/5; 9/4; 23/10; 9/4; 2; 45/17; 9/5; ; 19/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 08:21:57 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 1; 23/20; ; 5/4; 6/5; 1; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 15/13; 11/10; 15/13; 11/10; 15/13; 11/10; 13/11; ; 10/9; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 5/2; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
Leyton Orient; 21/10; 5/2; 13/5; 23/10; ; 43/20; 21/10; 12/5; ; 9/4; 2; 2; ; 2; ; 11/5; 11/5; 9/4; 23/10; 9/4; 2; 45/17; 9/5; ; 19/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 12:22:23 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 11/10; 13/11; ; 10/9; ; 
Draw; 5/2; 12/5; 12/5; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
Leyton Orient; 21/10; 5/2; 11/5; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 45/17; 9/5; ; 19/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 16:23:08 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 11/10; 13/11; ; 10/9; ; 
Draw; 5/2; 12/5; 12/5; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
Leyton Orient; 21/10; 5/2; 11/5; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 45/17; 9/5; ; 19/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-30 20:21:53 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 11/10; 13/11; ; 10/9; ; 
Draw; 5/2; 12/5; 12/5; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
Leyton Orient; 21/10; 5/2; 11/5; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 45/17; 9/5; ; 19/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 00:21:12 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 04:21:08 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 40/17; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 08:21:04 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 12:22:01 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 16:21:41 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-07-31 20:22:10 GMT+3; 2016-08-09 19:45; e70300-dr003
Fulham; 6/5; 1; 6/5; 23/20; ; 13/10; 6/5; 6/5; ; 11/10; 5/4; 6/5; ; 6/5; ; 6/5; 6/5; 11/10; 15/13; 11/10; 6/5; 13/10; 13/11; ; 10/9; ; 
Leyton Orient; 21/10; 5/2; 21/10; 23/10; ; 43/20; 21/10; 21/10; ; 9/4; 2; 2; ; 2; ; 11/5; 2; 9/4; 23/10; 9/4; 2; 11/5; 9/5; ; 19/10; ; 
Draw; 5/2; 12/5; 5/2; 23/10; ; 13/5; 5/2; 23/10; ; 12/5; 5/2; 23/10; ; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 13/5; 28/11; ; 21/10; ; 
META; english/efl-cup/leyton-orient-v-fulham; 2016-08-01 00:21:05 GMT+3; 2016-08-09 19:45; e70300-dr003
