Draw; 13/5; ; ; ; 13/5; ; ; ; 13/5; 13/5; ; ; ; ; ; ; 11/4; 13/5; ; 13/5; 5/2; ; ; ; ; ; 
META; english/efl-cup/peterborough-v-swansea; 2016-08-17 16:22:47 GMT+3; 2016-08-23 19:45; e70300-dr003
Swansea; 1; ; ; ; 1; ; ; ; 1; 1; ; ; ; ; ; ; 1; 1; ; 1; 19/20; ; ; ; ; ; 
Peterborough; 5/2; ; ; ; 5/2; ; ; ; 5/2; 5/2; ; ; ; ; ; ; 13/5; 5/2; ; 5/2; 12/5; ; ; ; ; ; 
Draw; 13/5; ; ; ; 13/5; ; ; ; 13/5; 13/5; ; ; ; ; ; ; 11/4; 13/5; ; 13/5; 5/2; ; ; ; ; ; 
META; english/efl-cup/peterborough-v-swansea; 2016-08-17 20:23:31 GMT+3; 2016-08-23 19:45; e70300-dr003
Swansea; 1; 1; ; 11/10; 1; 1; 11/10; ; 21/20; 1; 11/10; 21/20; ; 21/20; ; ; 21/20; 1; ; 1; ; 11/10; ; ; ; ; 
Draw; 13/5; 13/5; ; 5/2; 13/5; 5/2; 13/5; ; 5/2; 13/5; 5/2; 12/5; ; 13/5; ; ; 13/5; 13/5; ; 13/5; ; 13/5; ; ; ; ; 
Peterborough; 5/2; 5/2; ; 12/5; 5/2; 5/2; 23/10; ; 5/2; 5/2; 23/10; 9/4; ; 47/20; ; ; 13/5; 5/2; ; 5/2; ; 51/19; ; ; ; ; 
META; english/efl-cup/peterborough-v-swansea; 2016-08-18 00:21:46 GMT+3; 2016-08-23 19:45; e70300-dr003
Swansea; 1; 1; ; 11/10; 1; 1; 11/10; ; 21/20; 1; 11/10; 21/20; ; 21/20; ; ; 11/10; 1; ; 1; 21/20; 11/10; ; ; ; ; 
Draw; 13/5; 13/5; ; 13/5; 13/5; 5/2; 13/5; ; 5/2; 13/5; 13/5; 12/5; ; 13/5; ; ; 13/5; 13/5; ; 13/5; 27/11; 13/5; ; ; ; ; 
Peterborough; 5/2; 5/2; ; 23/10; 5/2; 5/2; 9/4; ; 5/2; 5/2; 23/10; 11/5; ; 47/20; ; ; 5/2; 5/2; ; 5/2; 12/5; 51/19; ; ; ; ; 
