META; english/efl-cup/accrington-v-bradford; 2016-07-29 00:21:30 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-29 04:20:37 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-29 08:20:30 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-29 12:20:55 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-29 16:21:37 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-29 20:23:22 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-30 00:21:51 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 47/20; ; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 12/5; 40/17; ; 21/10; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 21/10; 21/10; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 28/13; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-30 04:21:45 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 23/10; ; 23/10; 9/4; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; 2; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 11/5; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 11/5; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-30 08:22:40 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 6/5; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 12/5; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 23/10; ; 23/10; 9/4; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; 2; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 11/5; 21/10; ; 9/4; 11/5; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 11/5; 26/11; 37/19; ; 2; ; 
META; english/efl-cup/accrington-v-bradford; 2016-07-30 12:23:07 GMT+3; 2016-08-10 19:45; e70300-dr003
Bradford; 11/10; 6/5; 5/4; 6/5; ; 5/4; 6/5; 6/5; ; 6/5; 5/4; 6/5; ; 23/20; ; 5/4; 6/5; 6/5; 6/5; 6/5; 15/13; 13/10; 15/13; ; 10/9; ; 
Draw; 23/10; 23/10; 23/10; 23/10; ; 12/5; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 23/10; ; 23/10; 9/4; 23/10; 9/4; 23/10; 11/5; 12/5; 40/17; ; 2; ; 
Accrington; 5/2; 21/10; 9/4; 23/10; ; 23/10; 9/4; 21/10; ; 9/4; 11/5; 11/5; ; 9/4; ; 23/10; 11/5; 9/4; 9/4; 9/4; 11/5; 26/11; 37/19; ; 2; ; 
