META; english/efl-cup/man-utd-v-man-city; 2016-09-22 16:25:45 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-22 20:29:10 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; 13/8; ; 6/4; ; 6/4; ; 16/11; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; 7/4; ; 8/5; ; 28/17; ; 8/5; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; 9/4; ; 9/4; ; 12/5; ; 40/17; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 00:25:48 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; 8/5; ; ; ; ; ; 6/4; ; ; 13/8; ; 6/4; ; 6/4; ; 6/4; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; 17/10; ; ; ; ; ; 13/8; ; ; 7/4; ; 28/17; ; 28/17; ; 28/17; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 23/10; ; ; ; ; ; 9/4; ; ; 9/4; ; 11/5; ; 12/5; ; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 04:25:29 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; 8/5; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 23/10; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 08:25:37 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; 8/5; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 23/10; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 12:28:02 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; ; ; ; ; ; 8/5; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; ; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; ; ; ; ; ; 23/10; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 16:28:52 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 8/5; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 23/10; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-23 20:27:16 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; ; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; ; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; ; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-24 00:26:53 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-24 08:26:58 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-24 12:29:29 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 6/4; 28/17; 6/4; 13/8; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 28/17; 28/17; 28/17; 13/8; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-24 16:29:31 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 8/5; ; ; 6/4; ; ; 13/8; ; 6/4; 8/5; 6/4; 8/5; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 17/10; ; ; 13/8; ; ; 7/4; ; 28/17; 17/10; 28/17; 17/10; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-24 20:25:51 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 8/5; ; ; 6/4; ; ; 13/8; ; 6/4; 8/5; 6/4; 8/5; 6/4; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 17/10; ; ; 13/8; ; ; 7/4; ; 28/17; 17/10; 28/17; 17/10; 28/17; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 9/4; ; ; 9/4; ; ; 9/4; ; 11/5; 9/4; 12/5; 9/4; 11/5; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-25 00:26:37 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 17/11; 28/17; 6/4; 13/8; 17/11; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 8/5; 28/17; 28/17; 13/8; 8/5; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 40/17; ; ; 9/4; ; ; 9/4; ; 9/4; 40/17; 12/5; 23/10; 9/4; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-25 04:25:07 GMT+3; 2016-10-25 19:45; e70300-dr003
Man Utd; 8/5; 8/5; ; ; ; ; 31/20; ; ; 28/17; ; ; 6/4; ; ; 13/8; ; 17/11; 28/17; 6/4; 13/8; 17/11; ; ; ; ; ; ; 
Man City; 17/10; 17/10; ; ; ; ; 17/10; ; ; 28/17; ; ; 13/8; ; ; 7/4; ; 8/5; 28/17; 28/17; 13/8; 8/5; ; ; ; ; ; ; 
Draw; 9/4; 9/4; ; ; ; ; 12/5; ; ; 40/17; ; ; 9/4; ; ; 9/4; ; 9/4; 40/17; 12/5; 23/10; 9/4; ; ; ; ; ; ; 
META; english/efl-cup/man-utd-v-man-city; 2016-09-25 08:25:37 GMT+3; 2016-10-25 19:45; e70300-dr003
