META; english/efl-cup/southampton-v-sunderland; 2016-09-22 16:25:50 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-22 20:29:21 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; ; ; ; ; ; ; 4/6; ; ; 13/20; ; 11/17; ; 7/10; ; 9/13; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; 14/5; ; 28/11; ; 5/2; ; 27/11; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; ; ; ; ; ; ; 19/5; ; ; 9/2; ; 41/10; ; 4; ; 39/10; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 00:25:53 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; 8/13; ; ; ; ; ; 4/6; ; ; 13/20; ; 11/18; ; 7/10; ; 11/18; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 14/5; ; ; ; ; ; 13/5; ; ; 14/5; ; 45/17; ; 5/2; ; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; 19/5; ; ; 9/2; ; 21/5; ; 4; ; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 04:25:34 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; 13/20; ; ; ; ; ; 4/6; ; ; 13/20; ; 11/18; ; 7/10; ; 11/18; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; ; ; 13/5; ; ; 14/5; ; 45/17; ; 5/2; ; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; 22/5; ; ; ; ; ; 19/5; ; ; 9/2; ; 21/5; ; 4; ; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 08:25:42 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; 8/13; ; ; ; ; ; 4/6; ; ; 13/20; ; 11/18; ; 7/10; ; 11/18; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 14/5; ; ; ; ; ; 13/5; ; ; 14/5; ; 45/17; ; 5/2; ; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; 9/2; ; ; ; ; ; 19/5; ; ; 9/2; ; 21/5; ; 4; ; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 12:28:07 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; ; ; ; ; ; 13/20; ; ; 1/2; ; ; 4/6; ; ; 13/20; ; 11/18; 1/2; 7/10; 1/2; 11/18; ; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; 13/4; ; ; 13/5; ; ; 14/5; ; 45/17; 13/4; 5/2; 3; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; ; ; ; ; ; 22/5; ; ; 21/4; ; ; 19/5; ; ; 9/2; ; 21/5; 21/4; 4; 26/5; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 16:28:58 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; 2/3; ; ; ; ; 13/20; ; ; 1/2; ; ; 4/6; ; ; 13/20; ; 11/18; 1/2; 7/10; 1/2; 11/18; ; ; ; ; ; ; 
Draw; 14/5; 13/5; ; ; ; ; 11/4; ; ; 13/4; ; ; 13/5; ; ; 14/5; ; 45/17; 13/4; 5/2; 3; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; 9/2; ; ; ; ; 9/2; ; ; 21/4; ; ; 19/5; ; ; 9/2; ; 21/5; 21/4; 4; 26/5; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-23 20:27:22 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; 8/13; ; ; ; ; 8/13; ; ; 1/2; ; ; 4/6; ; ; 13/20; ; 11/18; 1/2; 7/10; 1/2; ; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; 14/5; ; ; 13/4; ; ; 13/5; ; ; 14/5; ; 45/17; 13/4; 5/2; 3; ; ; ; ; ; ; ; 
Sunderland; 9/2; 9/2; ; ; ; ; 19/4; ; ; 21/4; ; ; 19/5; ; ; 9/2; ; 21/5; 21/4; 4; 26/5; ; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-24 00:26:59 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; 8/13; ; ; ; ; 8/13; ; ; 1/2; ; ; ; ; ; 13/20; ; 11/18; 1/2; 7/10; 1/2; 11/18; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; 29/10; ; ; 13/4; ; ; ; ; ; 14/5; ; 45/17; 13/4; 5/2; 3; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; 9/2; ; ; ; ; 19/4; ; ; 21/4; ; ; ; ; ; 9/2; ; 21/5; 21/4; 4; 26/5; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-24 08:27:04 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; 8/13; ; ; ; ; 8/13; ; ; 1/2; ; ; ; ; ; 13/20; ; 11/18; 1/2; 7/10; 1/2; 11/18; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; 14/5; ; ; 13/4; ; ; ; ; ; 14/5; ; 45/17; 13/4; 5/2; 3; 45/17; ; ; ; ; ; ; 
Sunderland; 9/2; 9/2; ; ; ; ; 9/2; ; ; 21/4; ; ; ; ; ; 9/2; ; 21/5; 21/4; 4; 26/5; 21/5; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-24 12:29:34 GMT+3; 2016-10-25 19:45; e70300-dr003
Southampton; 8/13; 8/13; ; ; ; ; 8/13; ; ; 1/2; ; ; ; ; ; 13/20; ; 8/13; 1/2; 7/10; 1/2; 8/13; ; ; ; ; ; ; 
Draw; 14/5; 11/4; ; ; ; ; 14/5; ; ; 13/4; ; ; ; ; ; 14/5; ; 13/5; 13/4; 5/2; 3; 13/5; ; ; ; ; ; ; 
Sunderland; 9/2; 9/2; ; ; ; ; 19/4; ; ; 21/4; ; ; ; ; ; 9/2; ; 54/13; 21/4; 4; 26/5; 54/13; ; ; ; ; ; ; 
META; english/efl-cup/southampton-v-sunderland; 2016-09-24 20:25:57 GMT+3; 2016-10-25 19:45; e70300-dr003
