META; english/efl-cup/leeds-v-norwich; 2016-09-22 16:25:37 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-22 20:29:03 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 13/10; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; 21/10; ; 24/13; ; 24/13; ; 9/5; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; 40/17; ; 12/5; ; 40/17; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 00:25:43 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; 5/4; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 04:25:24 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; 19/10; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 08:25:32 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; 5/4; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 12:27:56 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; ; ; ; ; ; 19/10; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 16:28:44 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 13/10; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; 2; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; 12/5; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-23 20:27:10 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; ; ; ; ; ; ; ; 
Leeds; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-24 00:26:47 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-24 08:26:51 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-24 12:29:21 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-24 16:29:19 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
Leeds; 2; 19/10; ; ; ; ; 2; ; ; ; ; ; 7/4; ; ; 21/10; ; 19/10; ; 24/13; ; 19/10; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; 12/5; ; ; ; ; ; 23/10; ; ; 5/2; ; 12/5; ; 12/5; ; 12/5; ; ; ; ; ; ; 
META; english/efl-cup/leeds-v-norwich; 2016-09-24 20:25:46 GMT+3; 2016-10-25 19:45; e70300-dr003
Norwich; 5/4; 7/5; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; 5/4; ; 5/4; ; 23/17; ; 5/4; ; ; ; ; ; ; 
